gap_id,category,severity,description,source_file,source_record_id,source_fact_id,evidence_id,module_applicability,recommended_next_evidence
gap:250100,source_or_evidence_gap,medium,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,interviews/executive_interviews.csv,MER-INT-01:Q01,fact:interviews_executive_interviews:MER-INT-01:Q01,MER-SA07-INT-EVID-0001,Home|Tower|Intelligence|Moves,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready
gap:250200,source_or_evidence_gap,medium,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,interviews/executive_interviews.csv,MER-INT-01:Q02,fact:interviews_executive_interviews:MER-INT-01:Q02,MER-SA07-INT-EVID-0002,Home|Tower|Intelligence|Moves,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded
gap:250300,source_or_evidence_gap,medium,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,interviews/executive_interviews.csv,MER-INT-01:Q03,fact:interviews_executive_interviews:MER-INT-01:Q03,MER-SA07-INT-EVID-0003,Home|Tower|Intelligence|Moves,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven
gap:250400,source_or_evidence_gap,medium,Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven,interviews/executive_interviews.csv,MER-INT-01:Q04,fact:interviews_executive_interviews:MER-INT-01:Q04,MER-SA07-INT-EVID-0004,Home|Tower|Intelligence|Moves,Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven
gap:250500,source_or_evidence_gap,medium,Provider contract terms not digitized in governed form; Claims and GL calendar alignment not proven; Cost allocation rules not loaded; Margin semantic model not certified,interviews/executive_interviews.csv,MER-INT-01:Q05,fact:interviews_executive_interviews:MER-INT-01:Q05,MER-SA07-INT-EVID-0005,Home|Tower|Intelligence|Moves,Provider contract terms not digitized in governed form; Claims and GL calendar alignment not proven; Cost allocation rules not loaded; Margin semantic model not certified
gap:250600,source_or_evidence_gap,medium,Rules and model lineage not governed; Provider entity resolution not proven; Investigation workflow evidence not loaded; Recovery realization tracking not loaded,interviews/executive_interviews.csv,MER-INT-01:Q06,fact:interviews_executive_interviews:MER-INT-01:Q06,MER-SA07-INT-EVID-0006,Home|Tower|Intelligence|Moves,Rules and model lineage not governed; Provider entity resolution not proven; Investigation workflow evidence not loaded; Recovery realization tracking not loaded
gap:250700,source_or_evidence_gap,medium,Manual reporting maintenance load; Certified finance semantic layer not loaded; Close workflow integration not proven; Metric governance not formalized,interviews/executive_interviews.csv,MER-INT-01:Q07,fact:interviews_executive_interviews:MER-INT-01:Q07,MER-SA07-INT-EVID-0007,Home|Tower|Intelligence|Moves,Manual reporting maintenance load; Certified finance semantic layer not loaded; Close workflow integration not proven; Metric governance not formalized
gap:250800,source_or_evidence_gap,medium,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,interviews/executive_interviews.csv,MER-INT-01:Q08,fact:interviews_executive_interviews:MER-INT-01:Q08,MER-SA07-INT-EVID-0008,Home|Tower|Intelligence|Moves,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready
gap:250900,source_or_evidence_gap,medium,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,interviews/executive_interviews.csv,MER-INT-01:Q09,fact:interviews_executive_interviews:MER-INT-01:Q09,MER-SA07-INT-EVID-0009,Home|Tower|Intelligence|Moves,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded
gap:251000,source_or_evidence_gap,medium,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,interviews/executive_interviews.csv,MER-INT-01:Q10,fact:interviews_executive_interviews:MER-INT-01:Q10,MER-SA07-INT-EVID-0010,Home|Tower|Intelligence|Moves,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven
