move_candidate_id,initiative_link,candidate_name,status,likely_phase_entry_point,interview_count,stakeholder_roles,priority_themes,business_priorities,systems_vendors_mentioned,data_domains_mentioned,metrics_mentioned,risks_controls_mentioned,required_evidence,gap_ids,boundary
move_candidate:MER-MOVE-001,MER-MOVE-001,Unified clinical + claims lakehouse,candidate_opportunity_not_funded_program,discover_and_shape,30,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","strategy,risk,AI readiness,modernization,data,evidence,platform,sourcing,vendor,value,operating model,metrics",Unified clinical + claims lakehouse,"Epic Clarity,Claims administration platform,Epic Caboodle,Databricks on AWS,Pharmacy claims platform","EMR clinical,pharmacy,claims,longitudinal patient view,patient/member identity",baseline_required,"No certified medallion architecture,AWS/Databricks foundation not ready,Claims and pharmacy harmonization not proven,No patient/member identity spine loaded","No certified medallion architecture,No patient/member identity spine loaded,Claims and pharmacy harmonization not proven,AWS/Databricks foundation not ready","gap:250100,gap:250800,gap:251900,gap:253000,gap:254100,gap:254800,gap:255200,gap:255900,gap:256300,gap:257000,gap:257400,gap:258100,gap:258500,gap:259200,gap:260300,gap:261400,gap:262500,gap:263200,gap:263600,gap:264300,gap:264700,gap:265400,gap:265800,gap:266500,gap:266900,gap:267600,gap:268700,gap:269800,gap:270900,gap:271600","Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
move_candidate:MER-MOVE-002,MER-MOVE-002,Governed data foundation for AI / LLM automation,candidate_opportunity_not_funded_program,discover_and_shape,30,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","operating model,metrics,strategy,risk,AI readiness,modernization,data,evidence,platform,sourcing,vendor,value",Governed data foundation for AI / LLM automation,"SQL Server reporting marts,Epic Clarity,Databricks on AWS,SAS analytics estate","coding,semantic layer,prior authorization,utilization management,data quality rules",baseline_required,"No certified semantic layer,No formal data governance,Data quality rules not loaded,No AI audit trail evidence","No formal data governance,No certified semantic layer,No AI audit trail evidence,Data quality rules not loaded","gap:250200,gap:250900,gap:251300,gap:252000,gap:253100,gap:254200,gap:255300,gap:256000,gap:256400,gap:257100,gap:257500,gap:258200,gap:258600,gap:259300,gap:259700,gap:260400,gap:261500,gap:262600,gap:263700,gap:264400,gap:264800,gap:265500,gap:265900,gap:266600,gap:267000,gap:267700,gap:268100,gap:268800,gap:269900,gap:271000","Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
move_candidate:MER-MOVE-003,MER-MOVE-003,Call center optimization,candidate_opportunity_not_funded_program,discover_and_shape,31,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","vendor,value,operating model,metrics,strategy,risk,AI readiness,modernization,data,evidence,platform,sourcing",Call center optimization,"Claims administration platform,CRM / member case management,Contact center transcript and telephony platform,Power BI reporting estate","claims status,next-best-action content,CRM cases,intent taxonomy,transcripts",baseline_required,"Intent taxonomy not certified,Real-time integration not proven,Transcript governance not loaded,Member identity linkage not proven","Transcript governance not loaded,Real-time integration not proven,Intent taxonomy not certified,Member identity linkage not proven","gap:250300,gap:251000,gap:251400,gap:252100,gap:252500,gap:253200,gap:254300,gap:255400,gap:256500,gap:257200,gap:257600,gap:258300,gap:258700,gap:259400,gap:259800,gap:260500,gap:260900,gap:261600,gap:262700,gap:263800,gap:264900,gap:265600,gap:266000,gap:266700,gap:267100,gap:267800,gap:268200,gap:268900,gap:269300,gap:270000,gap:271100","Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
move_candidate:MER-MOVE-004,MER-MOVE-004,Provider quality and performance,candidate_opportunity_not_funded_program,discover_and_shape,32,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","platform,sourcing,vendor,value,operating model,metrics,strategy,risk,AI readiness,modernization,data,evidence",Provider quality and performance,"Power BI reporting estate,Epic Caboodle,Tableau reporting estate,Provider contract repository,Epic Clarity","care gaps,HEDIS,provider attribution,provider benchmarking,STAR",baseline_required,"Near-real-time quality layer not proven,Provider contract linkage not certified,Attribution ownership not proven,Measure logic fragmented across BI tools","Measure logic fragmented across BI tools,Attribution ownership not proven,Provider contract linkage not certified,Near-real-time quality layer not proven","gap:250400,gap:251100,gap:251500,gap:252200,gap:252600,gap:253300,gap:253700,gap:254400,gap:255500,gap:256600,gap:257700,gap:258400,gap:258800,gap:259500,gap:259900,gap:260600,gap:261000,gap:261700,gap:262100,gap:262800,gap:263900,gap:265000,gap:266100,gap:266800,gap:267200,gap:267900,gap:268300,gap:269000,gap:269400,gap:270100,gap:270500,gap:271200","Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
move_candidate:MER-MOVE-005,MER-MOVE-005,End-to-end cost transparency,candidate_opportunity_not_funded_program,discover_and_shape,32,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","data,evidence,platform,sourcing,vendor,value,operating model,metrics,strategy,risk,AI readiness,modernization",End-to-end cost transparency,"Claims administration platform,SQL Server reporting marts,General ledger and close reporting,Provider contract repository","cost-of-care,margin,GL,provider contracts,capitation,claims",baseline_required,"Provider contract terms not digitized in governed form,Margin semantic model not certified,Cost allocation rules not loaded,Claims and GL calendar alignment not proven","Provider contract terms not digitized in governed form,Claims and GL calendar alignment not proven,Cost allocation rules not loaded,Margin semantic model not certified","gap:250500,gap:251200,gap:251600,gap:252300,gap:252700,gap:253400,gap:253800,gap:254500,gap:254900,gap:255600,gap:256700,gap:257800,gap:258900,gap:259600,gap:260000,gap:260700,gap:261100,gap:261800,gap:262200,gap:262900,gap:263300,gap:264000,gap:265100,gap:266200,gap:267300,gap:268000,gap:268400,gap:269100,gap:269500,gap:270200,gap:270600,gap:271300","Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
move_candidate:MER-MOVE-006,MER-MOVE-006,Payment integrity and leakage reduction,candidate_opportunity_not_funded_program,discover_and_shape,31,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","modernization,data,evidence,platform,sourcing,vendor,value,operating model,metrics,strategy,risk,AI readiness",Payment integrity and leakage reduction,"SAS analytics estate,Claims administration platform,Provider contract repository,SQL Server reporting marts","claims anomalies,recovery workflow,fraud waste abuse,provider entity resolution,billing patterns",baseline_required,"Provider entity resolution not proven,Rules and model lineage not governed,Recovery realization tracking not loaded,Investigation workflow evidence not loaded","Rules and model lineage not governed,Provider entity resolution not proven,Investigation workflow evidence not loaded,Recovery realization tracking not loaded","gap:250600,gap:251700,gap:252400,gap:252800,gap:253500,gap:253900,gap:254600,gap:255000,gap:255700,gap:256100,gap:256800,gap:257900,gap:259000,gap:260100,gap:260800,gap:261200,gap:261900,gap:262300,gap:263000,gap:263400,gap:264100,gap:264500,gap:265200,gap:266300,gap:267400,gap:268500,gap:269200,gap:269600,gap:270300,gap:270700,gap:271400","Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
move_candidate:MER-MOVE-007,MER-MOVE-007,Automated close and reporting,candidate_opportunity_not_funded_program,discover_and_shape,30,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","AI readiness,modernization,data,evidence,platform,sourcing,vendor,value,operating model,metrics,strategy,risk",Automated close and reporting,"Tableau reporting estate,Power BI reporting estate,General ledger and close reporting,SQL Server reporting marts","close process,GL,reconciliation exceptions,metric definitions,financial reporting",baseline_required,"Close workflow integration not proven,Certified finance semantic layer not loaded,Manual reporting maintenance load,Metric governance not formalized","Manual reporting maintenance load,Certified finance semantic layer not loaded,Close workflow integration not proven,Metric governance not formalized","gap:250700,gap:251800,gap:252900,gap:253600,gap:254000,gap:254700,gap:255100,gap:255800,gap:256200,gap:256900,gap:257300,gap:258000,gap:259100,gap:260200,gap:261300,gap:262000,gap:262400,gap:263100,gap:263500,gap:264200,gap:264600,gap:265300,gap:265700,gap:266400,gap:267500,gap:268600,gap:269700,gap:270400,gap:270800,gap:271500","Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
move_candidate:MER-MOVE-AI-BENEFITS,MER-MOVE-AI-BENEFITS,AI Benefits Realization Ledger,candidate_opportunity_not_funded_program,discover_and_shape,1,CFO,value proof,AI benefits realization,M365 Copilot; ServiceNow; Workday; GitHub Copilot,usage and finance actuals,finance_validated_value_required,FP&A validation and usage extracts required,FP&A validation and usage extracts required,gap:271700,"Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
move_candidate:MER-MOVE-AI-ASSIST,MER-MOVE-AI-ASSIST,Member Service Agent Assist Transformation,candidate_opportunity_not_funded_program,discover_and_shape,1,Chief Experience Officer,funding boundary,Member Service AI Assist,Genesys; Salesforce; ServiceNow,member service data,candidate_not_funded,"Approved business case, baseline, and PHI controls required","Approved business case, baseline, and PHI controls required",gap:271800,"Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
move_candidate:MER-MOVE-AI-GOV,MER-MOVE-AI-GOV,AI Governance / Model Risk Controls,candidate_opportunity_not_funded_program,discover_and_shape,1,CISO,risk control,AI governance,OneTrust; ServiceNow; Microsoft Purview,PHI audit logs; model inventory,controls_required,"HITL, audit logging, and model-risk evidence required","HITL, audit logging, and model-risk evidence required",gap:271900,"Interview support raises priority/readiness confidence only. It does not create approved funding, realized value, or program execution status."
