mapping_id,application_id,application_name,business_function,process_supported,fit_score,pain_point,move_relevance
LAK-MAP-001,LAK-APP-001,SAP ECC Central Finance,Corporate Treasury,Global cash visibility,57,Manual spreadsheet bridge remains in critical path,Kyriba rollout
LAK-MAP-002,LAK-APP-002,SAP S/4 pilot instance,Finance and Controller,Bank connectivity and payments control,64,Bank/ERP/Kyriba mapping not fully reconciled,treasury controls
LAK-MAP-003,LAK-APP-003,SAP FI/CO,FP&A and Business Finance,Liquidity forecasting,71,Control evidence not attached to transaction lineage,automated close
LAK-MAP-004,LAK-APP-004,SAP MM,Procurement and Supplier Management,Automated close and reconciliations,78,Support tickets repeat same root cause,finance AI
LAK-MAP-005,LAK-APP-005,SAP SD,Manufacturing Operations,Working-capital and supplier analytics,85,Manual spreadsheet bridge remains in critical path,working capital analytics
LAK-MAP-006,LAK-APP-006,SAP BW,Supply Chain and Logistics,Finance service management automation,92,Bank/ERP/Kyriba mapping not fully reconciled,Kyriba rollout
LAK-MAP-007,LAK-APP-007,SAP GRC,Sales and Customer Operations,AI-assisted finance reporting,61,Control evidence not attached to transaction lineage,treasury controls
LAK-MAP-008,LAK-APP-008,SAP PI/PO,Digital and IT,Treasury risk and control evidence,68,Support tickets repeat same root cause,automated close
LAK-MAP-009,LAK-APP-009,SAP BPC,Data and Analytics,Global cash visibility,75,Manual spreadsheet bridge remains in critical path,finance AI
LAK-MAP-010,LAK-APP-010,SAP Ariba network connector,Cybersecurity and Risk,Bank connectivity and payments control,82,Bank/ERP/Kyriba mapping not fully reconciled,working capital analytics
LAK-MAP-011,LAK-APP-011,Kyriba implementation tenant,Corporate Treasury,Liquidity forecasting,89,Control evidence not attached to transaction lineage,Kyriba rollout
LAK-MAP-012,LAK-APP-012,Quantum legacy TMS,Finance and Controller,Automated close and reconciliations,58,Support tickets repeat same root cause,treasury controls
LAK-MAP-013,LAK-APP-013,Bank of America CashPro,FP&A and Business Finance,Working-capital and supplier analytics,65,Manual spreadsheet bridge remains in critical path,automated close
LAK-MAP-014,LAK-APP-014,JPM Access,Procurement and Supplier Management,Finance service management automation,72,Bank/ERP/Kyriba mapping not fully reconciled,finance AI
LAK-MAP-015,LAK-APP-015,CitiDirect,Manufacturing Operations,AI-assisted finance reporting,79,Control evidence not attached to transaction lineage,working capital analytics
LAK-MAP-016,LAK-APP-016,SWIFT Alliance Lite2,Supply Chain and Logistics,Treasury risk and control evidence,86,Support tickets repeat same root cause,Kyriba rollout
LAK-MAP-017,LAK-APP-017,Bloomberg FX,Sales and Customer Operations,Global cash visibility,93,Manual spreadsheet bridge remains in critical path,treasury controls
LAK-MAP-018,LAK-APP-018,BlackLine Treasury Recs,Digital and IT,Bank connectivity and payments control,62,Bank/ERP/Kyriba mapping not fully reconciled,automated close
LAK-MAP-019,LAK-APP-019,FIS bank fee analysis,Data and Analytics,Liquidity forecasting,69,Control evidence not attached to transaction lineage,finance AI
LAK-MAP-020,LAK-APP-020,Treasury spreadsheet control repository,Cybersecurity and Risk,Automated close and reconciliations,76,Support tickets repeat same root cause,working capital analytics
LAK-MAP-021,LAK-APP-021,SQL Server finance mart,Corporate Treasury,Working-capital and supplier analytics,83,Manual spreadsheet bridge remains in critical path,Kyriba rollout
