id,tenantKey,status,knowledgePathStatus,defaultPathStatus,intentClassification,selectedCatalogKey,profiles,relationships,evidenceRefs,gaps,latencyMisses,blockers
meridian-agent-assist-readiness,meridian-health,legacy_behavior,ready,legacy_behavior,assess_customer_ai_readiness,meridian-health-agent-assist-member-service,36,35,5,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
meridian-finance-modernization,meridian-health,legacy_behavior,ready,legacy_behavior,assess_strategy_readiness,meridian-health-finance-analytics,53,52,5,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
meridian-agent-assist-blockers,meridian-health,legacy_behavior,ready,legacy_behavior,assess_strategy_readiness,meridian-health-agent-assist-member-service,36,35,5,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
meridian-executive-decision-evidence,meridian-health,legacy_behavior,ready,legacy_behavior,assess_strategy_readiness,meridian-health-finance-analytics,53,52,5,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
meridian-highest-value-ai,meridian-health,legacy_behavior,generic_answer_risk,legacy_behavior,assess_strategy_readiness,meridian-health-finance-analytics,53,52,5,4,,Default Intelligence path is not proven to consume the Knowledge runtime. | Expected context terms missing: Agent Assist | Context looks too thin or generic for the question.
harbortrust-fraud-triage,harbortrust-bank,legacy_behavior,ready,legacy_behavior,assess_risk_ai_readiness,harbortrust-bank-fraud-analyst-copilot,36,35,5,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
harbortrust-fraud-risks-controls,harbortrust-bank,legacy_behavior,ready,legacy_behavior,assess_risk_ai_readiness,harbortrust-bank-fraud-analyst-copilot,36,35,5,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
harbortrust-customer-360,harbortrust-bank,legacy_behavior,ready,legacy_behavior,assess_strategy_readiness,harbortrust-bank-fraud-analyst-copilot,36,35,5,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
harbortrust-digital-onboarding,harbortrust-bank,legacy_behavior,ready,legacy_behavior,assess_strategy_readiness,harbortrust-bank-fraud-analyst-copilot,36,35,5,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
generic-vendor-onboarding,meridian-health,legacy_behavior,ready,legacy_behavior,assess_strategy_readiness,meridian-health-vendor-onboarding-modernization,33,32,4,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
generic-back-office-manual-work,meridian-health,legacy_behavior,ready,legacy_behavior,assess_strategy_readiness,meridian-health-vendor-onboarding-modernization,33,32,4,4,,Default Intelligence path is not proven to consume the Knowledge runtime.
