item_id,source_family,source_file,source_file_hash,source_row_or_document_id,source_field_or_section,source_value,source_semantic_type,parser_record_id,evidence_id,candidate_id,candidate_type,canonical_object_id,canonical_object_type,canonical_fact_or_relationship,review_decision,decision_reason,publication_id,baseline_id,projection_name,projection_row_id,cube_measure_or_dimension,final_status,evidence_note
APP-001,applications_platforms,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/application-platform-inventory.csv,lineage_gap,row2 (APP-AIRDN-0001),"application_id,application_name,application_type,hosting_model,vendor_id,contract_id",APP-AIRDN-0001 | Flight operations and IROPS 001 | regional duplicate | owned data center | VEND-AIRDN-002 | CONT-AIRDN-0002,application_inventory_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,application,knowledge.application#APP-AIRDN-0001,"accepted (inferred; aggregate reconciliation only, not per-item verified)","routine_source_derived_inventory_item; 1495 source rows -> 1405 published (6.0% attrition, plausible review loss)",n/a_not_published,n/a_not_published,consumption.application_inventory_v1,lineage_gap,ApplicationPortfolio.application_count,technically_matched_but_semantically_weak,"application_type value 'regional duplicate' is itself a data-quality label baked into the source row, not a real application type taxonomy value -- see semantic defect SD-01"
APP-002,applications_platforms,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/application-platform-inventory.csv,lineage_gap,sampled rows,service_tower,Airline Operations AMS (APP-AIRDN-0001) vs Digital Customer and Loyalty AMS (linked CONT-AIRDN-0002 in vendor-contract-register.csv),cross_file_consistency_check,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,application,n/a,"correctly_deferred (would need to be, if consistency checked)",service_tower label disagrees between an application row and its own linked contract row for the same contract_id -- see semantic defect SD-02,n/a_not_published,n/a_not_published,consumption.application_inventory_v1 / vendor_contract_inventory_v1,lineage_gap,ApplicationPortfolio / VendorContractPortfolio,misclassified,"Evidence: application-platform-inventory.csv APP-AIRDN-0001 service_tower='Airline Operations AMS'; vendor-contract-register.csv CONT-AIRDN-0002 service_tower='Digital Customer and Loyalty AMS'. Same contract_id, different tower label."
INFRA-001,infrastructure_cloud,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/cloud-infrastructure-inventory.csv,lineage_gap,row2 (INFRA-AIRDN-00001),"infra_id,description,platform_type,deployment_model,service_tower",INFRA-AIRDN-00001 | secondary resilience data center | database platform | private cloud | Corporate and SAP AMS,infrastructure_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,infrastructure_asset,n/a,deferred_or_lineage_gap,10000 source rows have NO named projection object anywhere in CONSUMPTION_PROJECTION_REGISTRY.json (14 registered objects) or the published projection's 12 populated object counts,n/a_not_published,n/a_not_published,none_found_in_consumption_registry,lineage_gap,none_found_in_cube_model,lineage_gap,"This is the single largest source family by row count (10000, ~4x the next largest published object) with no traceable destination. Confirmed by grep across CONSUMPTION_PROJECTION_REGISTRY.json and knowledge_consumption_model.yml -- no infrastructure/cloud model or table name found."
DATA-001,data_analytics_bi_ai,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/data-analytics-ai-landscape.csv,lineage_gap,row2 (DATA-AIRDN-0001),"data_product_id,name,logical_footprint,lineage_status",DATA-AIRDN-0001 | CUSTOMER_SERVICE product 0001 | 0.2 PB logical footprint | lineage candidate,data_product_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,data_product,n/a,accepted (inferred; aggregate reconciliation only),"1250 source rows -> published data_product_inventory_v1=6580 rows (5.26x). CANONICAL_TO_PUBLICATION_MAPPING.xlsx maps this family to consumption.domain_summary_v1 (an aggregate, 10 rows total tenant-wide), NOT to data_product_inventory_v1. data_product_inventory_v1 does not appear anywhere in CONSUMPTION_PROJECTION_REGISTRY.json's 14 declared objects.",n/a_not_published,n/a_not_published,data_product_inventory_v1 (undeclared/ungoverned table),lineage_gap,DataAnalyticsEstate.data_product_count,cube_gap,Cube model DataAnalyticsEstate reads sql_table: consumption.data_product_inventory_v1 -- a table with real rows (6580) that has no entry in the governed CONSUMPTION_PROJECTION_REGISTRY.json contract and no traceable 1:1 relationship to the 1250-row source CSV. Contract drift.
INT-001,integrations,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/integration-middleware-inventory.csv,lineage_gap,row2 (INT-AIRDN-00001),"integration_id,from_app,to_app,pattern,frequency,service_tower",INT-AIRDN-00001 | APP-AIRDN-0008 | APP-AIRDN-0029 | API | near real-time | Operations Control,integration_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate / relationship_candidate,lineage_gap,integration,n/a,deferred_or_lineage_gap,6200 source rows have no dedicated projection object; may partially surface via relationship_edge_v1 (relationship_type in integrates_with/feeds/depends_on used by Cube's TechnologyEstate.integration_count measure) but no direct family-level count is reported in foundation-closure-authority-record,n/a_not_published,n/a_not_published,possibly relationship_edge_v1 (unconfirmed),lineage_gap,TechnologyEstate.integration_count,lineage_gap,"Cube defines integration_count against relationship_edge_v1 filtered by relationship_type -- plausible destination, but cannot confirm from repo whether integration-middleware-inventory.csv rows are actually the source of those edges (relationship-load-template.csv's from_object_type does not appear to include a value literally named 'integration')."
VEND-001,vendors,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/vendor-register.csv,lineage_gap,row2 (VEND-AIRDN-001),"vendor_id,vendor_name,vendor_type,service_tower",VEND-AIRDN-001 | Synthetic Supplier 001 | IMS | Corporate and SAP AMS,vendor_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,vendor,n/a,accepted (inferred; aggregate reconciliation only),420 source vendor rows -> published vendor_contract_inventory_v1=420 rows exactly -- consistent with vendor grain,n/a_not_published,n/a_not_published,consumption.vendor_contract_inventory_v1,lineage_gap,VendorContractPortfolio.vendor_count,semantically_matched,Exact count match (420=420) is the strongest 1:1 aggregate correspondence found anywhere in this audit.
CONT-001,contracts,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/vendor-contract-register.csv,lineage_gap,row2 (CONT-AIRDN-0002),"contract_id,vendor_id,rate_card_id,evaluation_criteria_id",CONT-AIRDN-0002 | VEND-AIRDN-015 | RATE-AIRDN-0002 | EVAL-LOT-AIRDN-02,contract_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,contract,n/a,deferred_or_lineage_gap,"820 source contract rows; published vendor_contract_inventory_v1=420 rows equals the VENDOR count, not the CONTRACT count -- if the object is meant to carry one row per contract, ~400 contract rows (49%) are unaccounted for; if it is meant to carry one row per vendor with nested contracts, that is undocumented in CONSUMPTION_PROJECTION_REGISTRY.json (key_fields for this projection are not published in the excerpt I could read)",n/a_not_published,n/a_not_published,consumption.vendor_contract_inventory_v1 (grain undocumented),lineage_gap,VendorContractPortfolio.active_contract_count / contract_renewal_exposure,lineage_gap,Cube measures active_contract_count and contract_renewal_exposure both read consumption.vendor_contract_inventory_v1 and assume contract-level rows exist with contract_state/renewal_exposure_usd fields -- cannot confirm this from a 420-row table if grain is vendor-level.
SLA-001,slas_incidents,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/procurement-sla-incident-history.csv,lineage_gap,row2 (SLAHIST-LOT-AIRDN-01),"sla_history_id,lot_id,period,disclosure_mode,gap_note",SLAHIST-LOT-AIRDN-01 | LOT-AIRDN-01 | last 18 months | range | capacity and knowledge-transfer gaps,sla_incident_row,lineage_gap,lineage_gap,lineage_gap,fact_candidate,lineage_gap,sla_incident_history,n/a,correctly_deferred,"range-disclosed, incumbent-performance narrative -- fits the audit's own deferred criteria (unsupported/weak-evidence sourcing conclusion, non-final)",n/a_not_published,n/a_not_published,"no dedicated projection found (not in CONSUMPTION_PROJECTION_REGISTRY.json, not in parser-visible-source-manifest.csv either)",lineage_gap,none,lineage_gap,"Family is one of the 9 procurement CSVs; parser-visible-source-manifest.csv only lists procurement files as SRC-AIRDN-* stubs, all other structural detail unresolved."
WORK-001,workforce_roles,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/technology-workforce-roster.csv,lineage_gap,row2 (WORK-AIRDN-00001),"role_id,employment_type,domain,service_tower,shore_model,rate_tier",WORK-AIRDN-00001 | contractor | Operations Control | Corporate and SAP AMS | nearshore | standard,workforce_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,workforce_role,n/a,deferred_or_lineage_gap,"9500 source rows, no dedicated projection object found",n/a_not_published,n/a_not_published,none_found,lineage_gap,none,lineage_gap,Second-largest source family with no confirmed destination -- same pattern as infrastructure (INFRA-001).
PROG-001,programs,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/program-portfolio.csv,lineage_gap,row2 (PROG-AIRDN-001),"program_id,name,domain,charter_tier,objective,dependency_family",PROG-AIRDN-001 | Crew recovery program 001 | Operations Control | P1 charter | operational resilience | DATA-AIRDN dependency family,program_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,program,n/a,deferred_or_lineage_gap,190 source rows; CANONICAL_TO_PUBLICATION_MAPPING.xlsx marks program mapping to consumption.module_knowledge_packet_v1 as 'provisional' confidence; module_knowledge_packet_v1 does not appear with a row count anywhere in foundation-closure-authority-record-20260729.json's 12-object breakdown,n/a_not_published,n/a_not_published,consumption.module_knowledge_packet_v1 (unconfirmed populated),lineage_gap,ProgramRiskControl.program_at_risk_count,cube_gap,Cube model ProgramRiskControl reads sql_table: consumption.module_knowledge_packet_v1 -- object is registered (14th entry in CONSUMPTION_PROJECTION_REGISTRY.json) but has zero corroborated rows in the only published row-count breakdown available.
