defect_id,severity,category,source_family,status,title,evidence_file,evidence_detail,downstream_location,recommendation
SD-01,medium,fact_correctness,applications_platforms,misclassified,application_type carries data-quality labels instead of a real taxonomy,clients/airline-demo-new/19-.../synthetic-source-samples/application-platform-inventory.csv,APP-AIRDN-0001 application_type='regional duplicate' -- 'duplicate' reads as a data-quality flag baked into what should be a clean type field,consumption.application_inventory_v1 -> Home/Source/Intelligence application views,Separate a real application_type taxonomy from a data-quality/dedup flag; do not let QA metadata masquerade as a business attribute.
SD-02,medium,identity_correctness,applications_platforms,wrong_identity,service_tower disagrees between an application row and its own linked contract row,application-platform-inventory.csv (APP-AIRDN-0001) vs vendor-contract-register.csv (CONT-AIRDN-0002),"Same contract_id linked from both records; application row says service_tower='Airline Operations AMS', contract row says service_tower='Digital Customer and Loyalty AMS'",consumption.application_inventory_v1 / vendor_contract_inventory_v1 -> Tower spend-by-tower views,"service_tower must be assigned once per canonical entity and propagated, not independently randomized per source file."
SD-03,high,lineage_correctness,infrastructure_cloud,lineage_gap,"10,000-row infrastructure/cloud family has no traceable consumption projection",CONSUMPTION_PROJECTION_REGISTRY.json (14 declared objects); foundation-closure-authority-record-20260729.json (12 populated object counts),cloud-infrastructure-inventory.csv is the single largest source file (10000 rows) but no projection_name in either the registry or the actual published counts corresponds to infrastructure/cloud,No projection found -> not reachable by any product surface,"Either add a governed infra/cloud consumption projection + Cube model, or explicitly document that infra collapses into technology_estate_v1/relationship edges and prove the row-count math."
SD-04,high,projection_correctness,data_analytics_bi_ai,cube_gap,"data_product_inventory_v1 (6580 rows, feeds Cube) is not declared in the consumption contract","CONSUMPTION_PROJECTION_REGISTRY.json (14 objects, no data_product_inventory_v1 entry); clients/shared/21-.../cube/knowledge_consumption_model.yml (DataAnalyticsEstate.sql_table=consumption.data_product_inventory_v1)","1250 source data-product rows map per CANONICAL_TO_PUBLICATION_MAPPING.xlsx to domain_summary_v1 (10 rows total), yet a *different*, undocumented 6580-row table is what the Cube model and the closure record actually report",consumption.data_product_inventory_v1 -> Cube DataAnalyticsEstate.data_product_count,"This is contract drift: either register data_product_inventory_v1 in CONSUMPTION_PROJECTION_REGISTRY.json with a defined source_publication and grain, or stop the Cube model from reading an ungoverned table."
SD-05,high,projection_correctness,risks_controls,projection_gap,evidence_gap_v1 has a confirmed source mapping from 650 risk rows but publishes 0 rows,"foundation-closure-authority-record-20260729.json (evidence_gap_v1: 0); CANONICAL_TO_PUBLICATION_MAPPING.xlsx (risk-register.csv -> knowledge.risk -> publication.risk_control_publication_v1 -> consumption.evidence_gap_v1, confirmed mapping)","risk-register.csv has 650 rows (e.g. RISK-AIRDN-0001 'supplier concentration', severity=high); published evidence_gap_v1 row count is exactly 0",consumption.evidence_gap_v1 -> Cube EnterpriseKnowledge.open_critical_gap_count -> Home/Source/Moves risk panels,"This is a pipeline failure, not a designed empty state: 650 governed risk rows never reached the gap projection. Must be re-run and re-verified before any client-facing risk panel is trusted."
SD-06,high,projection_correctness,kpis_metrics,projection_gap,"KPI family (420 rows, matches planned scale exactly) has no working path to any populated metrics projection","kpi-sla-catalog.csv (420 rows); CONSUMPTION_PROJECTION_REGISTRY.json (metric_observation_v1, sourced from metrics.metric_definition/metrics.metric_observation, NOT from kpi-sla-catalog.csv); foundation-closure-authority-record-20260729.json (metric_catalog_v1: 0, a third, undocumented name)","KPI-AIRDN-001 'crew recovery KPI 001' exists in source with disclosure_mode=range and an explicit 'needs owner signoff' flag, but neither metric_catalog_v1 nor metric_observation_v1 shows any published rows",No populated projection -> any KPI/metrics tile in Home/Tower/Cube would render empty,"Wire kpi-sla-catalog.csv into the governed metrics.metric_definition/metric_observation pipeline explicitly, or drop metric_catalog_v1 from the closure record if it is not a real object, to stop it masquerading as a checked projection."
SD-07,medium,projection_correctness,vendors_contracts,lineage_gap,"vendor_contract_inventory_v1 row count (420) matches vendor count, not contract count (820)",vendor-register.csv (420 rows) vs vendor-contract-register.csv (820 rows) vs foundation-closure-authority-record-20260729.json (vendor_contract_inventory_v1: 420),420=420 exact match to vendors; 820 contract rows have no confirmed separate representation,consumption.vendor_contract_inventory_v1 -> Cube VendorContractPortfolio.active_contract_count / contract_renewal_exposure,"Confirm and document the grain of vendor_contract_inventory_v1. If it is vendor-grain only, active_contract_count and contract_renewal_exposure (which assume contract-level fields) cannot be correct."
SD-08,high,relationship_correctness,relationships_graph,wrong_relationship,'capability' relationship endpoints (3000 edges) have no backing source catalog,"relationship-load-template.csv (60000 rows, from_object_type='capability' x3000, e.g. 'station recovery', 'disruption recovery')",No CSV among the 25 synthetic-source-samples files defines a capability catalog/register; capability values are free text with no ID space,consumption.relationship_node_v1/edge_v1 -> Cube RelationshipGraph -> Home Relationships graph UI,"Either add a governed capability catalog with real IDs, or exclude capability-origin edges from accepted/published relationships until they have an evidence trail."
SD-09,medium,evidence_correctness,source_procurement_evidence,correctly_deferred,Procurement scorecards and vendor proposals are commercial-interpretation content correctly self-flagged as non-final,"procurement-evaluation-scorecards.csv (evaluator_note='synthetic scorecard; final decision requires baseline and risk-owner signoff'); procurement-vendor-proposals.csv (transformation_claim, commercial_posture marketing language)",Content is honestly self-labeled non-final in the source data itself,n/a -- flagged as evidence the design intent is correct; could not confirm the actual review pipeline honored it per-row,"Positive finding: keep this content deferred. Recommend a live-DB spot-check (see sql-readback.sql) once reachable, to confirm 0 procurement-scorecard rows leaked into accepted."
SD-10,critical,governance_process,review_decision_ledger,lineage_gap,"The accepted=112,201 / deferred=152,029 control totals are asserted by exactly one self-reported summary record, not corroborated by any raw execution log in the repository",clients/airline-demo-new/21-processing-wave-execution/08-foundation-closure/foundation-closure-authority-record-20260729.json,"That file is the ONLY file in the entire repo, across 25+ worktrees searched, containing the literal strings '112201'/'152029'. The one raw execution log checked into the repo for the '10_accept_reject' review-apply stage (knowledge-review-via-validate-job-20260728-logs.txt, dated one day earlier) records status='failed_process', error='no_explicit_accepted_review_decisions'.","review_decisions.accepted/deferred -> everything downstream (domain publication, baseline, projection, Cube)","This is a genuine audit blocker, not nitpicking: the authority record itself states raw logs for the successful 2026-07-29 run were deliberately kept out of git ('operator proof bundle'). Until that bundle is produced for independent review, or live DB access is granted, these numbers must be treated as ONE_SOURCE / asserted, not verified."
