persona_id,persona_name,business_area,population_count,ai_relevance,work_context
SHA-PER-001,IROPS duty manager,OCC,340,High,"Recovery decision latency, passenger reaccommodation, crew legality"
SHA-PER-002,Dispatcher,Flight Operations,1150,Medium,"Flight plan changes, weather routing, release amendments"
SHA-PER-003,Crew scheduler,Crew Operations,930,High,"Crew legality, reserve assignment, hotel transport"
SHA-PER-004,Gate agent,Airport Ops,18500,High,"Misconnects, rebooking, upgrades, bag exceptions"
SHA-PER-005,Ramp supervisor,Airport Ops,4200,Medium,"Turnaround timing, equipment, deicing, bags"
SHA-PER-006,Aircraft maintenance controller,TechOps,880,High,"AOG, MEL/CDL, parts availability, deferral decisions"
SHA-PER-007,Contact center agent,Customer Experience,6200,High,"Refunds, vouchers, disruption recovery, loyalty exceptions"
SHA-PER-008,Revenue analyst,Revenue Management,740,Medium,"Pricing, inventory, demand shocks, competitor moves"
SHA-PER-009,Loyalty marketing manager,Loyalty,410,Medium,"Offers, segmentation, partner economics"
SHA-PER-010,Data engineer,Data & AI,620,High,"Teradata, lake, DataStage, Informatica, lineage"
SHA-PER-011,BI analyst,Data & AI,780,Medium,"Tableau, BusinessObjects, SAS, certified metrics"
SHA-PER-012,Mainframe engineer,Enterprise Platforms,410,High,"COBOL, CICS, DB2, MQ, batch windows"
SHA-PER-013,Cloud platform engineer,AWS Platform,520,High,"EKS, Lambda, Kafka/MSK, resilience, FinOps"
SHA-PER-014,SAP finance analyst,Finance,850,Medium,"Close, revenue accounting, procurement, controls"
SHA-PER-015,Security analyst,Cyber,420,High,"SOC triage, IAM, endpoint, fraud, privacy incident response"
SHA-PER-016,Product manager digital app,Digital,360,High,"Mobile app, personalization, self-service, journey orchestration"
SHA-PER-017,Vendor manager,Procurement,280,Medium,"AWS, IBM, Teradata, SAS, SAP, Adobe, Salesforce renewals"
SHA-PER-018,Executive decision owner,Transformation Office,90,High,"Portfolio, value proof, board reporting, dependencies"
