initiative_id,initiative_name,sponsor,initiative_owner,status,stage,start_date,target_date,value_hypothesis,dependent_ci_ids,dependent_contract_ids,policy_constraints,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
INIT-001,FedNow Payment Rails 1,Chief Information Officer,Core Banking Platform,Proposed,P1 Charter,2026-01-01,2026-06-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-FIS-HORIZON|CI-DATA-RISK-LAKE,CON-FIS-2026,POL-001|POL-004,Enterprise PMO,INIT-1,Enterprise PMO,2026-05-01,0.8,true,
INIT-002,Core Banking Modernization 1,Chief Risk Officer,Digital Payments Technology,In Design,P2 Diagnose,2026-02-01,2026-07-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-DIGITAL-BANKING|CI-WH-SNOWFLAKE,CON-FISERV-2026,POL-002|POL-005,Enterprise PMO,INIT-2,Enterprise PMO,2026-05-01,0.8,true,
INIT-003,AI Model Governance Workflow 1,Chief Financial Officer,Risk and Compliance Technology,Approved,P3 Design,2026-03-01,2026-08-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-FEDNOW|CI-APP-SERVICENOW,CON-NICE-2026,POL-003|POL-006,Enterprise PMO,INIT-3,Enterprise PMO,2026-05-01,0.8,true,
INIT-004,Credit Decisioning Platform 1,Chief Information Security Officer,Data and Model Governance,In Flight,P4 Roadmap,2026-04-01,2026-09-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-NICE-ACTIMIZE|CI-SEC-OKTA,CON-ADENZA-2026,POL-004|POL-007,Enterprise PMO,INIT-4,Enterprise PMO,2026-05-01,0.8,true,
INIT-005,Regulatory Reporting Automation 1,Chief Information Officer,Treasury Technology,Proposed,P1 Charter,2026-05-01,2026-10-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-ADENZA|CI-CLOUD-AWS-PROD,CON-AXIOMSL-2026,POL-005|POL-008,Enterprise PMO,INIT-5,Enterprise PMO,2026-05-01,0.8,true,
INIT-006,Fraud Operations Modernization 1,Chief Risk Officer,Commercial Banking Operations,In Design,P2 Diagnose,2026-06-01,2026-11-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-AXIOMSL|CI-CLOUD-AZURE-PROD,CON-SALESFORCE-2026,POL-006|POL-009,Enterprise PMO,INIT-6,Enterprise PMO,2026-05-01,0.8,true,
INIT-007,Cloud Controls Remediation 1,Chief Financial Officer,Cloud Platform Services,Approved,P3 Design,2026-01-01,2026-12-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-SALESFORCE-FSC|CI-APP-MUREX,CON-MUREX-2026,POL-007|POL-010,Enterprise PMO,INIT-7,Enterprise PMO,2026-05-01,0.8,true,
INIT-008,Data Warehouse Exit 1,Chief Information Security Officer,Cybersecurity Governance,In Flight,P4 Roadmap,2026-02-01,2026-01-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-RISK-LAKE|CI-APP-SAS-MRM,CON-SAS-2026,POL-008|POL-011,Enterprise PMO,INIT-8,Enterprise PMO,2026-05-01,0.8,true,
INIT-009,FedNow Payment Rails 2,Chief Information Officer,IT Sourcing,Proposed,P1 Charter,2026-03-01,2026-02-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-WH-SNOWFLAKE|CI-APP-WORKDAY-HCM,CON-TERADATA-2026,POL-009|POL-012,Enterprise PMO,INIT-9,Enterprise PMO,2026-05-01,0.8,true,
INIT-010,Core Banking Modernization 2,Chief Risk Officer,Finance Technology,In Design,P2 Diagnose,2026-04-01,2026-03-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-SERVICENOW|CI-APP-001,CON-NCINO-2026,POL-010|POL-013,Enterprise PMO,INIT-10,Enterprise PMO,2026-05-01,0.8,true,
INIT-011,AI Model Governance Workflow 2,Chief Financial Officer,Core Banking Platform,Approved,P3 Design,2026-05-01,2026-04-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SEC-OKTA|CI-SVC-002,CON-SNOW-2026,POL-011|POL-014,Enterprise PMO,INIT-11,Enterprise PMO,2026-05-01,0.8,true,
INIT-012,Credit Decisioning Platform 2,Chief Information Security Officer,Digital Payments Technology,In Flight,P4 Roadmap,2026-06-01,2026-05-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-CLOUD-AWS-PROD|CI-DATA-003,CON-MICROSOFT-2026,POL-012|POL-015,Enterprise PMO,INIT-12,Enterprise PMO,2026-05-01,0.8,true,
INIT-013,Regulatory Reporting Automation 2,Chief Information Officer,Risk and Compliance Technology,Proposed,P1 Charter,2026-01-01,2026-06-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-CLOUD-AZURE-PROD|CI-APP-004,CON-AWS-2026,POL-013|POL-016,Enterprise PMO,INIT-13,Enterprise PMO,2026-05-01,0.8,true,
INIT-014,Fraud Operations Modernization 2,Chief Risk Officer,Data and Model Governance,In Design,P2 Diagnose,2026-02-01,2026-07-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-MUREX|CI-SVC-005,CON-AZURE-2026,POL-014|POL-017,Enterprise PMO,INIT-14,Enterprise PMO,2026-05-01,0.8,true,
INIT-015,Cloud Controls Remediation 2,Chief Financial Officer,Treasury Technology,Approved,P3 Design,2026-03-01,2026-08-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-SAS-MRM|CI-DATA-006,CON-DATABRICKS-2026,POL-015|POL-018,Enterprise PMO,INIT-15,Enterprise PMO,2026-05-01,0.8,true,
INIT-016,Data Warehouse Exit 2,Chief Information Security Officer,Commercial Banking Operations,In Flight,P4 Roadmap,2026-04-01,2026-09-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-WORKDAY-HCM|CI-APP-007,CON-SNOWFLAKE-2026,POL-016|POL-019,Enterprise PMO,INIT-16,Enterprise PMO,2026-05-01,0.8,true,
INIT-017,FedNow Payment Rails 3,Chief Information Officer,Cloud Platform Services,Proposed,P1 Charter,2026-05-01,2026-10-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-001|CI-SVC-008,CON-OKTA-2026,POL-017|POL-020,Enterprise PMO,INIT-17,Enterprise PMO,2026-05-01,0.8,true,
INIT-018,Core Banking Modernization 3,Chief Risk Officer,Cybersecurity Governance,In Design,P2 Diagnose,2026-06-01,2026-11-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-002|CI-DATA-009,CON-CROWDSTRIKE-2026,POL-018|POL-021,Enterprise PMO,INIT-18,Enterprise PMO,2026-05-01,0.8,true,
INIT-019,AI Model Governance Workflow 3,Chief Financial Officer,IT Sourcing,Approved,P3 Design,2026-01-01,2026-12-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-003|CI-APP-010,CON-PALOALTO-2026,POL-019|POL-022,Enterprise PMO,INIT-19,Enterprise PMO,2026-05-01,0.8,true,
INIT-020,Credit Decisioning Platform 3,Chief Information Security Officer,Finance Technology,In Flight,P4 Roadmap,2026-02-01,2026-01-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-004|CI-SVC-011,CON-ZSCALER-2026,POL-020|POL-023,Enterprise PMO,INIT-20,Enterprise PMO,2026-05-01,0.8,true,
INIT-021,Regulatory Reporting Automation 3,Chief Information Officer,Core Banking Platform,Proposed,P1 Charter,2026-03-01,2026-02-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-005|CI-DATA-012,CON-BROADCOM-2026,POL-021|POL-024,Enterprise PMO,INIT-21,Enterprise PMO,2026-05-01,0.8,true,
INIT-022,Fraud Operations Modernization 3,Chief Risk Officer,Digital Payments Technology,In Design,P2 Diagnose,2026-04-01,2026-03-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-006|CI-APP-013,CON-CISCO-2026,POL-022|POL-025,Enterprise PMO,INIT-22,Enterprise PMO,2026-05-01,0.8,true,
INIT-023,Cloud Controls Remediation 3,Chief Financial Officer,Risk and Compliance Technology,Approved,P3 Design,2026-05-01,2026-04-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-007|CI-SVC-014,CON-VEEAM-2026,POL-023|POL-026,Enterprise PMO,INIT-23,Enterprise PMO,2026-05-01,0.8,true,
INIT-024,Data Warehouse Exit 3,Chief Information Security Officer,Data and Model Governance,In Flight,P4 Roadmap,2026-06-01,2026-05-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-008|CI-DATA-015,CON-HASHICORP-2026,POL-024|POL-027,Enterprise PMO,INIT-24,Enterprise PMO,2026-05-01,0.8,true,
