org_unit_id,person_or_group_id,name,role_title,reports_to_id,decision_domain,decision_right,approval_authority,delegated_to_id,escalation_path,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
ORG-EXEC,PERSON-PATRICIA,Patricia Huang,Chief Information Officer,PERSON-CEO,Core modernization and digital payments,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-PATRICIA,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-JAMES,James Park,Chief Risk Officer,PERSON-PATRICIA,Model risk and operational risk,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-JAMES,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-MICHAEL,Michael Torres,Chief Financial Officer,PERSON-PATRICIA,Capital allocation and expense discipline,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-MICHAEL,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-CISO,Tobias Aboagye,Chief Information Security Officer,PERSON-PATRICIA,Cybersecurity and third-party risk,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-CISO,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-CDO,Elena Marquez,Chief Data Officer,PERSON-PATRICIA,Data governance and AI-ready data products,Recommend,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-CDO,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-CTO,Maya Desai,Chief Technology Officer,PERSON-PATRICIA,Architecture and cloud engineering standards,Recommend,Decision forum charter authority,,Executive Steering Committee,Workday,PERSON-CTO,People Operations,2026-05-01,0.92,true,
ORG-GOVERNANCE,GROUP-MRM,Model Risk Committee,Governance Body,PERSON-PATRICIA,Model and AI approvals,Approve,Decision forum charter authority,,Executive Steering Committee,Workday,GROUP-MRM,People Operations,2026-05-01,0.92,true,
ORG-GOVERNANCE,GROUP-SOURCING,IT Sourcing Council,Governance Body,PERSON-PATRICIA,Vendor selection and renewal strategy,Recommend,Decision forum charter authority,,Executive Steering Committee,Workday,GROUP-SOURCING,People Operations,2026-05-01,0.92,true,
ORG-GOVERNANCE,GROUP-CAB,Enterprise Change Advisory Board,Governance Body,PERSON-PATRICIA,Production change approvals,Approve,Decision forum charter authority,,Executive Steering Committee,Workday,GROUP-CAB,People Operations,2026-05-01,0.92,true,
ORG-01,GROUP-OPS-01,Digital Payments Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Digital Payments Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-1,Digital Payments Technology,2026-05-01,0.8,true,
ORG-02,GROUP-OPS-02,Risk and Compliance Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Risk and Compliance Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-2,Risk and Compliance Technology,2026-05-01,0.8,true,
ORG-03,GROUP-OPS-03,Data and Model Governance Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Data and Model Governance data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-3,Data and Model Governance,2026-05-01,0.8,true,
ORG-04,GROUP-OPS-04,Treasury Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Treasury Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-4,Treasury Technology,2026-05-01,0.8,true,
ORG-05,GROUP-OPS-05,Commercial Banking Operations Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Commercial Banking Operations data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-5,Commercial Banking Operations,2026-05-01,0.8,true,
ORG-06,GROUP-OPS-06,Cloud Platform Services Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Cloud Platform Services data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-6,Cloud Platform Services,2026-05-01,0.8,true,
ORG-07,GROUP-OPS-07,Cybersecurity Governance Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Cybersecurity Governance data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-7,Cybersecurity Governance,2026-05-01,0.8,true,
ORG-08,GROUP-OPS-08,IT Sourcing Stewardship Group,Operational Stewardship Group,PERSON-JAMES,IT Sourcing data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-8,IT Sourcing,2026-05-01,0.8,true,
ORG-09,GROUP-OPS-09,Finance Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Finance Technology data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-9,Finance Technology,2026-05-01,0.8,true,
ORG-10,GROUP-OPS-10,Core Banking Platform Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Core Banking Platform data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-10,Core Banking Platform,2026-05-01,0.8,true,
ORG-11,GROUP-OPS-11,Digital Payments Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Digital Payments Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-11,Digital Payments Technology,2026-05-01,0.8,true,
ORG-12,GROUP-OPS-12,Risk and Compliance Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Risk and Compliance Technology data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-12,Risk and Compliance Technology,2026-05-01,0.8,true,
ORG-13,GROUP-OPS-13,Data and Model Governance Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Data and Model Governance data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-13,Data and Model Governance,2026-05-01,0.8,true,
ORG-14,GROUP-OPS-14,Treasury Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Treasury Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-14,Treasury Technology,2026-05-01,0.8,true,
ORG-15,GROUP-OPS-15,Commercial Banking Operations Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Commercial Banking Operations data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-15,Commercial Banking Operations,2026-05-01,0.8,true,
ORG-16,GROUP-OPS-16,Cloud Platform Services Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Cloud Platform Services data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-16,Cloud Platform Services,2026-05-01,0.8,true,
