risk_id,risk_title,risk_type,control_id,policy_id,owner,severity,likelihood,status,linked_ci_ids,linked_vendor_ids,remediation_due_date,evidence_required,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
RISK-001,Critical CI owner validation is stale,Operational,CTRL-100,POL-001,Core Banking Platform,Critical,High,Mitigating,CI-APP-FIS-HORIZON|CI-APP-ADENZA,VEN-FIS,2026-07-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-1,GRC Office,2026-05-01,0.79,false,
RISK-002,Renewal decision date lacks sourcing owner,Security,CTRL-101,POL-002,Digital Payments Technology,Medium,Medium,Open,CI-APP-DIGITAL-BANKING|CI-APP-AXIOMSL,VEN-FISERV,2026-08-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-2,GRC Office,2026-05-01,0.79,true,
RISK-003,AI workflow lacks model monitoring evidence,Privacy,CTRL-102,POL-003,Risk and Compliance Technology,Medium,Medium,Open,CI-SVC-FEDNOW|CI-APP-SALESFORCE-FSC,VEN-NICE,2026-09-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-3,GRC Office,2026-05-01,0.79,true,
RISK-004,Incident trend worsened for dependent service,Compliance,CTRL-103,POL-004,Data and Model Governance,High,Medium,Open,CI-APP-NICE-ACTIMIZE|CI-DATA-RISK-LAKE,VEN-ADENZA,2026-10-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-4,GRC Office,2026-05-01,0.79,true,
RISK-005,Vendor security review due before renewal,Financial,CTRL-104,POL-005,Treasury Technology,Medium,Medium,Mitigating,CI-APP-ADENZA|CI-WH-SNOWFLAKE,VEN-AXIOMSL,2026-11-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-5,GRC Office,2026-05-01,0.79,true,
RISK-006,Policy review date approaching without steward attestation,AI Governance,CTRL-105,POL-006,Commercial Banking Operations,Medium,High,Open,CI-APP-AXIOMSL|CI-APP-SERVICENOW,VEN-SALESFORCE,2026-12-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-6,GRC Office,2026-05-01,0.79,false,
RISK-007,Critical CI owner validation is stale,Vendor,CTRL-106,POL-007,Cloud Platform Services,High,Medium,Open,CI-APP-SALESFORCE-FSC|CI-SEC-OKTA,VEN-MUREX,2026-01-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-7,GRC Office,2026-05-01,0.79,true,
RISK-008,Renewal decision date lacks sourcing owner,Operational,CTRL-107,POL-008,Cybersecurity Governance,Critical,Medium,Open,CI-DATA-RISK-LAKE|CI-CLOUD-AWS-PROD,VEN-SAS,2026-02-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-8,GRC Office,2026-05-01,0.79,true,
RISK-009,AI workflow lacks model monitoring evidence,Security,CTRL-108,POL-009,IT Sourcing,Medium,Medium,Mitigating,CI-WH-SNOWFLAKE|CI-CLOUD-AZURE-PROD,VEN-TERADATA,2026-03-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-9,GRC Office,2026-05-01,0.79,true,
RISK-010,Incident trend worsened for dependent service,Privacy,CTRL-109,POL-010,Finance Technology,High,Medium,Open,CI-APP-SERVICENOW|CI-APP-MUREX,VEN-DATABRICKS,2026-04-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-10,GRC Office,2026-05-01,0.79,true,
RISK-011,Vendor security review due before renewal,Compliance,CTRL-110,POL-011,Core Banking Platform,Medium,High,Open,CI-SEC-OKTA|CI-APP-SAS-MRM,VEN-SNOW,2026-05-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-11,GRC Office,2026-05-01,0.79,false,
RISK-012,Policy review date approaching without steward attestation,Financial,CTRL-111,POL-012,Digital Payments Technology,Medium,Medium,Open,CI-CLOUD-AWS-PROD|CI-APP-WORKDAY-HCM,VEN-MICROSOFT,2026-06-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-12,GRC Office,2026-05-01,0.79,true,
RISK-013,Critical CI owner validation is stale,AI Governance,CTRL-112,POL-013,Risk and Compliance Technology,High,Medium,Mitigating,CI-CLOUD-AZURE-PROD|CI-APP-001,VEN-AWS,2026-07-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-13,GRC Office,2026-05-01,0.79,true,
RISK-014,Renewal decision date lacks sourcing owner,Vendor,CTRL-113,POL-014,Data and Model Governance,Medium,Medium,Open,CI-APP-MUREX|CI-SVC-002,VEN-AZURE,2026-08-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-14,GRC Office,2026-05-01,0.79,true,
RISK-015,AI workflow lacks model monitoring evidence,Operational,CTRL-114,POL-015,Treasury Technology,Critical,Medium,Open,CI-APP-SAS-MRM|CI-DATA-003,VEN-DATABRICKS,2026-09-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-15,GRC Office,2026-05-01,0.79,true,
RISK-016,Incident trend worsened for dependent service,Security,CTRL-115,POL-016,Commercial Banking Operations,High,High,Open,CI-APP-WORKDAY-HCM|CI-APP-004,VEN-SNOWFLAKE,2026-10-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-16,GRC Office,2026-05-01,0.79,false,
RISK-017,Vendor security review due before renewal,Privacy,CTRL-116,POL-017,Cloud Platform Services,Medium,Medium,Mitigating,CI-APP-001|CI-SVC-005,VEN-OKTA,2026-11-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-17,GRC Office,2026-05-01,0.79,true,
RISK-018,Policy review date approaching without steward attestation,Compliance,CTRL-117,POL-018,Cybersecurity Governance,Medium,Medium,Open,CI-SVC-002|CI-DATA-006,VEN-CROWDSTRIKE,2026-12-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-18,GRC Office,2026-05-01,0.79,true,
RISK-019,Critical CI owner validation is stale,Financial,CTRL-118,POL-019,IT Sourcing,High,Medium,Open,CI-DATA-003|CI-APP-007,VEN-PALOALTO,2026-01-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-19,GRC Office,2026-05-01,0.79,true,
RISK-020,Renewal decision date lacks sourcing owner,AI Governance,CTRL-119,POL-020,Finance Technology,Medium,Medium,Open,CI-APP-004|CI-SVC-008,VEN-ZSCALER,2026-02-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-20,GRC Office,2026-05-01,0.79,true,
RISK-021,AI workflow lacks model monitoring evidence,Vendor,CTRL-120,POL-021,Core Banking Platform,Medium,High,Mitigating,CI-SVC-005|CI-DATA-009,VEN-BROADCOM,2026-03-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-21,GRC Office,2026-05-01,0.79,false,
RISK-022,Incident trend worsened for dependent service,Operational,CTRL-121,POL-022,Digital Payments Technology,Critical,Medium,Open,CI-DATA-006|CI-APP-010,VEN-CISCO,2026-04-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-22,GRC Office,2026-05-01,0.79,true,
RISK-023,Vendor security review due before renewal,Security,CTRL-122,POL-023,Risk and Compliance Technology,Medium,Medium,Open,CI-APP-007|CI-SVC-011,VEN-VEEAM,2026-05-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-23,GRC Office,2026-05-01,0.79,true,
RISK-024,Policy review date approaching without steward attestation,Privacy,CTRL-123,POL-024,Data and Model Governance,Medium,Medium,Open,CI-SVC-008|CI-DATA-012,VEN-HASHICORP,2026-06-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-24,GRC Office,2026-05-01,0.79,true,
RISK-025,Critical CI owner validation is stale,Compliance,CTRL-124,POL-025,Treasury Technology,High,Medium,Mitigating,CI-DATA-009|CI-APP-013,VEN-QLIK,2026-07-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-25,GRC Office,2026-05-01,0.79,true,
RISK-026,Renewal decision date lacks sourcing owner,Financial,CTRL-125,POL-026,Commercial Banking Operations,Medium,High,Open,CI-APP-010|CI-SVC-014,VEN-QUALTRICS,2026-08-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-26,GRC Office,2026-05-01,0.79,false,
RISK-027,AI workflow lacks model monitoring evidence,AI Governance,CTRL-126,POL-027,Cloud Platform Services,Medium,Medium,Open,CI-SVC-011|CI-DATA-015,VEN-WORKDAY,2026-09-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-27,GRC Office,2026-05-01,0.79,true,
RISK-028,Incident trend worsened for dependent service,Vendor,CTRL-127,POL-028,Cybersecurity Governance,High,Medium,Open,CI-DATA-012|CI-APP-016,VEN-FIS,2026-10-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-28,GRC Office,2026-05-01,0.79,true,
RISK-029,Vendor security review due before renewal,Operational,CTRL-128,POL-029,IT Sourcing,Critical,Medium,Mitigating,CI-APP-013|CI-SVC-017,VEN-FISERV,2026-11-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-29,GRC Office,2026-05-01,0.79,true,
RISK-030,Policy review date approaching without steward attestation,Security,CTRL-129,POL-030,Finance Technology,Medium,Medium,Open,CI-SVC-014|CI-DATA-018,VEN-NICE,2026-12-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-30,GRC Office,2026-05-01,0.79,true,
