data_domain_id,domain_name,data_owner,data_steward,source_systems,critical_data_elements,classification,quality_score,retention_policy,ai_use_allowed,last_quality_review,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
DATA-001,Customer Master Domain 1,Chief Data Officer,Core Banking Platform,FIS HORIZON Core Banking|AxiomSL Risk Reporting,Service ID|Owner|Status|Timestamp,Restricted,0.72,Enterprise retention schedule,Prohibited,2026-04-01,Data catalog,DATA-1,Data Governance,2026-05-01,0.82,true,
DATA-002,Account Ledger Domain 1,Chief Risk Officer,Digital Payments Technology,Digital Banking Platform|Salesforce Financial Services Cloud,Service ID|Owner|Status|Timestamp,Internal,0.73,Enterprise retention schedule,Allowed,2026-04-02,Data catalog,DATA-2,Data Governance,2026-05-01,0.82,true,
DATA-003,Payments Domain 1,VP Payments Operations,Risk and Compliance Technology,FedNow Payment Rails Service|Risk and Model Data Lake,Service ID|Owner|Status|Timestamp,Internal,0.74,Enterprise retention schedule,Allowed,2026-04-03,Data catalog,DATA-3,Data Governance,2026-05-01,0.82,true,
DATA-004,Credit Risk Domain 1,Regulatory Reporting Office,Data and Model Governance,NICE Actimize Financial Crime|Snowflake Bank Data Cloud,Service ID|Owner|Status|Timestamp,Confidential,0.75,Enterprise retention schedule,Conditional,2026-04-04,Data catalog,DATA-4,Data Governance,2026-05-01,0.82,true,
DATA-005,Model Inventory Domain 1,Chief Data Officer,Treasury Technology,Adenza Regulatory Reporting|ServiceNow ITSM and CMDB,Service ID|Owner|Status|Timestamp,Restricted,0.76,Enterprise retention schedule,Allowed,2026-04-05,Data catalog,DATA-5,Data Governance,2026-05-01,0.82,true,
DATA-006,Regulatory Reporting Domain 1,Chief Risk Officer,Commercial Banking Operations,AxiomSL Risk Reporting|Okta Identity Service,Service ID|Owner|Status|Timestamp,Internal,0.77,Enterprise retention schedule,Allowed,2026-04-06,Data catalog,DATA-6,Data Governance,2026-05-01,0.82,true,
DATA-007,Treasury Domain 1,VP Payments Operations,Cloud Platform Services,Salesforce Financial Services Cloud|AWS Production Landing Zone,Service ID|Owner|Status|Timestamp,Confidential,0.78,Enterprise retention schedule,Prohibited,2026-04-07,Data catalog,DATA-7,Data Governance,2026-05-01,0.82,true,
DATA-008,Financial Planning Domain 1,Regulatory Reporting Office,Cybersecurity Governance,Risk and Model Data Lake|Azure Production Landing Zone,Service ID|Owner|Status|Timestamp,Internal,0.79,Enterprise retention schedule,Allowed,2026-04-08,Data catalog,DATA-8,Data Governance,2026-05-01,0.82,true,
DATA-009,Customer Master Domain 2,Chief Data Officer,IT Sourcing,Snowflake Bank Data Cloud|Murex Treasury Platform,Service ID|Owner|Status|Timestamp,Restricted,0.8,Enterprise retention schedule,Allowed,2026-04-09,Data catalog,DATA-9,Data Governance,2026-05-01,0.82,true,
DATA-010,Account Ledger Domain 2,Chief Risk Officer,Finance Technology,ServiceNow ITSM and CMDB|SAS Model Risk Analytics,Service ID|Owner|Status|Timestamp,Confidential,0.81,Enterprise retention schedule,Conditional,2026-04-10,Data catalog,DATA-10,Data Governance,2026-05-01,0.82,true,
DATA-011,Payments Domain 2,VP Payments Operations,Core Banking Platform,Okta Identity Service|Workday HCM,Service ID|Owner|Status|Timestamp,Internal,0.82,Enterprise retention schedule,Allowed,2026-04-11,Data catalog,DATA-11,Data Governance,2026-05-01,0.82,true,
DATA-012,Credit Risk Domain 2,Regulatory Reporting Office,Digital Payments Technology,AWS Production Landing Zone|Commercial Loan Origination 1,Service ID|Owner|Status|Timestamp,Internal,0.83,Enterprise retention schedule,Allowed,2026-04-12,Data catalog,DATA-12,Data Governance,2026-05-01,0.82,true,
DATA-013,Model Inventory Domain 2,Chief Data Officer,Risk and Compliance Technology,Azure Production Landing Zone|Deposit Pricing Engine 1,Service ID|Owner|Status|Timestamp,Restricted,0.84,Enterprise retention schedule,Prohibited,2026-04-13,Data catalog,DATA-13,Data Governance,2026-05-01,0.82,true,
