change_id,planned_start,planned_end,ci_id,business_service,change_type,risk_level,approval_group,implementation_owner,status,backout_plan_tested,caused_incident_id,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CHG0048000,2026-01-01,2026-01-01,CI-APP-FIS-HORIZON,Core Banking,Emergency,High,Model Risk Committee,Digital Payments Technology,Failed,false,INC0120000,ServiceNow,CHG48000,Change Management,2026-05-01,0.83,false,
CHG0048001,2026-02-02,2026-02-02,CI-APP-AXIOMSL,Risk Reporting,Normal,Low,Enterprise CAB,Cloud Platform Services,Scheduled,true,,ServiceNow,CHG48001,Change Management,2026-05-01,0.83,true,
CHG0048002,2026-03-03,2026-03-03,CI-SEC-OKTA,Identity and Access,Normal,Low,Enterprise CAB,Digital Payments Technology,Scheduled,true,,ServiceNow,CHG48002,Change Management,2026-05-01,0.83,true,
CHG0048003,2026-04-04,2026-04-04,CI-APP-WORKDAY-HCM,Workforce Management,Normal,Low,Model Risk Committee,Cloud Platform Services,Implemented,true,,ServiceNow,CHG48003,Change Management,2026-05-01,0.83,true,
CHG0048004,2026-05-05,2026-05-05,CI-SVC-005,Branch Workforce Scheduling,Standard,Low,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48004,Change Management,2026-05-01,0.83,true,
CHG0048005,2026-06-06,2026-06-06,CI-APP-010,Card Fraud Triage,Normal,Medium,Enterprise CAB,Risk and Compliance Technology,Scheduled,true,,ServiceNow,CHG48005,Change Management,2026-05-01,0.83,true,
CHG0048006,2026-01-07,2026-01-07,CI-DATA-015,Wealth Client Portal,Normal,Low,Model Risk Committee,Cybersecurity Governance,Implemented,true,,ServiceNow,CHG48006,Change Management,2026-05-01,0.83,true,
CHG0048007,2026-02-08,2026-02-08,CI-SVC-020,Wire Transfer Monitoring,Normal,Low,Enterprise CAB,Risk and Compliance Technology,Scheduled,false,,ServiceNow,CHG48007,Change Management,2026-05-01,0.83,true,
CHG0048008,2026-03-09,2026-03-09,CI-APP-025,Liquidity Reporting,Standard,Low,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48008,Change Management,2026-05-01,0.83,true,
CHG0048009,2026-04-10,2026-04-10,CI-DATA-030,Regulatory Change Tracker,Normal,Low,Model Risk Committee,Risk and Compliance Technology,Implemented,true,,ServiceNow,CHG48009,Change Management,2026-05-01,0.83,true,
CHG0048010,2026-05-11,2026-05-11,CI-SVC-035,Treasury Cash Forecasting,Normal,Medium,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48010,Change Management,2026-05-01,0.83,true,
CHG0048011,2026-06-12,2026-06-12,CI-APP-040,Model Inventory Workflow,Normal,Low,Enterprise CAB,Risk and Compliance Technology,Failed,true,INC0120011,ServiceNow,CHG48011,Change Management,2026-05-01,0.83,false,
CHG0048012,2026-01-13,2026-01-13,CI-DATA-045,Collateral Valuation,Standard,Low,Model Risk Committee,Cybersecurity Governance,Implemented,true,,ServiceNow,CHG48012,Change Management,2026-05-01,0.83,true,
CHG0048013,2026-02-14,2026-02-14,CI-SVC-050,Deposit Pricing Engine,Normal,Low,Enterprise CAB,Risk and Compliance Technology,Scheduled,true,,ServiceNow,CHG48013,Change Management,2026-05-01,0.83,true,
CHG0048014,2026-03-15,2026-03-15,CI-APP-055,CCAR Scenario Data Mart,Normal,Low,Enterprise CAB,Cybersecurity Governance,Scheduled,false,,ServiceNow,CHG48014,Change Management,2026-05-01,0.83,true,
CHG0048015,2026-04-16,2026-04-16,CI-DATA-060,KYC Refresh Workflow,Normal,Medium,Model Risk Committee,Risk and Compliance Technology,Implemented,true,,ServiceNow,CHG48015,Change Management,2026-05-01,0.83,true,
CHG0048016,2026-05-17,2026-05-17,CI-SVC-065,Commercial Loan Origination,Standard,Low,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48016,Change Management,2026-05-01,0.83,true,
CHG0048017,2026-06-18,2026-06-18,CI-APP-NICE-ACTIMIZE,Fraud and AML,Emergency,High,Enterprise CAB,Treasury Technology,Scheduled,true,,ServiceNow,CHG48017,Change Management,2026-05-01,0.83,true,
CHG0048018,2026-01-19,2026-01-19,CI-WH-SNOWFLAKE,Enterprise Reporting,Normal,Low,Model Risk Committee,Finance Technology,Implemented,true,,ServiceNow,CHG48018,Change Management,2026-05-01,0.83,true,
CHG0048019,2026-02-20,2026-02-20,CI-APP-MUREX,Treasury and Markets,Normal,Low,Enterprise CAB,Treasury Technology,Scheduled,true,,ServiceNow,CHG48019,Change Management,2026-05-01,0.83,true,
CHG0048020,2026-03-21,2026-03-21,CI-DATA-003,Treasury Cash Forecasting,Standard,Medium,Enterprise CAB,Commercial Banking Operations,Scheduled,true,,ServiceNow,CHG48020,Change Management,2026-05-01,0.83,true,
CHG0048021,2026-04-22,2026-04-22,CI-SVC-008,Model Inventory Workflow,Normal,Low,Model Risk Committee,Core Banking Platform,Implemented,false,,ServiceNow,CHG48021,Change Management,2026-05-01,0.83,true,
CHG0048022,2026-05-23,2026-05-23,CI-APP-013,Collateral Valuation,Normal,Low,Enterprise CAB,Commercial Banking Operations,Failed,true,INC0120022,ServiceNow,CHG48022,Change Management,2026-05-01,0.83,false,
CHG0048023,2026-06-24,2026-06-24,CI-DATA-018,Deposit Pricing Engine,Normal,Low,Enterprise CAB,Core Banking Platform,Scheduled,true,,ServiceNow,CHG48023,Change Management,2026-05-01,0.83,true,
CHG0048024,2026-01-25,2026-01-25,CI-SVC-023,CCAR Scenario Data Mart,Standard,Low,Model Risk Committee,Commercial Banking Operations,Implemented,true,,ServiceNow,CHG48024,Change Management,2026-05-01,0.83,true,
CHG0048025,2026-02-26,2026-02-26,CI-APP-028,KYC Refresh Workflow,Normal,Medium,Enterprise CAB,Core Banking Platform,Scheduled,true,,ServiceNow,CHG48025,Change Management,2026-05-01,0.83,true,
CHG0048026,2026-03-01,2026-03-01,CI-DATA-033,Commercial Loan Origination,Normal,Low,Enterprise CAB,Commercial Banking Operations,Scheduled,true,,ServiceNow,CHG48026,Change Management,2026-05-01,0.83,true,
CHG0048027,2026-04-02,2026-04-02,CI-SVC-038,Customer Risk Rating,Normal,Low,Model Risk Committee,Core Banking Platform,Implemented,true,,ServiceNow,CHG48027,Change Management,2026-05-01,0.83,true,
CHG0048028,2026-05-03,2026-05-03,CI-APP-043,Digital Onboarding,Standard,Low,Enterprise CAB,Commercial Banking Operations,Scheduled,false,,ServiceNow,CHG48028,Change Management,2026-05-01,0.83,true,
CHG0048029,2026-06-04,2026-06-04,CI-DATA-048,Data Quality Rule Engine,Normal,Low,Enterprise CAB,Core Banking Platform,Scheduled,true,,ServiceNow,CHG48029,Change Management,2026-05-01,0.83,true,
CHG0048030,2026-01-05,2026-01-05,CI-SVC-053,Branch Workforce Scheduling,Normal,Medium,Model Risk Committee,Commercial Banking Operations,Implemented,true,,ServiceNow,CHG48030,Change Management,2026-05-01,0.83,true,
CHG0048031,2026-02-06,2026-02-06,CI-APP-058,Card Fraud Triage,Normal,Low,Enterprise CAB,Core Banking Platform,Scheduled,true,,ServiceNow,CHG48031,Change Management,2026-05-01,0.83,true,
CHG0048032,2026-03-07,2026-03-07,CI-DATA-063,Wealth Client Portal,Standard,Low,Enterprise CAB,Commercial Banking Operations,Scheduled,true,,ServiceNow,CHG48032,Change Management,2026-05-01,0.83,true,
CHG0048033,2026-04-08,2026-04-08,CI-APP-DIGITAL-BANKING,Digital Banking,Normal,Low,Model Risk Committee,Risk and Compliance Technology,Failed,true,INC0120033,ServiceNow,CHG48033,Change Management,2026-05-01,0.83,false,
CHG0048034,2026-05-09,2026-05-09,CI-APP-SALESFORCE-FSC,Relationship Management,Emergency,High,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48034,Change Management,2026-05-01,0.83,true,
CHG0048035,2026-06-10,2026-06-10,CI-CLOUD-AWS-PROD,Cloud Hosting,Normal,Medium,Enterprise CAB,Risk and Compliance Technology,Scheduled,false,,ServiceNow,CHG48035,Change Management,2026-05-01,0.83,true,
CHG0048036,2026-01-11,2026-01-11,CI-APP-001,Commercial Loan Origination,Standard,Low,Model Risk Committee,Data and Model Governance,Implemented,true,,ServiceNow,CHG48036,Change Management,2026-05-01,0.83,true,
CHG0048037,2026-02-12,2026-02-12,CI-DATA-006,Customer Risk Rating,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,true,,ServiceNow,CHG48037,Change Management,2026-05-01,0.83,true,
CHG0048038,2026-03-13,2026-03-13,CI-SVC-011,Digital Onboarding,Normal,Low,Enterprise CAB,Data and Model Governance,Scheduled,true,,ServiceNow,CHG48038,Change Management,2026-05-01,0.83,true,
CHG0048039,2026-04-14,2026-04-14,CI-APP-016,Data Quality Rule Engine,Normal,Low,Model Risk Committee,IT Sourcing,Implemented,true,,ServiceNow,CHG48039,Change Management,2026-05-01,0.83,true,
CHG0048040,2026-05-15,2026-05-15,CI-DATA-021,Branch Workforce Scheduling,Standard,Medium,Enterprise CAB,Data and Model Governance,Scheduled,true,,ServiceNow,CHG48040,Change Management,2026-05-01,0.83,true,
CHG0048041,2026-06-16,2026-06-16,CI-SVC-026,Card Fraud Triage,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,true,,ServiceNow,CHG48041,Change Management,2026-05-01,0.83,true,
CHG0048042,2026-01-17,2026-01-17,CI-APP-031,Wealth Client Portal,Normal,Low,Model Risk Committee,Data and Model Governance,Implemented,false,,ServiceNow,CHG48042,Change Management,2026-05-01,0.83,true,
CHG0048043,2026-02-18,2026-02-18,CI-DATA-036,Wire Transfer Monitoring,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,true,,ServiceNow,CHG48043,Change Management,2026-05-01,0.83,true,
CHG0048044,2026-03-19,2026-03-19,CI-SVC-041,Liquidity Reporting,Standard,Low,Enterprise CAB,Data and Model Governance,Failed,true,INC0120044,ServiceNow,CHG48044,Change Management,2026-05-01,0.83,false,
CHG0048045,2026-04-20,2026-04-20,CI-APP-046,Regulatory Change Tracker,Normal,Medium,Model Risk Committee,IT Sourcing,Implemented,true,,ServiceNow,CHG48045,Change Management,2026-05-01,0.83,true,
CHG0048046,2026-05-21,2026-05-21,CI-DATA-051,Treasury Cash Forecasting,Normal,Low,Enterprise CAB,Data and Model Governance,Scheduled,true,,ServiceNow,CHG48046,Change Management,2026-05-01,0.83,true,
CHG0048047,2026-06-22,2026-06-22,CI-SVC-056,Model Inventory Workflow,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,true,,ServiceNow,CHG48047,Change Management,2026-05-01,0.83,true,
CHG0048048,2026-01-23,2026-01-23,CI-APP-061,Collateral Valuation,Standard,Low,Model Risk Committee,Data and Model Governance,Implemented,true,,ServiceNow,CHG48048,Change Management,2026-05-01,0.83,true,
CHG0048049,2026-02-24,2026-02-24,CI-DATA-066,Deposit Pricing Engine,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,false,,ServiceNow,CHG48049,Change Management,2026-05-01,0.83,true,
CHG0048050,2026-03-25,2026-03-25,CI-APP-ADENZA,Regulatory Reporting,Normal,Medium,Enterprise CAB,Commercial Banking Operations,Scheduled,true,,ServiceNow,CHG48050,Change Management,2026-05-01,0.83,true,
CHG0048051,2026-04-26,2026-04-26,CI-APP-SERVICENOW,IT Service Management,Emergency,High,Model Risk Committee,Core Banking Platform,Implemented,true,,ServiceNow,CHG48051,Change Management,2026-05-01,0.83,true,
