period,metric,value,currency_or_unit,segment,margin_bridge_driver,source_report,owner_role,formula,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
FY2026-Q2,Revenue,4200000000,$,Finance,reported revenue,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for Revenue with CFO/CXO review grain.,KPI Catalog,KPI-LSH-001,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,EBITDA margin,73,%,Finance,profitability,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for EBITDA margin with CFO/CXO review grain.,KPI Catalog,KPI-LSH-002,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Free cash flow,74,$,Finance,cash conversion,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for Free cash flow with CFO/CXO review grain.,KPI Catalog,KPI-LSH-003,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Working capital days,75,days,Finance,cash discipline,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for Working capital days with CFO/CXO review grain.,KPI Catalog,KPI-LSH-004,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Forecast accuracy,76,%,Finance,planning quality,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for Forecast accuracy with CFO/CXO review grain.,KPI Catalog,KPI-LSH-005,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Daily cash visibility by 07:30 CT,4075000000,%,Treasury,cash control,Lakeshore CXO KPI Catalog v2,VP Treasury,Synthetic KPI definition for Daily cash visibility by 07:30 CT with CFO/CXO review grain.,KPI Catalog,KPI-LSH-006,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Bank connectivity success rate,78,%,Treasury,Kyriba readiness,Lakeshore CXO KPI Catalog v2,VP Treasury,Synthetic KPI definition for Bank connectivity success rate with CFO/CXO review grain.,KPI Catalog,KPI-LSH-007,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Payment exception rate,79,%,Treasury,controls,Lakeshore CXO KPI Catalog v2,VP Treasury,Synthetic KPI definition for Payment exception rate with CFO/CXO review grain.,KPI Catalog,KPI-LSH-008,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,On-time in-full,80,%,Supply chain,customer service,Lakeshore CXO KPI Catalog v2,Chief Supply Chain Officer,Synthetic KPI definition for On-time in-full with CFO/CXO review grain.,KPI Catalog,KPI-LSH-009,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Inventory turns,81,turns,Supply chain,inventory productivity,Lakeshore CXO KPI Catalog v2,VP Supply Chain Planning,Synthetic KPI definition for Inventory turns with CFO/CXO review grain.,KPI Catalog,KPI-LSH-010,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Warehouse pick accuracy,3950000000,%,Supply chain,quality,Lakeshore CXO KPI Catalog v2,VP Distribution Operations,Synthetic KPI definition for Warehouse pick accuracy with CFO/CXO review grain.,KPI Catalog,KPI-LSH-011,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Freight cost per shipment,83,$,Supply chain,cost productivity,Lakeshore CXO KPI Catalog v2,Director Transportation and Logistics,Synthetic KPI definition for Freight cost per shipment with CFO/CXO review grain.,KPI Catalog,KPI-LSH-012,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Carrier dwell hours,84,hours,Supply chain,logistics efficiency,Lakeshore CXO KPI Catalog v2,Director Transportation and Logistics,Synthetic KPI definition for Carrier dwell hours with CFO/CXO review grain.,KPI Catalog,KPI-LSH-013,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,S&OP adherence,85,%,Supply chain,planning discipline,Lakeshore CXO KPI Catalog v2,VP Supply Chain Planning,Synthetic KPI definition for S&OP adherence with CFO/CXO review grain.,KPI Catalog,KPI-LSH-014,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
