tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,owner_role,operating_model,metrics_or_kpis,processes
skyharbor-air,SHA-V3-0001,SHA-AIR,Irregular Operations,Irregular Operations,02_org_ownership,SHA-V3-EVID-0002,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,SVP Airline Operations,network operations center plus station escalation teams,completion factor; controllable delay minutes; recovery cycle time,disruption management; reaccommodation; station coordination
skyharbor-air,SHA-V3-0002,SHA-AIR,Crew Operations,Crew Operations,02_org_ownership,SHA-V3-EVID-0003,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,SVP Crew Operations,"crew scheduling, legality, reserve, and recovery operations",crew legality exceptions; open pairings; recovery time,crew tracking; reserve assignment; disruption recovery
skyharbor-air,SHA-V3-0003,SHA-AIR,Airport and Baggage Operations,Airport and Baggage Operations,02_org_ownership,SHA-V3-EVID-0004,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,SVP Airport Operations,"hub, station, baggage, ramp, and customer recovery teams",mishandled baggage; station dwell; turn reliability,baggage handling; station operations; turn coordination
skyharbor-air,SHA-V3-0004,SHA-AIR,Maintenance and Engineering,Maintenance and Engineering,02_org_ownership,SHA-V3-EVID-0005,active,medium,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,SVP Maintenance,"line maintenance, engineering reliability, planning, and MRO coordination",aircraft availability; repeat defects; deferred maintenance,maintenance planning; defect management; reliability analytics
skyharbor-air,SHA-V3-0005,SHA-AIR,Digital Commerce and Loyalty,Digital Commerce and Loyalty,02_org_ownership,SHA-V3-EVID-0006,candidate,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,SVP Digital,"web, mobile, loyalty, retailing, offer, and servicing product teams",conversion; digital containment; loyalty engagement,booking; servicing; loyalty personalization
skyharbor-air,SHA-V3-0006,SHA-AIR,Procurement and Vendor Management,Procurement and Vendor Management,02_org_ownership,SHA-V3-EVID-0007,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Chief Procurement Officer,"strategic sourcing, VMO, contract governance, and supplier performance",contract leakage; SLA compliance; renewal risk,AMS sourcing; vendor governance; invoice review
skyharbor-air,SHA-V3-0007,SHA-AIR,Enterprise Data and Analytics,Enterprise Data and Analytics,02_org_ownership,SHA-V3-EVID-0008,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,CDAO,central data platform with operations analytics and distributed business analysts,lineage; data quality; decision latency; AI readiness,data product certification; operational analytics; model governance
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0001,SHA-AIR,CIO / Technology leadership team: AMS/IMS sourcing readiness,"CIO / Technology leadership team says AMS/IMS sourcing readiness is promising, but strategy is not decision-grade until ServiceNow ITSM and CMDB evidence closes: SLA commitments are not consistently mapped to business criticality. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0001,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0002,SHA-AIR,CIO / Technology leadership team: Existing managed-services contract optimization,"CIO / Technology leadership team says Existing managed-services contract optimization is promising, but operating model is not decision-grade until ServiceNow ITSM and CMDB evidence closes: chronic SLA misses need business-impact linkage. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0002,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0003,SHA-AIR,CIO / Technology leadership team: IROPS decision support,"CIO / Technology leadership team says IROPS decision support is promising, but vendor is not decision-grade until Passenger service and reservations platform evidence closes: customer recovery policy constraints need governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0003,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
