tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,use_case,risk_or_gap,affected_systems,metric_boundary,forbidden_claims
skyharbor-air,SHA-V3-0001,SHA-AIR,AMS/IMS sourcing readiness: SLA commitments are not consistently mapped to business criticality,AMS/IMS sourcing readiness: SLA commitments are not consistently mapped to business criticality,14_metrics_outcomes,SHA-V3-EVID-0170,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AMS/IMS sourcing readiness,SLA commitments are not consistently mapped to business criticality,ServiceNow ITSM and CMDB; AMS supplier delivery platform; Contract lifecycle repository; Finance and procurement ERP,baseline_required_before_value_claim,Do not generate the RFP or BAFO.; Do not claim savings or breach.; Do not claim legal leverage without contract review.
skyharbor-air,SHA-V3-0002,SHA-AIR,AMS/IMS sourcing readiness: change-order leakage evidence needs invoice-to-SOW reconciliation,AMS/IMS sourcing readiness: change-order leakage evidence needs invoice-to-SOW reconciliation,14_metrics_outcomes,SHA-V3-EVID-0171,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AMS/IMS sourcing readiness,change-order leakage evidence needs invoice-to-SOW reconciliation,ServiceNow ITSM and CMDB; AMS supplier delivery platform; Contract lifecycle repository; Finance and procurement ERP,baseline_required_before_value_claim,Do not generate the RFP or BAFO.; Do not claim savings or breach.; Do not claim legal leverage without contract review.
skyharbor-air,SHA-V3-0003,SHA-AIR,AMS/IMS sourcing readiness: benchmarking and exit rights require legal review,AMS/IMS sourcing readiness: benchmarking and exit rights require legal review,14_metrics_outcomes,SHA-V3-EVID-0172,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AMS/IMS sourcing readiness,benchmarking and exit rights require legal review,ServiceNow ITSM and CMDB; AMS supplier delivery platform; Contract lifecycle repository; Finance and procurement ERP,baseline_required_before_value_claim,Do not generate the RFP or BAFO.; Do not claim savings or breach.; Do not claim legal leverage without contract review.
skyharbor-air,SHA-V3-0004,SHA-AIR,AMS/IMS sourcing readiness: productivity and AI automation commitments are ambiguous,AMS/IMS sourcing readiness: productivity and AI automation commitments are ambiguous,14_metrics_outcomes,SHA-V3-EVID-0173,active,medium,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AMS/IMS sourcing readiness,productivity and AI automation commitments are ambiguous,ServiceNow ITSM and CMDB; AMS supplier delivery platform; Contract lifecycle repository; Finance and procurement ERP,baseline_required_before_value_claim,Do not generate the RFP or BAFO.; Do not claim savings or breach.; Do not claim legal leverage without contract review.
skyharbor-air,SHA-V3-0005,SHA-AIR,Existing managed-services contract optimization: service-credit eligibility and credits applied are not reconciled,Existing managed-services contract optimization: service-credit eligibility and credits applied are not reconciled,14_metrics_outcomes,SHA-V3-EVID-0174,candidate,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Existing managed-services contract optimization,service-credit eligibility and credits applied are not reconciled,AMS supplier delivery platform; ServiceNow ITSM and CMDB; Contract lifecycle repository; Finance and procurement ERP,baseline_required_before_value_claim,Do not claim breach.; Do not claim realized credits.; Do not recommend renew/renegotiate/rebid as final advice.
skyharbor-air,SHA-V3-0006,SHA-AIR,Existing managed-services contract optimization: chronic SLA misses need business-impact linkage,Existing managed-services contract optimization: chronic SLA misses need business-impact linkage,14_metrics_outcomes,SHA-V3-EVID-0175,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Existing managed-services contract optimization,chronic SLA misses need business-impact linkage,AMS supplier delivery platform; ServiceNow ITSM and CMDB; Contract lifecycle repository; Finance and procurement ERP,baseline_required_before_value_claim,Do not claim breach.; Do not claim realized credits.; Do not recommend renew/renegotiate/rebid as final advice.
skyharbor-air,SHA-V3-0007,SHA-AIR,Existing managed-services contract optimization: staffing and rate-card mapping are not finance-certified,Existing managed-services contract optimization: staffing and rate-card mapping are not finance-certified,14_metrics_outcomes,SHA-V3-EVID-0176,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Existing managed-services contract optimization,staffing and rate-card mapping are not finance-certified,AMS supplier delivery platform; ServiceNow ITSM and CMDB; Contract lifecycle repository; Finance and procurement ERP,baseline_required_before_value_claim,Do not claim breach.; Do not claim realized credits.; Do not recommend renew/renegotiate/rebid as final advice.
skyharbor-air,SHA-V3-0008,SHA-AIR,Existing managed-services contract optimization: termination assistance and step-in rights need legal validation,Existing managed-services contract optimization: termination assistance and step-in rights need legal validation,14_metrics_outcomes,SHA-V3-EVID-0177,active,medium,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Existing managed-services contract optimization,termination assistance and step-in rights need legal validation,AMS supplier delivery platform; ServiceNow ITSM and CMDB; Contract lifecycle repository; Finance and procurement ERP,baseline_required_before_value_claim,Do not claim breach.; Do not claim realized credits.; Do not recommend renew/renegotiate/rebid as final advice.
skyharbor-air,SHA-V3-0009,SHA-AIR,IROPS decision support: cross-system disruption lineage is not certified,IROPS decision support: cross-system disruption lineage is not certified,14_metrics_outcomes,SHA-V3-EVID-0178,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,IROPS decision support,cross-system disruption lineage is not certified,IROPS recovery workbench; Crew tracking and recovery platform; Passenger service and reservations platform; Customer contact center CRM,baseline_required_before_value_claim,Do not claim automated disruption recovery is live.; Do not claim completion factor improvement.; Do not bypass safety or operations controls.
skyharbor-air,SHA-V3-0010,SHA-AIR,IROPS decision support: operator acceptance telemetry is not loaded,IROPS decision support: operator acceptance telemetry is not loaded,14_metrics_outcomes,SHA-V3-EVID-0179,candidate,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,IROPS decision support,operator acceptance telemetry is not loaded,IROPS recovery workbench; Crew tracking and recovery platform; Passenger service and reservations platform; Customer contact center CRM,baseline_required_before_value_claim,Do not claim automated disruption recovery is live.; Do not claim completion factor improvement.; Do not bypass safety or operations controls.
