tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,capability,owner,criticality,lifecycle_status,vendor_id,integrations,data_dependencies
skyharbor-air,SHA-V3-0001,SHA-AIR,Passenger service and reservations platform,Passenger service and reservations platform,06_infrastructure_platforms,SHA-V3-EVID-0040,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,reservation_passenger_service,Digital Commerce and Loyalty,critical,current_core,SHA-VEN-PSS,booking engine; departure control; loyalty; payment,PNR; ticketing; flight changes; customer servicing
skyharbor-air,SHA-V3-0002,SHA-AIR,Departure control system,Departure control system,06_infrastructure_platforms,SHA-V3-EVID-0041,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,departure_control,Airport and Baggage Operations,critical,current_core,SHA-VEN-PSS,PSS; airport devices; baggage messages,check-in; boarding; load closeout
skyharbor-air,SHA-V3-0003,SHA-AIR,Crew tracking and recovery platform,Crew tracking and recovery platform,06_infrastructure_platforms,SHA-V3-EVID-0042,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,crew_operations,Crew Operations,critical,current_core,SHA-VEN-CREW,flight schedule; crew qualifications; duty rules,crew legality; pairings; reserves
skyharbor-air,SHA-V3-0004,SHA-AIR,IROPS recovery workbench,IROPS recovery workbench,06_infrastructure_platforms,SHA-V3-EVID-0043,active,medium,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,irregular_operations,Irregular Operations,critical,fragmented_current_state,SHA-VEN-OPS,flight ops; crew; PSS; CRM; airport status,recovery options; customer impact; station constraints
skyharbor-air,SHA-V3-0005,SHA-AIR,Maintenance planning and reliability suite,Maintenance planning and reliability suite,06_infrastructure_platforms,SHA-V3-EVID-0044,candidate,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,maintenance_engineering,Maintenance and Engineering,critical,current_core,SHA-VEN-MRO,aircraft status; defects; parts; work orders,maintenance events; reliability; deferred items
skyharbor-air,SHA-V3-0006,SHA-AIR,Baggage tracking and claims platform,Baggage tracking and claims platform,06_infrastructure_platforms,SHA-V3-EVID-0045,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,baggage_operations,Airport and Baggage Operations,high,current_core,SHA-VEN-BAG,DCS; airport scanners; claims CRM,bag scans; mishandled bag claims; station events
skyharbor-air,SHA-V3-0007,SHA-AIR,Customer contact center CRM,Customer contact center CRM,06_infrastructure_platforms,SHA-V3-EVID-0046,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,customer_service,Digital Commerce and Loyalty,high,current_core,SHA-VEN-CRM,PSS; loyalty; disruption notifications,cases; call drivers; recovery offers
skyharbor-air,SHA-V3-0008,SHA-AIR,Loyalty platform,Loyalty platform,06_infrastructure_platforms,SHA-V3-EVID-0047,active,medium,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,loyalty,Digital Commerce and Loyalty,high,current_core,SHA-VEN-LOYALTY,PSS; CRM; digital channels; partner feeds,member profile; offers; status; accrual
skyharbor-air,SHA-V3-0009,SHA-AIR,Legacy airline enterprise data warehouse,Legacy airline enterprise data warehouse,06_infrastructure_platforms,SHA-V3-EVID-0048,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,legacy_data_warehouse,Enterprise Data and Analytics,critical,current_reporting,SHA-VEN-EDW,PSS; operations; maintenance; finance extracts,operational reporting; revenue; station dashboards
skyharbor-air,SHA-V3-0010,SHA-AIR,AWS airline data lakehouse,AWS airline data lakehouse,06_infrastructure_platforms,SHA-V3-EVID-0049,candidate,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,lakehouse_platform,Enterprise Data and Analytics,critical,target_state_not_ready,SHA-VEN-AWS,planned real-time operational feeds,future governed operational data products
