tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,use_case,data_domain,systems,value_hypothesis,evidence_needed
skyharbor-air,SHA-V3-0001,SHA-AIR,AMS/IMS sourcing readiness: application inventory,AMS/IMS sourcing readiness: application inventory,05_data_assets_integrations,SHA-V3-EVID-0100,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AMS/IMS sourcing readiness,application inventory,ServiceNow ITSM and CMDB; AMS supplier delivery platform; Contract lifecycle repository; Finance and procurement ERP,"Support a defensible AMS/IMS sourcing scope only after CMDB, SLA, SOW, invoice, rate-card, exit, and benchmarking evidence are validated; quantify leverage after procurement and finance review.",SLA commitments are not consistently mapped to business criticality; change-order leakage evidence needs invoice-to-SOW reconciliation; benchmarking and exit rights require legal review; productivity and AI automation commitments are ambiguous
skyharbor-air,SHA-V3-0002,SHA-AIR,AMS/IMS sourcing readiness: service towers,AMS/IMS sourcing readiness: service towers,05_data_assets_integrations,SHA-V3-EVID-0101,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AMS/IMS sourcing readiness,service towers,ServiceNow ITSM and CMDB; AMS supplier delivery platform; Contract lifecycle repository; Finance and procurement ERP,"Support a defensible AMS/IMS sourcing scope only after CMDB, SLA, SOW, invoice, rate-card, exit, and benchmarking evidence are validated; quantify leverage after procurement and finance review.",SLA commitments are not consistently mapped to business criticality; change-order leakage evidence needs invoice-to-SOW reconciliation; benchmarking and exit rights require legal review; productivity and AI automation commitments are ambiguous
skyharbor-air,SHA-V3-0003,SHA-AIR,AMS/IMS sourcing readiness: SLA history,AMS/IMS sourcing readiness: SLA history,05_data_assets_integrations,SHA-V3-EVID-0102,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AMS/IMS sourcing readiness,SLA history,ServiceNow ITSM and CMDB; AMS supplier delivery platform; Contract lifecycle repository; Finance and procurement ERP,"Support a defensible AMS/IMS sourcing scope only after CMDB, SLA, SOW, invoice, rate-card, exit, and benchmarking evidence are validated; quantify leverage after procurement and finance review.",SLA commitments are not consistently mapped to business criticality; change-order leakage evidence needs invoice-to-SOW reconciliation; benchmarking and exit rights require legal review; productivity and AI automation commitments are ambiguous
skyharbor-air,SHA-V3-0004,SHA-AIR,Existing managed-services contract optimization: monthly SLA reports,Existing managed-services contract optimization: monthly SLA reports,05_data_assets_integrations,SHA-V3-EVID-0103,active,medium,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Existing managed-services contract optimization,monthly SLA reports,AMS supplier delivery platform; ServiceNow ITSM and CMDB; Contract lifecycle repository; Finance and procurement ERP,"Identify renegotiation candidates only after SLA, incident, staffing, invoice, service-credit, and contract-right evidence is reconciled; treat savings as hypothesis until Tower validates baseline and outcome.",service-credit eligibility and credits applied are not reconciled; chronic SLA misses need business-impact linkage; staffing and rate-card mapping are not finance-certified; termination assistance and step-in rights need legal validation
skyharbor-air,SHA-V3-0005,SHA-AIR,Existing managed-services contract optimization: incident aging,Existing managed-services contract optimization: incident aging,05_data_assets_integrations,SHA-V3-EVID-0104,candidate,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Existing managed-services contract optimization,incident aging,AMS supplier delivery platform; ServiceNow ITSM and CMDB; Contract lifecycle repository; Finance and procurement ERP,"Identify renegotiation candidates only after SLA, incident, staffing, invoice, service-credit, and contract-right evidence is reconciled; treat savings as hypothesis until Tower validates baseline and outcome.",service-credit eligibility and credits applied are not reconciled; chronic SLA misses need business-impact linkage; staffing and rate-card mapping are not finance-certified; termination assistance and step-in rights need legal validation
skyharbor-air,SHA-V3-0006,SHA-AIR,Existing managed-services contract optimization: service credits,Existing managed-services contract optimization: service credits,05_data_assets_integrations,SHA-V3-EVID-0105,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Existing managed-services contract optimization,service credits,AMS supplier delivery platform; ServiceNow ITSM and CMDB; Contract lifecycle repository; Finance and procurement ERP,"Identify renegotiation candidates only after SLA, incident, staffing, invoice, service-credit, and contract-right evidence is reconciled; treat savings as hypothesis until Tower validates baseline and outcome.",service-credit eligibility and credits applied are not reconciled; chronic SLA misses need business-impact linkage; staffing and rate-card mapping are not finance-certified; termination assistance and step-in rights need legal validation
skyharbor-air,SHA-V3-0007,SHA-AIR,IROPS decision support: flight disruption events,IROPS decision support: flight disruption events,05_data_assets_integrations,SHA-V3-EVID-0106,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,IROPS decision support,flight disruption events,IROPS recovery workbench; Crew tracking and recovery platform; Passenger service and reservations platform; Customer contact center CRM,"Improve disruption decision support after flight, crew, customer, station, policy, and acceptance telemetry are governed; measure value only after operations baselines are approved.",cross-system disruption lineage is not certified; operator acceptance telemetry is not loaded; customer recovery policy constraints need governance; real-time data latency evidence is missing
skyharbor-air,SHA-V3-0008,SHA-AIR,IROPS decision support: customer impact,IROPS decision support: customer impact,05_data_assets_integrations,SHA-V3-EVID-0107,active,medium,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,IROPS decision support,customer impact,IROPS recovery workbench; Crew tracking and recovery platform; Passenger service and reservations platform; Customer contact center CRM,"Improve disruption decision support after flight, crew, customer, station, policy, and acceptance telemetry are governed; measure value only after operations baselines are approved.",cross-system disruption lineage is not certified; operator acceptance telemetry is not loaded; customer recovery policy constraints need governance; real-time data latency evidence is missing
skyharbor-air,SHA-V3-0009,SHA-AIR,IROPS decision support: crew constraints,IROPS decision support: crew constraints,05_data_assets_integrations,SHA-V3-EVID-0108,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,IROPS decision support,crew constraints,IROPS recovery workbench; Crew tracking and recovery platform; Passenger service and reservations platform; Customer contact center CRM,"Improve disruption decision support after flight, crew, customer, station, policy, and acceptance telemetry are governed; measure value only after operations baselines are approved.",cross-system disruption lineage is not certified; operator acceptance telemetry is not loaded; customer recovery policy constraints need governance; real-time data latency evidence is missing
skyharbor-air,SHA-V3-0010,SHA-AIR,Crew recovery optimization: crew legality,Crew recovery optimization: crew legality,05_data_assets_integrations,SHA-V3-EVID-0109,candidate,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Crew recovery optimization,crew legality,Crew tracking and recovery platform; IROPS recovery workbench; Departure control system,"Support crew recovery scenarios only after legality rules, work-rule interpretation, reserve data, acceptance telemetry, and override controls are validated.",crew legality rule lineage needs owner validation; scenario library does not cover all disruption modes; human override reason codes are not captured; union/work-rule interpretation evidence is not loaded
