initiative_id,initiative_name,business_function,owning_team,stage,fy26_budget_usd,target_value_usd,primary_blocker,source_file,source_row,value_source
INIT-0001,Fleet Renewal Program,Transformation,CIO,Scaling,8650000,21900000,rag=Red; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,2,tenant_file
INIT-0002,NextGen Reservations Replatform,Platform,CMO,Approved,9300000,23800000,rag=Green; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,3,tenant_file
INIT-0003,S/4HANA Finance Transformation,Transformation,VP Engineering,Approved,9950000,25700000,rag=Amber; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,4,tenant_file
INIT-0004,Zero-Trust Security Program,Compliance,CHRO,Scaling,10600000,27600000,rag=Amber; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,5,tenant_file
INIT-0005,Cloud Migration Wave 2,Migration,CIO,Approved,11250000,29500000,rag=Green; sponsor=CRO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,6,tenant_file
INIT-0006,IRROPS Recovery AI,AI/ML,COO,In Delivery,11900000,31400000,rag=Green; sponsor=CFO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,7,tenant_file
INIT-0007,Crew Scheduling Optimization AI,AI/ML,Chief Digital Officer,In Delivery,12550000,33300000,rag=Green; sponsor=CMO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,8,tenant_file
INIT-0008,Cargo Revenue Management AI,AI/ML,CRO,In Delivery,13200000,35200000,rag=Amber; sponsor=CIO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,9,tenant_file
INIT-0009,Customer Digital Experience,Customer Experience,COO,Approved,13850000,37100000,rag=Green; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,10,tenant_file
INIT-0010,Predictive Maintenance AI,AI/ML,COO,In Delivery,14500000,39000000,rag=Green; sponsor=Board Technology Committee; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,11,tenant_file
INIT-0011,Loyalty Personalization Initiative 01,AI/ML,VP Operations,Closing,15150000,40900000,rag=Amber; sponsor=CFO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,12,tenant_file
INIT-0012,Dynamic Pricing Initiative 02,AI/ML,VP Infrastructure,Closing,15800000,42800000,rag=Red; sponsor=CMO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,13,tenant_file
INIT-0013,Baggage Tracking Initiative 03,Automation,VP Infrastructure,Scaling,16450000,44700000,rag=Amber; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,14,tenant_file
INIT-0014,Contact Center Modernization Initiative 04,AI/ML,VP Data,In Delivery,17100000,46600000,rag=Amber; sponsor=CFO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,15,tenant_file
INIT-0015,Network Optimization Initiative 05,Modernization,VP Infrastructure,In Delivery,17750000,48500000,rag=Red; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,16,tenant_file
INIT-0016,Fuel Efficiency Initiative 06,Automation,VP Infrastructure,In Delivery,18400000,50400000,rag=Green; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,17,tenant_file
