evidence_item_id,initiative_id,source_document,source_locator,source_timestamp,review_state,confidence,legacy_source_type,legacy_claim_supported,legacy_freshness_status,legacy_trust_status,source_file,source_row,value_source
EVID-SHA-0001,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,Annual report §Operating scale,,,,annual_report,budget,stale_review,review_required,ai-control-tower/T10_evidence-items.csv,2,tenant_file
EVID-SHA-0002,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,Annual report §Revenue and segment performance,,,,annual_report,value,current,usable,ai-control-tower/T10_evidence-items.csv,3,tenant_file
EVID-SHA-0003,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,Investor day §Digital and loyalty growth,,,,investor_day_deck,risk,current,usable,ai-control-tower/T10_evidence-items.csv,4,tenant_file
EVID-SHA-0004,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,Architecture deck slide 7,,,,architecture_deck,adoption,current,usable,ai-control-tower/T10_evidence-items.csv,5,tenant_file
EVID-SHA-0005,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,EDW deck slide 11,,,,edw_deck,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,6,tenant_file
EVID-SHA-0006,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,Roadmap page 4,,,,program_roadmap,governance,current,usable,ai-control-tower/T10_evidence-items.csv,7,tenant_file
EVID-SHA-0007,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,Mainframe options page 9,,,,modernization_options,budget,current,usable,ai-control-tower/T10_evidence-items.csv,8,tenant_file
EVID-SHA-0008,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,Monthly refresh workbook control sheet,,,,monthly_refresh,value,current,usable,ai-control-tower/T10_evidence-items.csv,9,tenant_file
EVID-SHA-0100,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,synthetic locator 1,,,,annual_report,risk,stale_review,usable,ai-control-tower/T10_evidence-items.csv,10,tenant_file
EVID-SHA-0101,,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,synthetic locator 2,,,,quarterly_earnings,adoption,current,review_required,ai-control-tower/T10_evidence-items.csv,11,tenant_file
