tenant_key,line_id,initiative_id,vendor_or_tool,spend_category,budget_fy26_usd,actual_ytd_usd,contract_value_usd,renewal_date,unit_economic_note,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
skyharbor-air,SHA-SPEND-001-1,SHA-INIT-001,internal,labor,900000,420000,not_loaded,2026-01-28,FTE-month,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,2,tenant_file,Spend line for IROPS Agentic Recovery Cockpit
skyharbor-air,SHA-SPEND-001-2,SHA-INIT-001,AWS,vendor_license,1800000,840000,not_loaded,2026-02-28,seat/month,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,3,tenant_file,Spend line for IROPS Agentic Recovery Cockpit
skyharbor-air,SHA-SPEND-001-3,SHA-INIT-001,Teradata,cloud_infra,2700000,1260000,not_loaded,2026-03-28,compute-hour,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,4,tenant_file,Spend line for IROPS Agentic Recovery Cockpit
skyharbor-air,SHA-SPEND-001-4,SHA-INIT-001,SAS,si_services,3600000,1680000,not_loaded,2026-04-28,SOW milestone,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,5,tenant_file,Spend line for IROPS Agentic Recovery Cockpit
skyharbor-air,SHA-SPEND-002-1,SHA-INIT-002,internal,labor,1075000,515000,not_loaded,2026-02-28,FTE-month,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,6,tenant_file,Spend line for Delta-style Digital Concierge
skyharbor-air,SHA-SPEND-002-2,SHA-INIT-002,Teradata,vendor_license,2150000,1030000,not_loaded,2026-03-28,seat/month,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,7,tenant_file,Spend line for Delta-style Digital Concierge
skyharbor-air,SHA-SPEND-002-3,SHA-INIT-002,SAS,cloud_infra,3225000,1545000,not_loaded,2026-04-28,compute-hour,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,8,tenant_file,Spend line for Delta-style Digital Concierge
skyharbor-air,SHA-SPEND-002-4,SHA-INIT-002,SAP,si_services,4300000,2060000,not_loaded,2026-05-28,SOW milestone,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,9,tenant_file,Spend line for Delta-style Digital Concierge
skyharbor-air,SHA-SPEND-003-1,SHA-INIT-003,internal,labor,1250000,610000,not_loaded,2026-03-28,FTE-month,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,10,tenant_file,Spend line for Enterprise CDP Selection and Identity Graph
skyharbor-air,SHA-SPEND-003-2,SHA-INIT-003,SAS,vendor_license,2500000,1220000,not_loaded,2026-04-28,seat/month,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,11,tenant_file,Spend line for Enterprise CDP Selection and Identity Graph
