tenant_key,initiative_id,initiative_name,business_area,portfolio_segment,owner_role,business_sponsor_role,stage,promised_benefit_usd,measured_value_usd,value_confidence,status,evidence_status,scale_decision,primary_blocker,evidence_id,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
skyharbor-air,SHA-INIT-001,IROPS Agentic Recovery Cockpit,,operations_ai,EVP CDTO,EVP Operations,scale_pilot,270000000,91800000,high,,source_cited,scale,"Data readiness, crew legality, DOT obligation guardrails",,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,2,tenant_file,
skyharbor-air,SHA-INIT-002,Delta-style Digital Concierge,,customer_ai,SVP Ops Technology,SVP Flight Operations,pilot,180000000,21600000,medium,,partial,hold,No CDP; consent and identity fragmented,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,3,tenant_file,
skyharbor-air,SHA-INIT-003,Enterprise CDP Selection and Identity Graph,,data_platform_ai,VP Crew/Flight Tech,SVP Crew Resources,business_case,210000000,0,low,,missing,fix_controls,Adobe/Salesforce overlap; data governance required,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,4,tenant_file,
skyharbor-air,SHA-INIT-004,Mainframe API and Event Bridge,,engineering_ai,VP Airport Tech,SVP Airport Operations,in_progress,310000000,0,blocked,,review_required,kill_or_reframe,IBM Z coupling and batch windows,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,5,tenant_file,
skyharbor-air,SHA-INIT-005,Teradata Vantage Workload Rationalization,,corporate_ai,VP MRO Technology,President TechOps,in_progress,122000000,41480000,high,,source_cited,scale,BI/SAS/DataStage duplication,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,6,tenant_file,
skyharbor-air,SHA-INIT-006,Crew Recovery Optimization,,operations_ai,VP Commercial Tech,Chief Customer Experience Officer,pilot,140000000,16800000,medium,,partial,hold,Crew contract logic and explainability,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,7,tenant_file,
skyharbor-air,SHA-INIT-007,Baggage Exception Prediction,,customer_ai,VP Loyalty Tech,SVP Digital Products,pilot,86000000,0,low,,missing,fix_controls,Airport edge data quality,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,8,tenant_file,
skyharbor-air,SHA-INIT-008,MRO Predictive Maintenance Agent,,data_platform_ai,VP Digital Engineering,President Loyalty,in_progress,150000000,0,blocked,,review_required,kill_or_reframe,FAA traceability and parts data,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,9,tenant_file,
skyharbor-air,SHA-INIT-009,Contact Center Agent Assist,,engineering_ai,VP Enterprise Platforms,EVP Commercial,scale,92000000,31280000,high,,source_cited,scale,Service recovery policy and voucher controls,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,10,tenant_file,
skyharbor-air,SHA-INIT-010,Engineering Productivity AI,,corporate_ai,VP Cloud Platform,SVP Network,scale,74000000,8880000,medium,,partial,hold,Mainframe code controls and IP/security,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,11,tenant_file,
