model_id,model_name,domain,parent_initiative_id,status,regulated_or_safety_impact,validation_status,owner_role,evidence_id,notes,source_file,source_row,value_source
SHA-MDL-001,IROPS recovery model 1,operations,SHA-INIT-001,production,true,current,AI Governance Lead,EVID-SHA-0001,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,2,tenant_file
SHA-MDL-002,crew legality model 2,safety,SHA-INIT-002,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0002,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,3,tenant_file
SHA-MDL-003,baggage prediction model 3,customer,SHA-INIT-003,development,false,overdue,CDAO,EVID-SHA-0003,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,4,tenant_file
SHA-MDL-004,customer propensity model 4,commercial,SHA-INIT-004,blocked,true,not_required,EVP Operations,EVID-SHA-0004,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,5,tenant_file
SHA-MDL-005,MRO reliability model 5,mro,SHA-INIT-005,production,false,current,AI Governance Lead,EVID-SHA-0005,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,6,tenant_file
SHA-MDL-006,pricing model 6,cyber,SHA-INIT-006,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0006,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,7,tenant_file
SHA-MDL-007,fraud model 7,finance,SHA-INIT-007,development,true,overdue,CDAO,EVID-SHA-0007,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,8,tenant_file
SHA-MDL-008,cyber triage model 8,workforce,SHA-INIT-008,blocked,false,not_required,EVP Operations,EVID-SHA-0008,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,9,tenant_file
SHA-MDL-009,IROPS recovery model 9,operations,SHA-INIT-009,production,false,current,AI Governance Lead,EVID-SHA-0001,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,10,tenant_file
SHA-MDL-010,crew legality model 10,safety,SHA-INIT-010,pilot,true,review_required,Chief Safety Officer,EVID-SHA-0002,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,11,tenant_file
SHA-MDL-011,baggage prediction model 11,customer,SHA-INIT-100,development,false,overdue,CDAO,EVID-SHA-0003,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,12,tenant_file
SHA-MDL-012,customer propensity model 12,commercial,SHA-INIT-101,blocked,false,not_required,EVP Operations,EVID-SHA-0004,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,13,tenant_file
SHA-MDL-013,MRO reliability model 13,mro,SHA-INIT-102,production,true,current,AI Governance Lead,EVID-SHA-0005,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,14,tenant_file
SHA-MDL-014,pricing model 14,cyber,SHA-INIT-103,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0006,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,15,tenant_file
SHA-MDL-015,fraud model 15,finance,SHA-INIT-104,development,false,overdue,CDAO,EVID-SHA-0007,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,16,tenant_file
SHA-MDL-016,cyber triage model 16,workforce,SHA-INIT-105,blocked,true,not_required,EVP Operations,EVID-SHA-0008,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,17,tenant_file
SHA-MDL-017,IROPS recovery model 17,operations,SHA-INIT-106,production,false,current,AI Governance Lead,EVID-SHA-0001,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,18,tenant_file
SHA-MDL-018,crew legality model 18,safety,SHA-INIT-107,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0002,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,19,tenant_file
SHA-MDL-019,baggage prediction model 19,customer,SHA-INIT-108,development,true,overdue,CDAO,EVID-SHA-0003,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,20,tenant_file
SHA-MDL-020,customer propensity model 20,commercial,SHA-INIT-109,blocked,false,not_required,EVP Operations,EVID-SHA-0004,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,21,tenant_file
SHA-MDL-021,MRO reliability model 21,mro,SHA-INIT-110,production,false,current,AI Governance Lead,EVID-SHA-0005,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,22,tenant_file
SHA-MDL-022,pricing model 22,cyber,SHA-INIT-111,pilot,true,review_required,Chief Safety Officer,EVID-SHA-0006,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,23,tenant_file
SHA-MDL-023,fraud model 23,finance,SHA-INIT-112,development,false,overdue,CDAO,EVID-SHA-0007,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,24,tenant_file
SHA-MDL-024,cyber triage model 24,workforce,SHA-INIT-113,blocked,false,not_required,EVP Operations,EVID-SHA-0008,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,25,tenant_file
SHA-MDL-025,IROPS recovery model 25,operations,SHA-INIT-114,production,true,current,AI Governance Lead,EVID-SHA-0001,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,26,tenant_file
SHA-MDL-026,crew legality model 26,safety,SHA-INIT-115,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0002,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,27,tenant_file
SHA-MDL-027,baggage prediction model 27,customer,SHA-INIT-116,development,false,overdue,CDAO,EVID-SHA-0003,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,28,tenant_file
SHA-MDL-028,customer propensity model 28,commercial,SHA-INIT-117,blocked,true,not_required,EVP Operations,EVID-SHA-0004,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,29,tenant_file
SHA-MDL-029,MRO reliability model 29,mro,SHA-INIT-118,production,false,current,AI Governance Lead,EVID-SHA-0005,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,30,tenant_file
SHA-MDL-030,pricing model 30,cyber,SHA-INIT-119,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0006,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,31,tenant_file
SHA-MDL-031,fraud model 31,finance,SHA-INIT-001,development,true,overdue,CDAO,EVID-SHA-0007,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,32,tenant_file
SHA-MDL-032,cyber triage model 32,workforce,SHA-INIT-002,blocked,false,not_required,EVP Operations,EVID-SHA-0008,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,33,tenant_file
SHA-MDL-033,IROPS recovery model 33,operations,SHA-INIT-003,production,false,current,AI Governance Lead,EVID-SHA-0001,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,34,tenant_file
SHA-MDL-034,crew legality model 34,safety,SHA-INIT-004,pilot,true,review_required,Chief Safety Officer,EVID-SHA-0002,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,35,tenant_file
SHA-MDL-035,baggage prediction model 35,customer,SHA-INIT-005,development,false,overdue,CDAO,EVID-SHA-0003,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,36,tenant_file
SHA-MDL-036,customer propensity model 36,commercial,SHA-INIT-006,blocked,false,not_required,EVP Operations,EVID-SHA-0004,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,37,tenant_file
SHA-MDL-037,MRO reliability model 37,mro,SHA-INIT-007,production,true,current,AI Governance Lead,EVID-SHA-0005,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,38,tenant_file
SHA-MDL-038,pricing model 38,cyber,SHA-INIT-008,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0006,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,39,tenant_file
SHA-MDL-039,fraud model 39,finance,SHA-INIT-009,development,false,overdue,CDAO,EVID-SHA-0007,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,40,tenant_file
