period,tool_name,vendor,business_function,licensed_users,active_users,active_rate_pct,monthly_prompts_or_actions,prompts_or_actions,estimated_hours_saved,quality_or_control_flag,source_file,source_row,cost_usd,policy_status,notes,value_source
2025-07,M365 Copilot,M365,SHA-BF-001,80,20,12,4274,,,,ai-control-tower/T03_tool-usage-monthly.csv,2,2411,approved,M365 Copilot usage for Operations Control Center / IROPS,tenant_file
2025-08,M365 Copilot,M365,SHA-BF-002,500,240,21,4411,,,,ai-control-tower/T03_tool-usage-monthly.csv,3,15155,conditional,M365 Copilot usage for Flight Operations,tenant_file
2025-09,M365 Copilot,M365,SHA-BF-003,920,460,30,4548,,,,ai-control-tower/T03_tool-usage-monthly.csv,4,26623,restricted,M365 Copilot usage for Crew Operations,tenant_file
2025-10,M365 Copilot,M365,SHA-BF-004,1340,680,39,4685,,,,ai-control-tower/T03_tool-usage-monthly.csv,5,41044,blocked_pending_review,M365 Copilot usage for Airport Customer Service,tenant_file
2025-11,M365 Copilot,M365,SHA-BF-005,1760,900,48,4822,,,,ai-control-tower/T03_tool-usage-monthly.csv,6,49987,approved,M365 Copilot usage for TechOps / MRO,tenant_file
2025-12,M365 Copilot,M365,SHA-BF-006,2180,1120,57,4959,,,,ai-control-tower/T03_tool-usage-monthly.csv,7,68641,conditional,M365 Copilot usage for Customer Experience,tenant_file
2026-01,M365 Copilot,M365,SHA-BF-007,2600,1340,66,5096,,,,ai-control-tower/T03_tool-usage-monthly.csv,8,80864,restricted,M365 Copilot usage for Digital Commerce,tenant_file
2026-02,M365 Copilot,M365,SHA-BF-008,3020,20,75,5233,,,,ai-control-tower/T03_tool-usage-monthly.csv,9,87197,blocked_pending_review,M365 Copilot usage for Loyalty and Co-brand,tenant_file
2026-03,M365 Copilot,M365,SHA-BF-009,3440,240,12,5370,,,,ai-control-tower/T03_tool-usage-monthly.csv,10,104042,approved,M365 Copilot usage for Revenue Management,tenant_file
2026-04,M365 Copilot,M365,SHA-BF-010,80,460,21,5507,,,,ai-control-tower/T03_tool-usage-monthly.csv,11,2515,conditional,M365 Copilot usage for Network Planning,tenant_file
2026-05,M365 Copilot,M365,SHA-BF-011,500,680,30,5644,,,,ai-control-tower/T03_tool-usage-monthly.csv,12,14608,restricted,M365 Copilot usage for Cargo,tenant_file
2026-06,M365 Copilot,M365,SHA-BF-012,920,900,39,5781,,,,ai-control-tower/T03_tool-usage-monthly.csv,13,28140,blocked_pending_review,M365 Copilot usage for Finance and Treasury,tenant_file
2025-07,GitHub Copilot,GitHub,SHA-BF-001,500,680,21,4548,,,,ai-control-tower/T03_tool-usage-monthly.csv,14,20073,conditional,GitHub Copilot usage for Operations Control Center / IROPS,tenant_file
2025-08,GitHub Copilot,GitHub,SHA-BF-002,920,900,30,4822,,,,ai-control-tower/T03_tool-usage-monthly.csv,15,35088,restricted,GitHub Copilot usage for Flight Operations,tenant_file
