tenant_key,initiative_id,metric_basis,value_basis,promised_benefit_usd,measured_value_usd,unrealized_or_blocked_value_usd,confidence,evidence_status,measurement_method,finance_attested,evidence_id,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
skyharbor-air,SHA-INIT-001,,avoidable disruption cost,270000000,91800000,not_loaded,high,,control group,true,EVID-SHA-0001,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,2,tenant_file,
skyharbor-air,SHA-INIT-002,,labor productivity,180000000,21600000,not_loaded,medium,,before_after,false,EVID-SHA-0002,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,3,tenant_file,
skyharbor-air,SHA-INIT-003,,revenue uplift,210000000,0,not_loaded,low,,telemetry estimate,false,EVID-SHA-0003,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,4,tenant_file,
skyharbor-air,SHA-INIT-004,,risk reduction,310000000,0,not_loaded,blocked,,finance model,false,EVID-SHA-0004,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,5,tenant_file,
skyharbor-air,SHA-INIT-005,,cloud cost avoidance,122000000,41480000,not_loaded,high,,not measured,true,EVID-SHA-0005,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,6,tenant_file,
skyharbor-air,SHA-INIT-006,,avoidable disruption cost,140000000,16800000,not_loaded,medium,,control group,false,EVID-SHA-0006,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,7,tenant_file,
skyharbor-air,SHA-INIT-007,,labor productivity,86000000,0,not_loaded,low,,before_after,false,EVID-SHA-0007,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,8,tenant_file,
skyharbor-air,SHA-INIT-008,,revenue uplift,150000000,0,not_loaded,blocked,,telemetry estimate,false,EVID-SHA-0008,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,9,tenant_file,
skyharbor-air,SHA-INIT-009,,risk reduction,92000000,31280000,not_loaded,high,,finance model,true,EVID-SHA-0001,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,10,tenant_file,
skyharbor-air,SHA-INIT-010,,cloud cost avoidance,74000000,8880000,not_loaded,medium,,not measured,false,EVID-SHA-0002,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,11,tenant_file,
skyharbor-air,SHA-INIT-100,,avoidable disruption cost,18000000,0,not_loaded,low,,control group,false,EVID-SHA-0003,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,12,tenant_file,
skyharbor-air,SHA-INIT-101,,labor productivity,30000000,0,not_loaded,blocked,,before_after,false,EVID-SHA-0004,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,13,tenant_file,
skyharbor-air,SHA-INIT-102,,revenue uplift,42000000,14280000,not_loaded,high,,telemetry estimate,true,EVID-SHA-0005,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,14,tenant_file,
skyharbor-air,SHA-INIT-103,,risk reduction,54000000,6480000,not_loaded,medium,,finance model,false,EVID-SHA-0006,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,15,tenant_file,
skyharbor-air,SHA-INIT-104,,cloud cost avoidance,66000000,0,not_loaded,low,,not measured,false,EVID-SHA-0007,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,16,tenant_file,
skyharbor-air,SHA-INIT-105,,avoidable disruption cost,78000000,0,not_loaded,blocked,,control group,false,EVID-SHA-0008,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,17,tenant_file,
skyharbor-air,SHA-INIT-106,,labor productivity,90000000,30600000,not_loaded,high,,before_after,true,EVID-SHA-0001,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,18,tenant_file,
skyharbor-air,SHA-INIT-107,,revenue uplift,102000000,12240000,not_loaded,medium,,telemetry estimate,false,EVID-SHA-0002,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,19,tenant_file,
skyharbor-air,SHA-INIT-108,,risk reduction,114000000,0,not_loaded,low,,finance model,false,EVID-SHA-0003,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,20,tenant_file,
skyharbor-air,SHA-INIT-109,,cloud cost avoidance,126000000,0,not_loaded,blocked,,not measured,false,EVID-SHA-0004,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,21,tenant_file,
skyharbor-air,SHA-INIT-110,,avoidable disruption cost,138000000,46920000,not_loaded,high,,control group,true,EVID-SHA-0005,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,22,tenant_file,
skyharbor-air,SHA-INIT-111,,labor productivity,150000000,18000000,not_loaded,medium,,before_after,false,EVID-SHA-0006,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,23,tenant_file,
skyharbor-air,SHA-INIT-112,,revenue uplift,162000000,0,not_loaded,low,,telemetry estimate,false,EVID-SHA-0007,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,24,tenant_file,
skyharbor-air,SHA-INIT-113,,risk reduction,174000000,0,not_loaded,blocked,,finance model,false,EVID-SHA-0008,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,25,tenant_file,
skyharbor-air,SHA-INIT-114,,cloud cost avoidance,186000000,63240000,not_loaded,high,,not measured,true,EVID-SHA-0001,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,26,tenant_file,
skyharbor-air,SHA-INIT-115,,avoidable disruption cost,18000000,2160000,not_loaded,medium,,control group,false,EVID-SHA-0002,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,27,tenant_file,
skyharbor-air,SHA-INIT-116,,labor productivity,30000000,0,not_loaded,low,,before_after,false,EVID-SHA-0003,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,28,tenant_file,
skyharbor-air,SHA-INIT-117,,revenue uplift,42000000,0,not_loaded,blocked,,telemetry estimate,false,EVID-SHA-0004,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,29,tenant_file,
skyharbor-air,SHA-INIT-118,,risk reduction,54000000,18360000,not_loaded,high,,finance model,true,EVID-SHA-0005,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,30,tenant_file,
skyharbor-air,SHA-INIT-119,,cloud cost avoidance,66000000,7920000,not_loaded,medium,,not measured,false,EVID-SHA-0006,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,31,tenant_file,
