initiative_id,risk_id,risk_domain,severity,control_status,exception_or_gap,owner_role,legacy_mitigation,legacy_evidence_id,source_file,source_row,value_source
SHA-INIT-001,SHA-RISK-001-1,model_governance,high,approved,,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0001,ai-control-tower/T09_risk-governance.csv,2,tenant_file
SHA-INIT-001,SHA-RISK-001-2,privacy_consent,medium,conditional,,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0002,ai-control-tower/T09_risk-governance.csv,3,tenant_file
SHA-INIT-001,SHA-RISK-001-3,safety_operational,low,review_required,,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0003,ai-control-tower/T09_risk-governance.csv,4,tenant_file
SHA-INIT-001,SHA-RISK-001-4,vendor_contract,high,blocked,,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0004,ai-control-tower/T09_risk-governance.csv,5,tenant_file
SHA-INIT-001,SHA-RISK-001-5,data_quality,medium,approved,,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0005,ai-control-tower/T09_risk-governance.csv,6,tenant_file
SHA-INIT-002,SHA-RISK-002-1,model_governance,medium,conditional,,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0002,ai-control-tower/T09_risk-governance.csv,7,tenant_file
SHA-INIT-002,SHA-RISK-002-2,privacy_consent,low,review_required,,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0003,ai-control-tower/T09_risk-governance.csv,8,tenant_file
SHA-INIT-002,SHA-RISK-002-3,safety_operational,high,blocked,,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0004,ai-control-tower/T09_risk-governance.csv,9,tenant_file
SHA-INIT-002,SHA-RISK-002-4,vendor_contract,medium,approved,,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0005,ai-control-tower/T09_risk-governance.csv,10,tenant_file
SHA-INIT-002,SHA-RISK-002-5,data_quality,low,conditional,,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0006,ai-control-tower/T09_risk-governance.csv,11,tenant_file
SHA-INIT-003,SHA-RISK-003-1,model_governance,low,review_required,,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0003,ai-control-tower/T09_risk-governance.csv,12,tenant_file
SHA-INIT-003,SHA-RISK-003-2,privacy_consent,high,blocked,,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0004,ai-control-tower/T09_risk-governance.csv,13,tenant_file
SHA-INIT-003,SHA-RISK-003-3,safety_operational,medium,approved,,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0005,ai-control-tower/T09_risk-governance.csv,14,tenant_file
SHA-INIT-003,SHA-RISK-003-4,vendor_contract,low,conditional,,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0006,ai-control-tower/T09_risk-governance.csv,15,tenant_file
SHA-INIT-003,SHA-RISK-003-5,data_quality,high,review_required,,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0007,ai-control-tower/T09_risk-governance.csv,16,tenant_file
SHA-INIT-004,SHA-RISK-004-1,model_governance,high,blocked,,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0004,ai-control-tower/T09_risk-governance.csv,17,tenant_file
SHA-INIT-004,SHA-RISK-004-2,privacy_consent,medium,approved,,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0005,ai-control-tower/T09_risk-governance.csv,18,tenant_file
SHA-INIT-004,SHA-RISK-004-3,safety_operational,low,conditional,,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0006,ai-control-tower/T09_risk-governance.csv,19,tenant_file
SHA-INIT-004,SHA-RISK-004-4,vendor_contract,high,review_required,,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0007,ai-control-tower/T09_risk-governance.csv,20,tenant_file
SHA-INIT-004,SHA-RISK-004-5,data_quality,medium,blocked,,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0008,ai-control-tower/T09_risk-governance.csv,21,tenant_file
SHA-INIT-005,SHA-RISK-005-1,model_governance,medium,approved,,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0005,ai-control-tower/T09_risk-governance.csv,22,tenant_file
SHA-INIT-005,SHA-RISK-005-2,privacy_consent,low,conditional,,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0006,ai-control-tower/T09_risk-governance.csv,23,tenant_file
