domain,reason,remediation
enterprise_profile,"schema_shape_mismatch: none of this domain's declared identity fields (entity_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
business_functions,"schema_shape_mismatch: none of this domain's declared identity fields (function_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
org_ownership,"schema_shape_mismatch: none of this domain's declared identity fields (org_unit, leader_name_or_role) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
workforce_roles,"schema_shape_mismatch: none of this domain's declared identity fields (persona_or_role) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_adapter_id, source_adapter_name, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
applications_systems,"schema_shape_mismatch: none of this domain's declared identity fields (system_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
data_assets_integrations,"schema_shape_mismatch: none of this domain's declared identity fields (data_asset_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
infrastructure_platforms,"schema_shape_mismatch: none of this domain's declared identity fields (platform_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
vendors_contracts,"schema_shape_mismatch: none of this domain's declared identity fields (vendor_name, contract_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
spend_value,"schema_shape_mismatch: none of this domain's declared identity fields (spend_category) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
programs_initiatives,"schema_shape_mismatch: none of this domain's declared identity fields (program_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape.","Normalize this tenant's active file to the v3 canonical schema for this domain, or declare an explicit alias mapping in semantic-quality-rules.json for this tenant's known alternate shape. Do not silently reinterpret unfamiliar columns."
