tenant_key,leader_id,leader_name,role,reports_to_role,organization_area,source_basis,source_file,confidence,caveat
apex-retail,LEADER-01,Victoria Hargreaves,CEO,Board,CXO,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-02,Brendan Fox,CFO,CEO / executive committee,CXO,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-03,Carlos Rivera,CIO,CEO / executive technology leadership,CXO,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-04,Maya Desai,COO,CEO / executive committee,CXO,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-05,Nora Okafor,CISO,CEO / executive technology leadership,CXO,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-06,Priya Sethi,Chief Digital Officer,CEO / executive technology leadership,CXO,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-07,Elena Torres,CMO,Executive sponsor,CXO,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-08,Maria Delgado,CHRO,CEO / executive committee,CXO,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-09,Dylan Brooks,VP Core Platforms,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-10,Aisha Khan,VP Enterprise Apps,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-11,Kenji Watanabe,VP Commerce,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-12,Jordan Blake,VP Store Tech,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-13,Iris Chen,VP Data,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-14,Omar Haddad,VP Security,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-15,Meera Iyer,Head of Enterprise Apps,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-16,Sam Patel,Head of Supply Chain Tech,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-17,Lena Ortiz,Head of Store Tech,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,LEADER-18,Victor Chen,Head of PMO,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,datasets/apex-retail-synthetic-v1/03-org/leadership-bench.json,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.
apex-retail,APEX_RETAIL_ROLE_1,,VP Store Technology,CIO / executive technology leadership,store_systems,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_ROLE_2,,SVP Digital Engineering,CIO / executive technology leadership,commerce,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_ROLE_3,,VP Merch Tech,CIO / executive technology leadership,merchandising,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_ROLE_4,,VP Supply Chain Tech,CIO / executive technology leadership,supply_chain,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_ROLE_5,,VP Customer Platforms,CIO / executive technology leadership,customer,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_ROLE_6,,VP ERP,CIO / executive technology leadership,erp,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_ROLE_7,,Chief Data Officer,CEO / executive committee,data_ai,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_ROLE_8,,VP Cloud Platform,CIO / executive technology leadership,cloud,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_ROLE_9,,CISO,CIO / executive technology leadership,cyber,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_ROLE_10,,VP IT Operations,CIO / executive technology leadership,itsm,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
apex-retail,APEX_RETAIL_BUS_ROLE_11,,COO,Business executive committee,Store Operations,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_12,,Chief Digital Officer,Business executive committee,Digital Commerce,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_13,,Chief Merchandising Officer,Business executive committee,Merchandising,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_14,,Chief Supply Chain Officer,Business executive committee,Supply Chain and Fulfillment,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_15,,Chief Marketing Officer,Business executive committee,Loyalty and Customer Growth,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_16,,CFO,Business executive committee,Finance and FP&A,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_17,,Chief Risk Officer,Business executive committee,Loss Prevention and Risk,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_18,,CIO,Business executive committee,Technology,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_19,,CHRO,Business executive committee,Human Resources,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_20,,Chief Procurement Officer,Business executive committee,Procurement and Vendor Management,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_21,,Chief Real Estate Officer,Business executive committee,Real Estate and Facilities,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
apex-retail,APEX_RETAIL_BUS_ROLE_22,,SVP Private Brands,Business executive committee,Private Brands,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
