mapping_id,application_id,application_name,business_function,process_supported,fit_score,pain_point,move_relevance,source_file,source_row,value_source
FC-MAP-001,FC-APP-001,Fiserv Core Deposits,Risk Management,Payments operations exception automation,78,Workflow locked in legacy mainframe screens,Payments operations exception automation,family-2-technology-estate/F06_system-function-mapping.csv,2,tenant_file
FC-MAP-002,FC-APP-001,Fiserv Core Deposits,Operations & Servicing,Cards dispute & chargeback automation,85,Data must be manually reconciled before decision use,Cards dispute & chargeback automation,family-2-technology-estate/F06_system-function-mapping.csv,3,tenant_file
FC-MAP-003,FC-APP-002,Thought Machine Loan Servicing,"Data, Analytics & AI",Cards dispute & chargeback automation,52,Batch latency blocks same-day decisioning,Cards dispute & chargeback automation,family-2-technology-estate/F06_system-function-mapping.csv,4,tenant_file
FC-MAP-004,FC-APP-003,FIS GL Posting Engine,Commercial & Corporate Banking,Contact center next-best-action & assist,76,Batch latency blocks same-day decisioning,Contact center next-best-action & assist,family-2-technology-estate/F06_system-function-mapping.csv,5,tenant_file
FC-MAP-005,FC-APP-004,Temenos Account Master,"Cyber, Privacy & Resilience",Credit & market risk modeling at scale,57,No real-time context across products,Credit & market risk modeling at scale,family-2-technology-estate/F06_system-function-mapping.csv,6,tenant_file
FC-MAP-006,FC-APP-005,Fiserv Statements,Commercial & Corporate Banking,Real-time fraud & scam detection,48,Workflow locked in legacy mainframe screens,Real-time fraud & scam detection,family-2-technology-estate/F06_system-function-mapping.csv,7,tenant_file
FC-MAP-007,FC-APP-006,Thought Machine Interest Engine,Contact Center & Customer Care,Engineering productivity with code assist,49,Data must be manually reconciled before decision use,Engineering productivity with code assist,family-2-technology-estate/F06_system-function-mapping.csv,8,tenant_file
FC-MAP-008,FC-APP-007,Thought Machine Branch Teller,Finance & Controllership,Cards dispute & chargeback automation,87,Model outputs not explainable to regulators,Cards dispute & chargeback automation,family-2-technology-estate/F06_system-function-mapping.csv,9,tenant_file
FC-MAP-009,FC-APP-007,Thought Machine Branch Teller,Finance & Controllership,Commercial credit underwriting automation,82,Model outputs not explainable to regulators,Commercial credit underwriting automation,family-2-technology-estate/F06_system-function-mapping.csv,10,tenant_file
FC-MAP-010,FC-APP-008,Temenos Core Deposits 2,Treasury & Capital Markets,Wealth advisory productivity & proposals,87,No real-time context across products,Wealth advisory productivity & proposals,family-2-technology-estate/F06_system-function-mapping.csv,11,tenant_file
FC-MAP-011,FC-APP-008,Temenos Core Deposits 2,Consumer Banking & Deposits,Credit & market risk modeling at scale,77,Workflow locked in legacy mainframe screens,Credit & market risk modeling at scale,family-2-technology-estate/F06_system-function-mapping.csv,12,tenant_file
FC-MAP-012,FC-APP-009,Thought Machine Loan Servicing 2,"Cyber, Privacy & Resilience",Contact center next-best-action & assist,53,Batch latency blocks same-day decisioning,Contact center next-best-action & assist,family-2-technology-estate/F06_system-function-mapping.csv,13,tenant_file
FC-MAP-013,FC-APP-010,FIS GL Posting Engine 2,Commercial & Corporate Banking,Payments operations exception automation,81,Data must be manually reconciled before decision use,Payments operations exception automation,family-2-technology-estate/F06_system-function-mapping.csv,14,tenant_file
FC-MAP-014,FC-APP-010,FIS GL Posting Engine 2,Finance & Controllership,Cards dispute & chargeback automation,41,Workflow locked in legacy mainframe screens,Cards dispute & chargeback automation,family-2-technology-estate/F06_system-function-mapping.csv,15,tenant_file
FC-MAP-015,FC-APP-011,Thought Machine Account Master 2,Cards & Payments,Real-time fraud & scam detection,68,Manual evidence assembly for audit,Real-time fraud & scam detection,family-2-technology-estate/F06_system-function-mapping.csv,16,tenant_file
FC-MAP-016,FC-APP-012,FIS Statements 2,"Cyber, Privacy & Resilience",Regulatory & financial close automation,81,No real-time context across products,Regulatory & financial close automation,family-2-technology-estate/F06_system-function-mapping.csv,17,tenant_file
FC-MAP-017,FC-APP-012,FIS Statements 2,"Data, Analytics & AI",Payments operations exception automation,79,Model outputs not explainable to regulators,Payments operations exception automation,family-2-technology-estate/F06_system-function-mapping.csv,18,tenant_file
FC-MAP-018,FC-APP-013,Thought Machine Interest Engine 2,Treasury & Capital Markets,Credit & market risk modeling at scale,86,Data must be manually reconciled before decision use,Credit & market risk modeling at scale,family-2-technology-estate/F06_system-function-mapping.csv,19,tenant_file
FC-MAP-019,FC-APP-014,Temenos Branch Teller 2,Wealth & Asset Management,Regulatory & financial close automation,77,Batch latency blocks same-day decisioning,Regulatory & financial close automation,family-2-technology-estate/F06_system-function-mapping.csv,20,tenant_file
FC-MAP-020,FC-APP-014,Temenos Branch Teller 2,Technology & Engineering,AML transaction monitoring & SAR automation,72,Manual evidence assembly for audit,AML transaction monitoring & SAR automation,family-2-technology-estate/F06_system-function-mapping.csv,21,tenant_file
FC-MAP-021,FC-APP-015,Fiserv Core Deposits 3,Wealth & Asset Management,"Customer 360 across deposits, cards, lending, wealth",51,Workflow locked in legacy mainframe screens,"Customer 360 across deposits, cards, lending, wealth",family-2-technology-estate/F06_system-function-mapping.csv,22,tenant_file
FC-MAP-022,FC-APP-016,Thought Machine Loan Servicing 3,Wealth & Asset Management,Data product governance & semantic layer,82,Workflow locked in legacy mainframe screens,Data product governance & semantic layer,family-2-technology-estate/F06_system-function-mapping.csv,23,tenant_file
FC-MAP-023,FC-APP-016,Thought Machine Loan Servicing 3,Commercial & Corporate Banking,"Customer 360 across deposits, cards, lending, wealth",67,Model outputs not explainable to regulators,"Customer 360 across deposits, cards, lending, wealth",family-2-technology-estate/F06_system-function-mapping.csv,24,tenant_file
FC-MAP-024,FC-APP-017,Fiserv GL Posting Engine 3,Operations & Servicing,Data product governance & semantic layer,85,Data must be manually reconciled before decision use,Data product governance & semantic layer,family-2-technology-estate/F06_system-function-mapping.csv,25,tenant_file
FC-MAP-025,FC-APP-018,Fiserv Account Master 3,Cards & Payments,Engineering productivity with code assist,83,Workflow locked in legacy mainframe screens,Engineering productivity with code assist,family-2-technology-estate/F06_system-function-mapping.csv,26,tenant_file
FC-MAP-026,FC-APP-019,Temenos Statements 3,Consumer Banking & Deposits,Contact center next-best-action & assist,66,Model outputs not explainable to regulators,Contact center next-best-action & assist,family-2-technology-estate/F06_system-function-mapping.csv,27,tenant_file
FC-MAP-027,FC-APP-019,Temenos Statements 3,Wealth & Asset Management,"Customer 360 across deposits, cards, lending, wealth",72,Workflow locked in legacy mainframe screens,"Customer 360 across deposits, cards, lending, wealth",family-2-technology-estate/F06_system-function-mapping.csv,28,tenant_file
FC-MAP-028,FC-APP-020,Temenos Interest Engine 3,Cards & Payments,Contact center next-best-action & assist,86,No real-time context across products,Contact center next-best-action & assist,family-2-technology-estate/F06_system-function-mapping.csv,29,tenant_file
FC-MAP-029,FC-APP-021,Temenos Branch Teller 3,Commercial & Corporate Banking,AML transaction monitoring & SAR automation,83,Batch latency blocks same-day decisioning,AML transaction monitoring & SAR automation,family-2-technology-estate/F06_system-function-mapping.csv,30,tenant_file
FC-MAP-030,FC-APP-021,Temenos Branch Teller 3,Operations & Servicing,Credit & market risk modeling at scale,80,No real-time context across products,Credit & market risk modeling at scale,family-2-technology-estate/F06_system-function-mapping.csv,31,tenant_file
