asset_id,asset_name,hosting_model,platform,region_or_datacenter,annual_cost_usd,resilience_tier,owner_team,modernization_note,source_file,source_row,value_source
FC-INF-001,Primary mainframe complex (core banking),on_prem_mainframe,IBM z16 / zOS,US-Central DC,8600000,tier_1,Core Banking Platforms,Migration constraint; core deposits + loans bound to COBOL/CICS,family-2-technology-estate/F07_infrastructure-cloud.csv,2,tenant_file
FC-INF-002,Secondary DR mainframe,on_prem_mainframe,IBM z16 / zOS,US-East DC,5400000,tier_1,Cloud & Infrastructure,DR for core; sync replication; high cost,family-2-technology-estate/F07_infrastructure-cloud.csv,3,tenant_file
FC-INF-003,AWS landing zone (data + analytics),aws_cloud,AWS / Databricks,us-east-1,6200000,tier_1,Data Platform & AI Engineering,Lakehouse foundation; PCI/NPI controls maturing,family-2-technology-estate/F07_infrastructure-cloud.csv,4,tenant_file
FC-INF-004,Azure tenant (productivity + Copilot),azure_cloud,Azure / M365,eastus2,2900000,tier_2,Channels & Digital Engineering,Copilot rollout; DLP and data residency review,family-2-technology-estate/F07_infrastructure-cloud.csv,5,tenant_file
FC-INF-005,Cards processing datacenter,on_prem_or_hybrid,Stratus / Linux,US-East DC,4100000,tier_1,Cards & Payments Technology,Authorization latency SLA; PCI zone,family-2-technology-estate/F07_infrastructure-cloud.csv,6,tenant_file
FC-INF-006,Payments rail gateway cluster,private_cloud,OpenShift,US-Central DC,2300000,tier_1,Integration & API Platform,FedNow/RTP 24x7 resilience requirement,family-2-technology-estate/F07_infrastructure-cloud.csv,7,tenant_file
FC-INF-007,Risk & quant grid,aws_cloud,AWS Batch / SAS Grid,us-east-1,3100000,tier_2,"Risk, Treasury & Finance Systems",CCAR compute peaks; cost spikes,family-2-technology-estate/F07_infrastructure-cloud.csv,8,tenant_file
FC-INF-008,AML/fraud real-time scoring cluster,private_cloud,Kubernetes / Feedzai,US-Central DC,2700000,tier_1,Financial Crimes Technology,Sub-100ms scoring SLA; model refresh cadence,family-2-technology-estate/F07_infrastructure-cloud.csv,9,tenant_file
FC-INF-009,Enterprise network backbone,on_prem_or_hybrid,Cisco / SD-WAN,Multi-DC,3800000,tier_1,Cloud & Infrastructure,Branch + DC connectivity; segmentation for PCI,family-2-technology-estate/F07_infrastructure-cloud.csv,10,tenant_file
FC-INF-010,ServiceNow / observability stack,azure_cloud,ServiceNow / Datadog,eastus2,1600000,tier_2,ServiceNow & IT Operations,Telemetry coverage gaps on mainframe,family-2-technology-estate/F07_infrastructure-cloud.csv,11,tenant_file
FC-INF-011,Snowflake finance mart,aws_cloud,Snowflake,us-east-1,1900000,tier_2,"Risk, Treasury & Finance Systems",Finance reporting mart; lineage to GL maturing,family-2-technology-estate/F07_infrastructure-cloud.csv,12,tenant_file
FC-INF-012,Cyber security operations platform,private_cloud,Splunk / CrowdStrike,US-East DC,4400000,tier_1,"Cyber, Privacy & Resilience",Model/data exfil monitoring expanding to AI workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,13,tenant_file
