application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,evidence_id,source_file,source_row,value_source
FC-APP-001,Fiserv Core Deposits,core_banking,Head of Consumer Banking,Integration & API Platform,custom,on_prem_mainframe,staging,medium,19100000,3134024,18,internal,retire_candidate,FC-EVID-019,family-2-technology-estate/F05_applications-systems.csv,2,tenant_file
FC-APP-002,Thought Machine Loan Servicing,core_banking,Head of Consumer Banking,Data Platform & AI Engineering,package,vendor_hosted,production,critical,17900000,2789001,24,restricted_nonpublic,extend_to_cloud,FC-EVID-031,family-2-technology-estate/F05_applications-systems.csv,3,tenant_file
FC-APP-003,FIS GL Posting Engine,core_banking,Head of Consumer Banking,Cloud & Infrastructure,custom,vendor_hosted,staging,medium,4700000,961721,8,internal,invest,FC-EVID-028,family-2-technology-estate/F05_applications-systems.csv,4,tenant_file
FC-APP-004,Temenos Account Master,core_banking,Head of Consumer Banking,"Cyber, Privacy & Resilience",package,on_prem_mainframe,production,high,7600000,6347983,3,confidential_pii,extend_to_cloud,FC-EVID-012,family-2-technology-estate/F05_applications-systems.csv,5,tenant_file
FC-APP-005,Fiserv Statements,core_banking,Head of Consumer Banking,Channels & Digital Engineering,package,vendor_hosted,staging,critical,12900000,4385899,22,confidential_pii,extend_to_cloud,FC-EVID-027,family-2-technology-estate/F05_applications-systems.csv,6,tenant_file
FC-APP-006,Thought Machine Interest Engine,core_banking,Head of Consumer Banking,AI Governance & Model Risk Tech,custom,aws_cloud,production,critical,10700000,2004212,20,internal,rehost,FC-EVID-018,family-2-technology-estate/F05_applications-systems.csv,7,tenant_file
FC-APP-007,Thought Machine Branch Teller,core_banking,Head of Consumer Banking,"Risk, Treasury & Finance Systems",custom,on_prem_mainframe,staging,critical,15700000,1079674,19,confidential_pii,extend_to_cloud,FC-EVID-028,family-2-technology-estate/F05_applications-systems.csv,8,tenant_file
FC-APP-008,Temenos Core Deposits 2,core_banking,Head of Consumer Banking,Integration & API Platform,custom,on_prem_mainframe,staging,high,900000,46648,14,confidential_pii,retire_candidate,FC-EVID-001,family-2-technology-estate/F05_applications-systems.csv,9,tenant_file
FC-APP-009,Thought Machine Loan Servicing 2,core_banking,Head of Consumer Banking,Channels & Digital Engineering,package,on_prem_mainframe,staging,critical,10100000,5904803,8,confidential_pii,extend_to_cloud,FC-EVID-021,family-2-technology-estate/F05_applications-systems.csv,10,tenant_file
FC-APP-010,FIS GL Posting Engine 2,core_banking,Head of Consumer Banking,ServiceNow & IT Operations,custom,on_prem_mainframe,staging,critical,21000000,6603679,23,restricted_nonpublic,optimize,FC-EVID-037,family-2-technology-estate/F05_applications-systems.csv,11,tenant_file
FC-APP-011,Thought Machine Account Master 2,core_banking,Head of Consumer Banking,AI Governance & Model Risk Tech,package,on_prem_mainframe,production,critical,14700000,4294569,2,restricted_nonpublic,invest,FC-EVID-006,family-2-technology-estate/F05_applications-systems.csv,12,tenant_file
FC-APP-012,FIS Statements 2,core_banking,Head of Consumer Banking,Channels & Digital Engineering,custom,on_prem_mainframe,production,medium,3800000,8777070,5,restricted_nonpublic,rehost,FC-EVID-020,family-2-technology-estate/F05_applications-systems.csv,13,tenant_file
FC-APP-013,Thought Machine Interest Engine 2,core_banking,Head of Consumer Banking,Core Banking Platforms,package,aws_cloud,staging,high,5100000,1226128,6,internal,retire_candidate,FC-EVID-021,family-2-technology-estate/F05_applications-systems.csv,14,tenant_file
FC-APP-014,Temenos Branch Teller 2,core_banking,Head of Consumer Banking,Integration & API Platform,package,private_cloud,production,high,2500000,6012648,13,restricted_nonpublic,retire_candidate,FC-EVID-012,family-2-technology-estate/F05_applications-systems.csv,15,tenant_file
FC-APP-015,Fiserv Core Deposits 3,core_banking,Head of Consumer Banking,Developer Experience & DevSecOps,custom,on_prem_mainframe,production,medium,11500000,6856011,5,restricted_nonpublic,retire_candidate,FC-EVID-022,family-2-technology-estate/F05_applications-systems.csv,16,tenant_file
FC-APP-016,Thought Machine Loan Servicing 3,core_banking,Head of Consumer Banking,Cloud & Infrastructure,package,on_prem_mainframe,production,high,16800000,4913601,21,confidential_pci,extend_to_cloud,FC-EVID-020,family-2-technology-estate/F05_applications-systems.csv,17,tenant_file
FC-APP-017,Fiserv GL Posting Engine 3,core_banking,Head of Consumer Banking,"Risk, Treasury & Finance Systems",package,on_prem_mainframe,production,high,2600000,6630414,10,restricted_nonpublic,optimize,FC-EVID-033,family-2-technology-estate/F05_applications-systems.csv,18,tenant_file
FC-APP-018,Fiserv Account Master 3,core_banking,Head of Consumer Banking,Cloud & Infrastructure,package,on_prem_mainframe,production,critical,4500000,3245499,11,confidential_pci,optimize,FC-EVID-039,family-2-technology-estate/F05_applications-systems.csv,19,tenant_file
FC-APP-019,Temenos Statements 3,core_banking,Head of Consumer Banking,Core Banking Platforms,package,azure_cloud,production,medium,2500000,5330038,3,internal,retire_candidate,FC-EVID-025,family-2-technology-estate/F05_applications-systems.csv,20,tenant_file
FC-APP-020,Temenos Interest Engine 3,core_banking,Head of Consumer Banking,Core Banking Platforms,custom,private_cloud,production,medium,20800000,1390264,17,confidential_pci,rehost,FC-EVID-006,family-2-technology-estate/F05_applications-systems.csv,21,tenant_file
FC-APP-021,Temenos Branch Teller 3,core_banking,Head of Consumer Banking,"Risk, Treasury & Finance Systems",package,azure_cloud,production,critical,20600000,2258694,19,confidential_pci,optimize,FC-EVID-030,family-2-technology-estate/F05_applications-systems.csv,22,tenant_file
FC-APP-022,Temenos Core Deposits 4,core_banking,Head of Consumer Banking,Integration & API Platform,package,vendor_hosted,production,high,8600000,3810829,13,confidential_pci,invest,FC-EVID-037,family-2-technology-estate/F05_applications-systems.csv,23,tenant_file
FC-APP-023,FIS Loan Servicing 4,core_banking,Head of Consumer Banking,Data Platform & AI Engineering,custom,on_prem_mainframe,production,critical,3800000,4198664,19,internal,invest,FC-EVID-004,family-2-technology-estate/F05_applications-systems.csv,24,tenant_file
FC-APP-024,Temenos GL Posting Engine 4,core_banking,Head of Consumer Banking,Core Banking Platforms,package,on_prem_mainframe,production,critical,4000000,8175212,10,confidential_pii,rehost,FC-EVID-010,family-2-technology-estate/F05_applications-systems.csv,25,tenant_file
FC-APP-025,Thought Machine Account Master 4,core_banking,Head of Consumer Banking,Core Banking Platforms,package,on_prem_mainframe,production,medium,6900000,3503760,23,confidential_pii,retire_candidate,FC-EVID-014,family-2-technology-estate/F05_applications-systems.csv,26,tenant_file
FC-APP-026,Fiserv Statements 4,core_banking,Head of Consumer Banking,Core Banking Platforms,package,vendor_hosted,staging,critical,11100000,5236220,9,confidential_pci,invest,FC-EVID-010,family-2-technology-estate/F05_applications-systems.csv,27,tenant_file
FC-APP-027,Visa DPS Card Authorization,cards,Head of Cards & Payments,Developer Experience & DevSecOps,package,aws_cloud,production,critical,16400000,8284032,2,internal,invest,FC-EVID-030,family-2-technology-estate/F05_applications-systems.csv,28,tenant_file
FC-APP-028,Visa DPS Card Issuance,cards,Head of Cards & Payments,"Cyber, Privacy & Resilience",package,vendor_hosted,staging,medium,12500000,2055064,3,internal,optimize,FC-EVID-032,family-2-technology-estate/F05_applications-systems.csv,29,tenant_file
FC-APP-029,Mastercard Rewards Engine,cards,Head of Cards & Payments,AI Governance & Model Risk Tech,package,vendor_hosted,production,medium,20600000,2475094,21,internal,extend_to_cloud,FC-EVID-002,family-2-technology-estate/F05_applications-systems.csv,30,tenant_file
FC-APP-030,Visa DPS Statement & Billing,cards,Head of Cards & Payments,Integration & API Platform,package,on_prem_mainframe,production,critical,18800000,7534565,11,restricted_nonpublic,rehost,FC-EVID-035,family-2-technology-estate/F05_applications-systems.csv,31,tenant_file
FC-APP-031,TSYS Tokenization Vault,cards,Head of Cards & Payments,Core Banking Platforms,custom,aws_cloud,staging,critical,14900000,2217420,7,confidential_pii,retire_candidate,FC-EVID-039,family-2-technology-estate/F05_applications-systems.csv,32,tenant_file
FC-APP-032,Marqeta Dispute Manager,cards,Head of Cards & Payments,Cards & Payments Technology,custom,aws_cloud,production,medium,4300000,627455,22,confidential_pci,optimize,FC-EVID-033,family-2-technology-estate/F05_applications-systems.csv,33,tenant_file
FC-APP-033,Visa DPS Card Authorization 2,cards,Head of Cards & Payments,Cloud & Infrastructure,package,azure_cloud,staging,high,3800000,690523,12,internal,extend_to_cloud,FC-EVID-025,family-2-technology-estate/F05_applications-systems.csv,34,tenant_file
FC-APP-034,Mastercard Card Issuance 2,cards,Head of Cards & Payments,AI Governance & Model Risk Tech,package,aws_cloud,staging,high,2800000,4568798,18,confidential_pci,invest,FC-EVID-024,family-2-technology-estate/F05_applications-systems.csv,35,tenant_file
FC-APP-035,Mastercard Rewards Engine 2,cards,Head of Cards & Payments,Financial Crimes Technology,custom,on_prem_mainframe,production,critical,21100000,2479673,16,confidential_pii,optimize,FC-EVID-012,family-2-technology-estate/F05_applications-systems.csv,36,tenant_file
FC-APP-036,Visa DPS Statement & Billing 2,cards,Head of Cards & Payments,Cards & Payments Technology,package,aws_cloud,production,critical,2100000,2645398,2,internal,retire_candidate,FC-EVID-006,family-2-technology-estate/F05_applications-systems.csv,37,tenant_file
FC-APP-037,Marqeta Tokenization Vault 2,cards,Head of Cards & Payments,AI Governance & Model Risk Tech,package,vendor_hosted,production,medium,1600000,328650,22,confidential_pci,optimize,FC-EVID-036,family-2-technology-estate/F05_applications-systems.csv,38,tenant_file
FC-APP-038,Mastercard Dispute Manager 2,cards,Head of Cards & Payments,Cards & Payments Technology,package,private_cloud,production,critical,12800000,863086,6,restricted_nonpublic,optimize,FC-EVID-012,family-2-technology-estate/F05_applications-systems.csv,39,tenant_file
FC-APP-039,Marqeta Card Authorization 3,cards,Head of Cards & Payments,Data Platform & AI Engineering,package,vendor_hosted,production,medium,9200000,412859,19,confidential_pii,retire_candidate,FC-EVID-016,family-2-technology-estate/F05_applications-systems.csv,40,tenant_file
FC-APP-040,Marqeta Card Issuance 3,cards,Head of Cards & Payments,Financial Crimes Technology,package,azure_cloud,production,critical,10800000,4312369,23,confidential_pci,invest,FC-EVID-019,family-2-technology-estate/F05_applications-systems.csv,41,tenant_file
FC-APP-041,Mastercard Rewards Engine 3,cards,Head of Cards & Payments,Data Platform & AI Engineering,package,vendor_hosted,staging,critical,15500000,4786513,21,confidential_pci,extend_to_cloud,FC-EVID-028,family-2-technology-estate/F05_applications-systems.csv,42,tenant_file
FC-APP-042,Marqeta Statement & Billing 3,cards,Head of Cards & Payments,"Cyber, Privacy & Resilience",package,private_cloud,staging,high,4400000,4324456,9,confidential_pci,retire_candidate,FC-EVID-021,family-2-technology-estate/F05_applications-systems.csv,43,tenant_file
FC-APP-043,TSYS Tokenization Vault 3,cards,Head of Cards & Payments,"Risk, Treasury & Finance Systems",package,on_prem_mainframe,production,critical,11100000,7771888,17,internal,rehost,FC-EVID-031,family-2-technology-estate/F05_applications-systems.csv,44,tenant_file
FC-APP-044,Marqeta Dispute Manager 3,cards,Head of Cards & Payments,Cards & Payments Technology,custom,azure_cloud,production,high,19100000,5636050,17,confidential_pci,retire_candidate,FC-EVID-023,family-2-technology-estate/F05_applications-systems.csv,45,tenant_file
FC-APP-045,TSYS Card Authorization 4,cards,Head of Cards & Payments,Developer Experience & DevSecOps,package,aws_cloud,staging,high,21100000,5406008,21,confidential_pci,retire_candidate,FC-EVID-026,family-2-technology-estate/F05_applications-systems.csv,46,tenant_file
FC-APP-046,TSYS Card Issuance 4,cards,Head of Cards & Payments,AI Governance & Model Risk Tech,package,private_cloud,production,medium,21600000,8317148,11,confidential_pii,rehost,FC-EVID-005,family-2-technology-estate/F05_applications-systems.csv,47,tenant_file
FC-APP-047,Marqeta Rewards Engine 4,cards,Head of Cards & Payments,Core Banking Platforms,custom,aws_cloud,production,high,4300000,886504,8,confidential_pci,invest,FC-EVID-023,family-2-technology-estate/F05_applications-systems.csv,48,tenant_file
FC-APP-048,Visa DPS Statement & Billing 4,cards,Head of Cards & Payments,AI Governance & Model Risk Tech,package,on_prem_mainframe,production,medium,15800000,3125148,13,internal,extend_to_cloud,FC-EVID-029,family-2-technology-estate/F05_applications-systems.csv,49,tenant_file
