fact_key,measure,view,scope,basis,period,value_numeric,source_key,source_row,attributes
meridian-health::budget::mer-v3-bud-run-app-01::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,58000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-APP-01,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-APP-01"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-APP-01"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-app-02::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,42000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-APP-02,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-APP-02"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-APP-02"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-app-03::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,16800000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-APP-03,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-APP-03"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-APP-03"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-app-04::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,8500000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-APP-04,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-APP-04"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-APP-04"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-app-05::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,6000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-APP-05,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-APP-05"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-APP-05"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-app-06::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,1200000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-APP-06,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-APP-06"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-APP-06"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-infra-01::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,30000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-INFRA-01,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-INFRA-01"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-INFRA-01"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-infra-02::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,28000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-INFRA-02,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-INFRA-02"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-INFRA-02"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-infra-03::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,18000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-INFRA-03,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-INFRA-03"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-INFRA-03"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-infra-04::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,14000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-INFRA-04,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-INFRA-04"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-INFRA-04"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-infra-05::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,12500000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-INFRA-05,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-INFRA-05"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-INFRA-05"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-mgs-01::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,30000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-MGS-01,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-MGS-01"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-MGS-01"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-mgs-02::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,34000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-MGS-02,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-MGS-02"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-MGS-02"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-mgs-03::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,28000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-MGS-03,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-MGS-03"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-MGS-03"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-mgs-04::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,14000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-MGS-04,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-MGS-04"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-MGS-04"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-mgs-05::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,12000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-MGS-05,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-MGS-05"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-MGS-05"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-mgs-06::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,7000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-MGS-06,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-MGS-06"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-MGS-06"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-cyber-01::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,17000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-CYBER-01,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-CYBER-01"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-CYBER-01"",""source_amount_field"":""run_budget_usd""}"
meridian-health::budget::mer-v3-bud-run-cyber-02::run::fy26,run_budget_fy26,it_budget,enterprise_envelope,committed,fy26,14000000,meridian-health::standard-2026-07-v3::08_it_budget_spend_value.csv,MER-V3-BUD-RUN-CYBER-02,"{""evidence_id"":""MER-V3-EVID-BUD-RUN-CYBER-02"",""source_ref"":""08_it_budget_spend_value.csv#MER-V3-BUD-RUN-CYBER-02"",""source_amount_field"":""run_budget_usd""}"
