result_key,measure_key,scope,period,basis,value_numeric,value_json
meridian-health::total_it_budget_fy26::enterprise_envelope::fy26::committed::,total_it_budget_fy26,enterprise_envelope,fy26,committed,650000000,"{""source_file"":""08_it_budget_spend_value.csv"",""source_rule"":""SUM additive fy26_budget_line rows only"",""source_fact_count"":1}"
meridian-health::run_budget_fy26::enterprise_envelope::fy26::committed::,run_budget_fy26,enterprise_envelope,fy26,committed,487500000,"{""source_fact_count"":31}"
meridian-health::change_budget_fy26::enterprise_envelope::fy26::committed::,change_budget_fy26,enterprise_envelope,fy26,committed,162500000,"{""source_fact_count"":39}"
meridian-health::initiative_budget_fy26::initiative::fy26::committed::,initiative_budget_fy26,initiative,fy26,committed,291900000,"{""approved_program_count"":12,""source_fact_count"":12}"
meridian-health::ai_tagged_spend_fy26::initiative::fy26::committed::,ai_tagged_spend_fy26,initiative,fy26,committed,53700000,"{""additive_status"":""non_additive_ai_lens"",""warning"":""AI spend lens should not be added to total IT budget; it cuts across program/platform rows."",""by_category"":{""erp_ai"":2500000,""workday_ai"":1200000,""cloud_ai_services"":4000000,""servicenow_ai"":4000000,""copilot_productivity"":10500000,""data_ai_platform"":17500000,""developer_productivity_ai"":2900000,""crm_contact_center_ai"":5800000,""ai_governance"":4000000,""ai_training_change"":1300000},""by_vendor"":{""Salesforce; Google"":2500000,""Workday"":1200000,""AWS; Microsoft"":4000000,""ServiceNow; Infosys"":4000000,""Microsoft"":10500000,""Databricks; AWS"":14000000,""Collibra"":3500000,""GitHub; Microsoft"":2900000,""Genesys"":3800000,""ServiceNow; Salesforce"":2000000,""ServiceNow; Collibra"":2000000,""OneTrust; Legal"":2000000,""AbarVa; Microsoft"":1300000},""source_fact_count"":14}"
meridian-health::promised_value_fy26::initiative::fy26::forecast::,promised_value_fy26,initiative,fy26,forecast,35500000,"{""realized_value_allowed"":false,""source_fact_count"":5}"
meridian-health::partial_finance_validated_value_ytd::initiative::ytd::actual::,partial_finance_validated_value_ytd,initiative,ytd,actual,3800000,"{""caveat"":""Partial finance-validated value only; not realized savings."",""source_fact_count"":4}"
meridian-health::ai_usage_signal::initiative::ytd::actual::,ai_usage_signal,initiative,ytd,actual,8,"{""rows"":[{""fact_key"":""meridian-health::adoption::sa08-ben-001::usage"",""value_numeric"":4800,""attributes"":{""evidence_id"":""MER-V3-EVID-BEN-001"",""source_ref"":""SA08_AI_Benefits_Realization_Usage_Ledger.csv#SA08-BEN-001"",""program_name"":""Microsoft 365 Copilot Productivity Enablement"",""vendor_name"":""Microsoft"",""tool_name"":""Microsoft 365 Copilot"",""usage_metric"":""monthly active users"",""adoption_rate_pct"":0.62,""value_claim_status"":""measured_partial"",""caveat"":""Savings not yet labor-released; count as partial finance-validated productivity value only.""}},{""fact_key"":""meridian-health::adoption::sa08-ben-002::usage"",""value_numeric"":18500,""attributes"":{""evidence_id"":""MER-V3-EVID-BEN-002"",""source_ref"":""SA08_AI_Benefits_Realization_Usage_Ledger.csv#SA08-BEN-002"",""program_name"":""ServiceNow AI / ITSM Automation Pilot"",""vendor_name"":""ServiceNow"",""tool_name"":""ServiceNow AI Agent Assist"",""usage_metric"":""AI-assisted ticket resolutions"",""adoption_rate_pct"":0.38,""value_claim_status"":""measured_partial"",""caveat"":""Value is productivity capacity; do not claim headcount reduction without operating decision.""}},{""fact_key"":""meridian-health::adoption::sa08-ben-003::usage"",""value_numeric"":3200,""attributes"":{""evidence_id"":""MER-V3-EVID-BEN-003"",""source_ref"":""SA08_AI_Benefits_Realization_Usage_Ledger.csv#SA08-BEN-003"",""program_name"":""Workday HR/Finance AI Workflow Pilot"",""vendor_name"":""Workday"",""tool_name"":""Workday AI HR/Finance Assist"",""usage_metric"":""AI-assisted HR/finance cases"",""adoption_rate_pct"":0.29,""value_claim_status"":""measured_partial"",""caveat"":""Early pilot; value is operational improvement until finance validates durable capacity release.""}},{""fact_key"":""meridian-health::adoption::sa08-ben-004::usage"",""value_numeric"":650,""attributes"":{""evidence_id"":""MER-V3-EVID-BEN-004"",""source_ref"":""SA08_AI_Benefits_Realization_Usage_Ledger.csv#SA08-BEN-004"",""program_name"":""Developer Productivity AI / SDLC Automation"",""vendor_name"":""GitHub"",""tool_name"":""GitHub Copilot Enterprise"",""usage_metric"":""active developers"",""adoption_rate_pct"":0.54,""value_claim_status"":""measured_partial"",""caveat"":""Do not count savings without delivery-capacity or cost impact evidence.""}},{""fact_key"":""meridian-health::adoption::sa08-ben-005::usage"",""value_numeric"":0,""attributes"":{""evidence_id"":""MER-V3-EVID-BEN-005"",""source_ref"":""SA08_AI_Benefits_Realization_Usage_Ledger.csv#SA08-BEN-005"",""program_name"":""Contact Center Platform / Knowledge Modernization"",""vendor_name"":""Genesys / Salesforce"",""tool_name"":""Contact Center Knowledge Foundation"",""usage_metric"":""knowledge searches"",""adoption_rate_pct"":0,""value_claim_status"":""baseline_only"",""caveat"":""Foundation spend only; does not fund Member Service AI Assist and cannot claim AI Assist value.""}},{""fact_key"":""meridian-health::adoption::sa08-ben-006::usage"",""value_numeric"":4,""attributes"":{""evidence_id"":""MER-V3-EVID-BEN-006"",""source_ref"":""SA08_AI_Benefits_Realization_Usage_Ledger.csv#SA08-BEN-006"",""program_name"":""Data Foundation / Lakehouse Modernization"",""vendor_name"":""Databricks / AWS / Collibra"",""tool_name"":""Data and AI Platform Enablement"",""usage_metric"":""certified domains"",""adoption_rate_pct"":0.18,""value_claim_status"":""readiness_only"",""caveat"":""Platform enablement is a prerequisite; no direct realized AI value claim.""}},{""fact_key"":""meridian-health::adoption::sa08-ben-007::usage"",""value_numeric"":12,""attributes"":{""evidence_id"":""MER-V3-EVID-BEN-007"",""source_ref"":""SA08_AI_Benefits_Realization_Usage_Ledger.csv#SA08-BEN-007"",""program_name"":""AI Governance / Model Risk Controls"",""vendor_name"":""AbarVa / ServiceNow / Legal"",""tool_name"":""AI Governance Controls"",""usage_metric"":""registered AI systems"",""adoption_rate_pct"":0.2,""value_claim_status"":""readiness_only"",""caveat"":""Governance spend reduces risk and gates scale; do not claim financial value.""}},{""fact_key"":""meridian-health::adoption::sa08-ben-008::usage"",""value_numeric"":0,""attributes"":{""evidence_id"":""MER-V3-EVID-BEN-008"",""source_ref"":""SA08_AI_Benefits_Realization_Usage_Ledger.csv#SA08-BEN-008"",""program_name"":""Member Service AI Assist Candidate"",""vendor_name"":""TBD"",""tool_name"":""Member Service AI Assist"",""usage_metric"":""approved funding"",""adoption_rate_pct"":0,""value_claim_status"":""not_claimable"",""caveat"":""Candidate only. Depends on contact center/data/governance work but inherits none of their funding or value.""}}],""source_fact_count"":8}"
meridian-health::measured_value_ytd::initiative::ytd::actual::,measured_value_ytd,initiative,ytd,actual,0,"{""claim_gate"":""blocked"",""reason"":""No row allows realized/proven/delivered value language."",""source_fact_count"":0}"
meridian-health::candidate_ai_opportunity_count::initiative::current::baseline::,candidate_ai_opportunity_count,initiative,current,baseline,242,"{""member_service_ai_assist_funded"":false,""source_fact_count"":242}"
meridian-health::tower_watch_pressure_signal::enterprise_envelope::current::baseline::,tower_watch_pressure_signal,enterprise_envelope,current,baseline,80,"{""sample_themes"":[""identity_and_governance"",""baseline_and_actuals"",""data_lineage"",""contact_center_readiness"",""platform_readiness""],""source_fact_count"":80}"
