ai_portfolio_key,tenant_key,item_name,item_kind,vendor_name,system_name,ai_spend_type,ai_spend_category,funding_status,decision_lane,approved_funding_usd,ai_tagged_spend_usd,promised_value_usd,finance_validated_value_usd,usage_metric,usage_actual,adoption_rate_pct,value_score,readiness_score,risk_score,duplicate_risk,value_claim_status,tower_claim_allowed,caveat,source_file,source_row
meridian-health::tower_command_mart_v1::ai-benefit::microsoft-365-copilot,meridian-health,Microsoft 365 Copilot,usage_benefit,Microsoft,Microsoft 365 Copilot,,,active,fund,0,0,14000000,2100000,monthly active users,4800,0.62,93,72,42,not_additive_to_budget,measured_partial,partial,Savings not yet labor-released; count as partial finance-validated productivity value only.,SA08_AI_Benefits_Realization_Usage_Ledger.csv,Microsoft 365 Copilot
meridian-health::tower_command_mart_v1::ai-benefit::servicenow-ai-agent-assist,meridian-health,ServiceNow AI Agent Assist,usage_benefit,ServiceNow,ServiceNow AI Agent Assist,,,active,fund,0,0,6000000,800000,AI-assisted ticket resolutions,18500,0.38,40,72,42,not_additive_to_budget,measured_partial,partial,Value is productivity capacity; do not claim headcount reduction without operating decision.,SA08_AI_Benefits_Realization_Usage_Ledger.csv,ServiceNow AI Agent Assist
meridian-health::tower_command_mart_v1::ai-benefit::workday-ai-hr-finance-assist,meridian-health,Workday AI HR/Finance Assist,usage_benefit,Workday,Workday AI HR/Finance Assist,,,active,fund,0,0,3000000,400000,AI-assisted HR/finance cases,3200,0.29,20,72,42,not_additive_to_budget,measured_partial,partial,Early pilot; value is operational improvement until finance validates durable capacity release.,SA08_AI_Benefits_Realization_Usage_Ledger.csv,Workday AI HR/Finance Assist
meridian-health::tower_command_mart_v1::ai-benefit::github-copilot-enterprise,meridian-health,GitHub Copilot Enterprise,usage_benefit,GitHub,GitHub Copilot Enterprise,,,active,fund,0,0,4500000,500000,active developers,650,0.54,30,72,42,not_additive_to_budget,measured_partial,partial,Do not count savings without delivery-capacity or cost impact evidence.,SA08_AI_Benefits_Realization_Usage_Ledger.csv,GitHub Copilot Enterprise
meridian-health::tower_command_mart_v1::ai-benefit::contact-center-knowledge-foundation,meridian-health,Contact Center Knowledge Foundation,usage_benefit,Genesys / Salesforce,Contact Center Knowledge Foundation,,,active,fix,0,0,8000000,0,knowledge searches,0,0,53,45,68,not_additive_to_budget,baseline_only,no,Foundation spend only; does not fund Member Service AI Assist and cannot claim AI Assist value.,SA08_AI_Benefits_Realization_Usage_Ledger.csv,Contact Center Knowledge Foundation
meridian-health::tower_command_mart_v1::ai-benefit::data-and-ai-platform-enablement,meridian-health,Data and AI Platform Enablement,usage_benefit,Databricks / AWS / Collibra,Data and AI Platform Enablement,,,active,fix,0,0,0,0,certified domains,4,0.18,0,45,68,not_additive_to_budget,readiness_only,no,Platform enablement is a prerequisite; no direct realized AI value claim.,SA08_AI_Benefits_Realization_Usage_Ledger.csv,Data and AI Platform Enablement
meridian-health::tower_command_mart_v1::ai-benefit::ai-governance-controls,meridian-health,AI Governance Controls,usage_benefit,AbarVa / ServiceNow / Legal,AI Governance Controls,,,active,fix,0,0,0,0,registered AI systems,12,0.2,0,45,68,not_additive_to_budget,readiness_only,no,Governance spend reduces risk and gates scale; do not claim financial value.,SA08_AI_Benefits_Realization_Usage_Ledger.csv,AI Governance Controls
meridian-health::tower_command_mart_v1::ai-benefit::member-service-ai-assist,meridian-health,Member Service AI Assist,usage_benefit,TBD,Member Service AI Assist,,,active,fix,0,0,0,0,approved funding,0,0,0,45,68,not_additive_to_budget,not_claimable,no,Candidate only. Depends on contact center/data/governance work but inherits none of their funding or value.,SA08_AI_Benefits_Realization_Usage_Ledger.csv,Member Service AI Assist
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0001::moves-business-case-before-funding,meridian-health,Unified clinical + claims lakehouse,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0001
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0002::moves-business-case-before-funding,meridian-health,Unified clinical + claims lakehouse,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0002
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0003::moves-business-case-before-funding,meridian-health,Unified clinical + claims lakehouse,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0003
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0004::moves-business-case-before-funding,meridian-health,Governed data foundation for AI / LLM automation,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0004
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0005::moves-business-case-before-funding,meridian-health,Governed data foundation for AI / LLM automation,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0005
