lane_key,tenant_key,program_code,program_name,owner_role,finance_owner_role,decision_lane,decision_rationale,approved_funding_usd,ai_tagged_spend_usd,promised_value_usd,finance_validated_value_usd,usage_metric,usage_actual,adoption_rate_pct,value_claim_status,tower_claim_allowed,required_gates,caveat,source_file,source_row
meridian-health::tower_command_mart_v1::program-lane::prog-data-foundation,meridian-health,PROG-DATA-FOUNDATION,Data Foundation / Lakehouse Modernization,CDAO,FP&A Technology Finance Lead,freeze,"Data Foundation / Lakehouse Modernization should not receive incremental funding until its funding boundary, readiness gate, or evidence posture is resolved.",42500000,0,0,0,certified domains,4,0.18,readiness_only,no,"[{""gate"":""value_case"",""status"":""missing"",""ask"":""Load promised value or mark as no-value/mandatory spend.""},{""gate"":""finance_validation"",""status"":""partial_or_missing"",""ask"":""Load finance validation or keep value claim blocked.""},{""gate"":""caveat"",""status"":""open"",""ask"":""Platform enablement is a prerequisite; no direct realized AI value claim.""}]",Platform enablement is a prerequisite; no direct realized AI value claim.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-DATA-FOUNDATION
meridian-health::tower_command_mart_v1::program-lane::prog-api-mod,meridian-health,PROG-API-MOD,Integration / API Modernization,Chief Architect,FP&A Technology Finance Lead,freeze,"Integration / API Modernization should not receive incremental funding until its funding boundary, readiness gate, or evidence posture is resolved.",25800000,0,0,0,,,,not_loaded,not_loaded,"[{""gate"":""value_case"",""status"":""missing"",""ask"":""Load promised value or mark as no-value/mandatory spend.""},{""gate"":""usage"",""status"":""missing"",""ask"":""Load usage/adoption metric from the benefits ledger.""},{""gate"":""finance_validation"",""status"":""partial_or_missing"",""ask"":""Load finance validation or keep value claim blocked.""},{""gate"":""caveat"",""status"":""open"",""ask"":""Budget-linked approved program; benefits require usage/KPI/finance evidence.""}]",Budget-linked approved program; benefits require usage/KPI/finance evidence.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-API-MOD
meridian-health::tower_command_mart_v1::program-lane::prog-dev-productivity,meridian-health,PROG-DEV-PRODUCTIVITY,Developer Productivity AI / SDLC Automation,VP Engineering,FP&A Technology Finance Lead,fund,"Developer Productivity AI / SDLC Automation has usage and partial finance validation, but Tower still treats the value as partial, not realized.",2900000,2900000,4500000,500000,active developers,650,0.54,measured_partial,partial,"[{""gate"":""caveat"",""status"":""open"",""ask"":""Do not count savings without delivery-capacity or cost impact evidence.""}]",Do not count savings without delivery-capacity or cost impact evidence.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-DEV-PRODUCTIVITY
meridian-health::tower_command_mart_v1::program-lane::prog-phi-iam,meridian-health,PROG-PHI-IAM,Cybersecurity / Identity / PHI Control Uplift,CISO,FP&A Technology Finance Lead,freeze,"Cybersecurity / Identity / PHI Control Uplift should not receive incremental funding until its funding boundary, readiness gate, or evidence posture is resolved.",24000000,0,0,0,,,,not_loaded,not_loaded,"[{""gate"":""value_case"",""status"":""missing"",""ask"":""Load promised value or mark as no-value/mandatory spend.""},{""gate"":""usage"",""status"":""missing"",""ask"":""Load usage/adoption metric from the benefits ledger.""},{""gate"":""finance_validation"",""status"":""partial_or_missing"",""ask"":""Load finance validation or keep value claim blocked.""},{""gate"":""caveat"",""status"":""open"",""ask"":""Budget-linked approved program; benefits require usage/KPI/finance evidence.""}]",Budget-linked approved program; benefits require usage/KPI/finance evidence.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-PHI-IAM
meridian-health::tower_command_mart_v1::program-lane::prog-ehr-clin,meridian-health,PROG-EHR-CLIN,EHR / Clinical Analytics Modernization,CMIO,FP&A Technology Finance Lead,freeze,"EHR / Clinical Analytics Modernization should not receive incremental funding until its funding boundary, readiness gate, or evidence posture is resolved.",22000000,0,0,0,,,,not_loaded,not_loaded,"[{""gate"":""value_case"",""status"":""missing"",""ask"":""Load promised value or mark as no-value/mandatory spend.""},{""gate"":""usage"",""status"":""missing"",""ask"":""Load usage/adoption metric from the benefits ledger.""},{""gate"":""finance_validation"",""status"":""partial_or_missing"",""ask"":""Load finance validation or keep value claim blocked.""},{""gate"":""caveat"",""status"":""open"",""ask"":""Budget-linked approved program; benefits require usage/KPI/finance evidence.""}]",Budget-linked approved program; benefits require usage/KPI/finance evidence.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-EHR-CLIN
meridian-health::tower_command_mart_v1::program-lane::prog-contact-know,meridian-health,PROG-CONTACT-KNOW,Contact Center Platform / Knowledge Modernization,Chief Experience Officer,FP&A Technology Finance Lead,fix,"Contact Center Platform / Knowledge Modernization has approved funding or promised value, but baseline, KPI, usage, or finance evidence must be completed before scaling the next tranche.",16000000,0,8000000,0,knowledge searches,0,0,baseline_only,no,"[{""gate"":""finance_validation"",""status"":""partial_or_missing"",""ask"":""Load finance validation or keep value claim blocked.""},{""gate"":""caveat"",""status"":""open"",""ask"":""Foundation spend only; does not fund Member Service AI Assist and cannot claim AI Assist value.""}]",Foundation spend only; does not fund Member Service AI Assist and cannot claim AI Assist value.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-CONTACT-KNOW
meridian-health::tower_command_mart_v1::program-lane::prog-finops,meridian-health,PROG-FINOPS,Cloud Cost Governance / FinOps,SVP Infrastructure and Cloud,FP&A Technology Finance Lead,freeze,"Cloud Cost Governance / FinOps should not receive incremental funding until its funding boundary, readiness gate, or evidence posture is resolved.",10000000,0,0,0,,,,not_loaded,not_loaded,"[{""gate"":""value_case"",""status"":""missing"",""ask"":""Load promised value or mark as no-value/mandatory spend.""},{""gate"":""usage"",""status"":""missing"",""ask"":""Load usage/adoption metric from the benefits ledger.""},{""gate"":""finance_validation"",""status"":""partial_or_missing"",""ask"":""Load finance validation or keep value claim blocked.""},{""gate"":""caveat"",""status"":""open"",""ask"":""Budget-linked approved program; benefits require usage/KPI/finance evidence.""}]",Budget-linked approved program; benefits require usage/KPI/finance evidence.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-FINOPS
meridian-health::tower_command_mart_v1::program-lane::prog-ai-gov,meridian-health,PROG-AI-GOV,AI Governance / Model Risk Controls,Chief Risk Officer,FP&A Technology Finance Lead,freeze,"AI Governance / Model Risk Controls should not receive incremental funding until its funding boundary, readiness gate, or evidence posture is resolved.",8000000,0,0,0,registered AI systems,12,0.2,readiness_only,no,"[{""gate"":""value_case"",""status"":""missing"",""ask"":""Load promised value or mark as no-value/mandatory spend.""},{""gate"":""finance_validation"",""status"":""partial_or_missing"",""ask"":""Load finance validation or keep value claim blocked.""},{""gate"":""caveat"",""status"":""open"",""ask"":""Governance spend reduces risk and gates scale; do not claim financial value.""}]",Governance spend reduces risk and gates scale; do not claim financial value.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-AI-GOV
meridian-health::tower_command_mart_v1::program-lane::prog-mso,meridian-health,PROG-MSO,Managed Services Optimization,VP IT Operations,FP&A Technology Finance Lead,freeze,"Managed Services Optimization should not receive incremental funding until its funding boundary, readiness gate, or evidence posture is resolved.",125000000,0,0,0,,,,not_loaded,not_loaded,"[{""gate"":""value_case"",""status"":""missing"",""ask"":""Load promised value or mark as no-value/mandatory spend.""},{""gate"":""usage"",""status"":""missing"",""ask"":""Load usage/adoption metric from the benefits ledger.""},{""gate"":""finance_validation"",""status"":""partial_or_missing"",""ask"":""Load finance validation or keep value claim blocked.""},{""gate"":""caveat"",""status"":""open"",""ask"":""Budget-linked approved program; benefits require usage/KPI/finance evidence.""}]",Budget-linked approved program; benefits require usage/KPI/finance evidence.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-MSO
meridian-health::tower_command_mart_v1::program-lane::prog-copilot-adopt,meridian-health,PROG-COPILOT-ADOPT,Microsoft 365 Copilot Productivity Enablement,VP Workplace Technology,FP&A Technology Finance Lead,fund,"Microsoft 365 Copilot Productivity Enablement has usage and partial finance validation, but Tower still treats the value as partial, not realized.",10500000,10500000,14000000,2100000,monthly active users,4800,0.62,measured_partial,partial,"[{""gate"":""caveat"",""status"":""open"",""ask"":""Savings not yet labor-released; count as partial finance-validated productivity value only.""}]",Savings not yet labor-released; count as partial finance-validated productivity value only.,SA04_Program_Portfolio_Extract.csv,SA04-PROG-COPILOT-ADOPT
