tenant_key,scan_type,pattern,expected,found_count,status,scope
meridian-health,positive_tenant_specificity,Meridian|clinical|claims|Epic|member|PHI|HEDIS|STAR|health plan|care,present,65,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,airline,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,IROPS,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,crew,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,baggage,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,airport,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,passenger service,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,departure control,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,reservations platform,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,AML,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,KYC,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,fraud copilot,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,core banking,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,retail banking,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,loan operations,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,regulatory reporting,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,branch operations,absent,0,Pass,story_blocks_and_visual_specs
meridian-health,wrong_industry_leak,Healthcare Demo,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,positive_tenant_specificity,airline|IROPS|crew|baggage|maintenance|airport|passenger|AMS|managed-services|SLA,present,92,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,AML,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,KYC,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,fraud copilot,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,core banking,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,retail banking,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,loan operations,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,regulatory reporting,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,branch operations,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,Healthcare Demo,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,Meridian,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,Epic,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,clinical,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,claims administration,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,PHI,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,HEDIS,absent,0,Pass,story_blocks_and_visual_specs
skyharbor-air,wrong_industry_leak,STAR,absent,0,Pass,story_blocks_and_visual_specs
first-capital,positive_tenant_specificity,bank|banking|fraud|AML|KYC|regulatory|model-risk|customer 360|loan|core,present,133,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,airline,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,IROPS,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,crew,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,baggage,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,airport,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,passenger service,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,departure control,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,reservations platform,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,Healthcare Demo,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,Meridian,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,Epic,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,clinical,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,claims administration,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,PHI,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,HEDIS,absent,0,Pass,story_blocks_and_visual_specs
first-capital,wrong_industry_leak,STAR,absent,0,Pass,story_blocks_and_visual_specs
all,source_event_artifact_absence,rfp,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
all,source_event_artifact_absence,bafo,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
all,source_event_artifact_absence,vendor response,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
all,source_event_artifact_absence,vendor-response,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
all,source_event_artifact_absence,decision brief,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
all,source_event_artifact_absence,decision-brief,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
all,source_event_artifact_absence,negotiation memo,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
all,source_event_artifact_absence,negotiation-memo,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
all,source_event_artifact_absence,source event artifact,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
all,source_event_artifact_absence,event-specific artifact,absent_in_generated_paths,0,Pass,generated_dataset_and_report_paths
