tenant_key,term,expected,found_count,status,scope
meridian-health,V4,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,V5,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,V6,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,V7,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,packet,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,substrate,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,runtime,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,source_record_id,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,record ID,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,loaded records,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,loaded view,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,this view explains,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,context layer is the hero,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,deterministic visual fallback,absent,0,Pass,approved_story_blocks_and_visual_specs
meridian-health,Healthcare Demo,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,V4,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,V5,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,V6,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,V7,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,packet,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,substrate,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,runtime,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,source_record_id,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,record ID,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,loaded records,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,loaded view,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,this view explains,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,context layer is the hero,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,deterministic visual fallback,absent,0,Pass,approved_story_blocks_and_visual_specs
skyharbor-air,Healthcare Demo,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,V4,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,V5,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,V6,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,V7,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,packet,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,substrate,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,runtime,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,source_record_id,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,record ID,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,loaded records,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,loaded view,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,this view explains,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,context layer is the hero,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,deterministic visual fallback,absent,0,Pass,approved_story_blocks_and_visual_specs
first-capital,Healthcare Demo,absent,0,Pass,approved_story_blocks_and_visual_specs
