entity_type,stable_id,display_name,projected_domain,projected_row_identity
enterprise,ENT-001,Meridian Health System,enterprise_profile,Meridian Health System
leader,LEADER-001,CDAO,org_ownership,CDAO
leader,LEADER-001,CDAO,business_functions,CDAO
leader,LEADER-001,CDAO,programs_initiatives,CDAO
function,FN-001,Enterprise Data and Analytics,business_functions,Enterprise Data and Analytics
leader,LEADER-002,CMO,org_ownership,CMO
leader,LEADER-002,CMO,business_functions,CMO
leader,LEADER-002,CMO,programs_initiatives,CMO
function,FN-002,Clinical Operations,business_functions,Clinical Operations
leader,LEADER-003,Health Plan COO,org_ownership,Health Plan COO
leader,LEADER-003,Health Plan COO,business_functions,Health Plan COO
leader,LEADER-003,Health Plan COO,programs_initiatives,Health Plan COO
function,FN-003,Health Plan Operations,business_functions,Health Plan Operations
leader,LEADER-004,VP Quality,org_ownership,VP Quality
leader,LEADER-004,VP Quality,business_functions,VP Quality
leader,LEADER-004,VP Quality,programs_initiatives,VP Quality
function,FN-004,Quality and Provider Performance,business_functions,Quality and Provider Performance
leader,LEADER-005,CFO,org_ownership,CFO
leader,LEADER-005,CFO,business_functions,CFO
leader,LEADER-005,CFO,programs_initiatives,CFO
function,FN-005,Finance and Actuarial,business_functions,Finance and Actuarial
leader,LEADER-006,Chief Experience Officer,org_ownership,Chief Experience Officer
leader,LEADER-006,Chief Experience Officer,business_functions,Chief Experience Officer
leader,LEADER-006,Chief Experience Officer,programs_initiatives,Chief Experience Officer
function,FN-006,Contact Center and Member Experience,business_functions,Contact Center and Member Experience
leader,LEADER-007,CDIO,org_ownership,CDIO
leader,LEADER-007,CDIO,business_functions,CDIO
leader,LEADER-007,CDIO,programs_initiatives,CDIO
function,FN-007,Technology Platform and Security,business_functions,Technology Platform and Security
business_unit,BU-001,Enterprise Data and Analytics,org_ownership,Enterprise Data and Analytics
business_unit,BU-002,Clinical Operations,org_ownership,Clinical Operations
business_unit,BU-003,Health Plan Operations,org_ownership,Health Plan Operations
business_unit,BU-004,Quality and Provider Performance,org_ownership,Quality and Provider Performance
business_unit,BU-005,Finance and Actuarial,org_ownership,Finance and Actuarial
business_unit,BU-006,Contact Center and Member Experience,org_ownership,Contact Center and Member Experience
business_unit,BU-007,Technology Platform and Security,org_ownership,Technology Platform and Security
leader,LEADER-008,Clinical Platforms,org_ownership,Clinical Platforms
leader,LEADER-008,Clinical Platforms,business_functions,Clinical Platforms
leader,LEADER-008,Clinical Platforms,programs_initiatives,Clinical Platforms
application,SYS-001,Epic Hyperspace,applications_systems,Epic Hyperspace
leader,LEADER-009,Epic Analytics,org_ownership,Epic Analytics
leader,LEADER-009,Epic Analytics,business_functions,Epic Analytics
leader,LEADER-009,Epic Analytics,programs_initiatives,Epic Analytics
application,SYS-002,Epic Clarity,applications_systems,Epic Clarity
application,SYS-003,Epic Caboodle,applications_systems,Epic Caboodle
leader,LEADER-010,Enterprise Data Warehouse,org_ownership,Enterprise Data Warehouse
leader,LEADER-010,Enterprise Data Warehouse,business_functions,Enterprise Data Warehouse
leader,LEADER-010,Enterprise Data Warehouse,programs_initiatives,Enterprise Data Warehouse
application,SYS-004,On-prem SQL Server reporting marts,applications_systems,On-prem SQL Server reporting marts
leader,LEADER-011,BI and Analytics,org_ownership,BI and Analytics
leader,LEADER-011,BI and Analytics,business_functions,BI and Analytics
leader,LEADER-011,BI and Analytics,programs_initiatives,BI and Analytics
application,SYS-005,Tableau reporting estate,applications_systems,Tableau reporting estate
leader,LEADER-012,Analytics,org_ownership,Analytics
leader,LEADER-012,Analytics,business_functions,Analytics
leader,LEADER-012,Analytics,programs_initiatives,Analytics
application,SYS-006,SAS analytics estate,applications_systems,SAS analytics estate
application,SYS-007,Power BI reporting estate,applications_systems,Power BI reporting estate
leader,LEADER-013,Health Plan Operations,org_ownership,Health Plan Operations
leader,LEADER-013,Health Plan Operations,business_functions,Health Plan Operations
leader,LEADER-013,Health Plan Operations,programs_initiatives,Health Plan Operations
application,SYS-008,Claims administration platform,applications_systems,Claims administration platform
leader,LEADER-014,Pharmacy Operations,org_ownership,Pharmacy Operations
leader,LEADER-014,Pharmacy Operations,business_functions,Pharmacy Operations
leader,LEADER-014,Pharmacy Operations,programs_initiatives,Pharmacy Operations
application,SYS-009,Pharmacy claims platform,applications_systems,Pharmacy claims platform
leader,LEADER-015,Member Services,org_ownership,Member Services
leader,LEADER-015,Member Services,business_functions,Member Services
leader,LEADER-015,Member Services,programs_initiatives,Member Services
application,SYS-010,CRM / member case management,applications_systems,CRM / member case management
application,SYS-011,Contact center transcript and telephony platform,applications_systems,Contact center transcript and telephony platform
