tenant,domain,blocking_reason,blocker_class,source_evidence,proposed_repair,affected_dependent_domains,code_owner,data_owner,acceptance_test
apex-retail,business_functions,"substantively_empty_despite_row_count: 26 rows, 0 pass the substantive-row rule for business_functions",synthetic_domain_thin,"business_functions: 26 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"business_functions.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,workforce_roles,distinct_identity_count 12 below minimum 25 for this company-size band,synthetic_domain_thin,"workforce_roles: 12 distinct identities, below the 25 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"workforce_roles.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,infrastructure_platforms,zero_rows: this domain is required and has no data for this tenant,synthetic_domain_empty,infrastructure_platforms: 0 rows in the active file for this required domain.,Generate governed synthetic rows for this required domain (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"infrastructure_platforms.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,spend_value,substantive_coverage_pct 25% below minimum 60% | distinct_identity_count 8 below minimum 10 for this company-size band,synthetic_domain_thin,"spend_value: 8 distinct identities, below the 10 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"spend_value.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,ai_automation_use_cases,"substantively_empty_despite_row_count: 58 rows, 0 pass the substantive-row rule for ai_automation_use_cases",synthetic_domain_thin,"ai_automation_use_cases: 58 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"ai_automation_use_cases.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,industry_context_patterns,"substantively_empty_despite_row_count: 107 rows, 0 pass the substantive-row rule for industry_context_patterns",synthetic_domain_thin,"industry_context_patterns: 107 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"industry_context_patterns.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,expert_lenses,"substantively_empty_despite_row_count: 5 rows, 0 pass the substantive-row rule for expert_lenses",synthetic_domain_thin,"expert_lenses: 5 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"expert_lenses.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,service_scope_managed_services,zero_rows: this domain is required and has no data for this tenant,synthetic_domain_empty,service_scope_managed_services: 0 rows in the active file for this required domain.,Generate governed synthetic rows for this required domain (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"service_scope_managed_services.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,operational_process_evidence,zero_rows: this domain is required and has no data for this tenant,synthetic_domain_empty,operational_process_evidence: 0 rows in the active file for this required domain.,Generate governed synthetic rows for this required domain (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"operational_process_evidence.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,evidence_sources,source_owner coverage 0% below 50%,synthetic_domain_thin,evidence_sources: source_owner coverage 0% below 50%,Needs manual review -- no deterministic classification rule matched this blocking reason.,,n/a,governed synthetic-data enrichment (Phase D/E),"evidence_sources.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,evidence_items,"evidence_items: 63.64% of evidence items carry a bare locator/file-path as their summary, not real narrative content (>2 words)",synthetic_domain_thin,"evidence_items: 63.64% of evidence items carry a bare locator/file-path as their summary, not real narrative content (>2 words)","Populate evidence_summary with real narrative excerpts, not a bare locator (Phase F).",,n/a,governed synthetic-data enrichment (Phase F),"evidence_items.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,evidence_items,evidence_items: 13 evidence items are normalized-content duplicates of another item under the same source,synthetic_boilerplate,evidence_items: 13 evidence items are normalized-content duplicates of another item under the same source,Generate distinct evidence content per source (Phase F).,,n/a,governed synthetic-data enrichment (Phase F),"evidence_items.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
apex-retail,evidence_items,evidence_items: only 36.36% of evidence items have any dimension_keys assigned,migration_defect,evidence_items: only 36.36% of evidence items have any dimension_keys assigned,Fix in evidence-v4-migration-dry-run.mjs's item resolution/dimension-routing (Phase F).,,scripts/data-build/evidence-v4-migration-dry-run.mjs,n/a,"evidence_items.semantic_status === ""semantic_pass"" for apex-retail on Gate 2 rerun"
