tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,ai_initiative_id,use_case,business_process,tool_or_model,agent_or_copilot_name,user_group,licensed_users,active_users,adoption_metric,value_hypothesis,measured_value_usd,production_status,risk_status,model_risk_tier,data_readiness,decision_needed,scale_hold_stop
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-001,Databricks AWS clinical + claims lakehouse foundation,v4_synthetic_pack,Chief Data Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-001,Databricks AWS clinical + claims lakehouse foundation,Enterprise data,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Enterprise data,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,93000000,16740000,mobilize,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,PHI/model governance and source evidence missing,PHI/model governance and source evidence missing,hold_until_evidence_or_risk_cleared
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-002,Unified semantic layer for automation-ready data products,v4_synthetic_pack,Chief Data Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing|data_thin:scale_hold_stop_requires_adoption_value_risk_readiness,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-002,Unified semantic layer for automation-ready data products,Data governance,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Data governance,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,42000000,11340000,design,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,data quality and semantic ownership not certified,data quality and semantic ownership not certified,data_thin:scale_hold_stop_requires_adoption_value_risk_readiness
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-003,Prior authorization automation evidence cockpit,v4_synthetic_pack,Chief Health Plan Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing|data_thin:scale_hold_stop_requires_adoption_value_risk_readiness,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-003,Prior authorization automation evidence cockpit,Utilization management,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Utilization management,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,61000000,21960000,pilot,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,workflow integration not proven,workflow integration not proven,data_thin:scale_hold_stop_requires_adoption_value_risk_readiness
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-004,Call center agent assist and next-best-action,v4_synthetic_pack,Chief Customer Experience Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing|data_thin:scale_hold_stop_requires_adoption_value_risk_readiness,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-004,Call center agent assist and next-best-action,Member experience,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Member experience,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,68000000,30600000,pilot,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,value measurement needs CFO signoff,value measurement needs CFO signoff,data_thin:scale_hold_stop_requires_adoption_value_risk_readiness
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-005,HEDIS/STAR provider quality performance mart,v4_synthetic_pack,Chief Quality Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing|data_thin:scale_hold_stop_requires_adoption_value_risk_readiness,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-005,HEDIS/STAR provider quality performance mart,Clinical quality,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Clinical quality,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,52000000,9360000,build,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,PHI/model governance and source evidence missing,PHI/model governance and source evidence missing,data_thin:scale_hold_stop_requires_adoption_value_risk_readiness
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-006,Cost-of-care and margin transparency by population,v4_synthetic_pack,CFO,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-006,Cost-of-care and margin transparency by population,Finance,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Finance,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,76000000,20520000,design,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,data quality and semantic ownership not certified,data quality and semantic ownership not certified,hold_until_evidence_or_risk_cleared
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-007,Payment integrity leakage reduction analytics,v4_synthetic_pack,VP Payment Integrity,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing|data_thin:scale_hold_stop_requires_adoption_value_risk_readiness,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-007,Payment integrity leakage reduction analytics,Claims integrity,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Claims integrity,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,55000000,19800000,pilot,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,workflow integration not proven,workflow integration not proven,data_thin:scale_hold_stop_requires_adoption_value_risk_readiness
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-008,Automated close and management reporting pipelines,v4_synthetic_pack,Controller,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing|data_thin:scale_hold_stop_requires_adoption_value_risk_readiness,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-008,Automated close and management reporting pipelines,Finance operations,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Finance operations,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,31000000,13950000,mobilize,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,value measurement needs CFO signoff,value measurement needs CFO signoff,data_thin:scale_hold_stop_requires_adoption_value_risk_readiness
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-009,Ambient documentation scale with safety review,v4_synthetic_pack,Chief Medical Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing|data_thin:scale_hold_stop_requires_adoption_value_risk_readiness,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-009,Ambient documentation scale with safety review,Clinical productivity,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Clinical productivity,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,47000000,8460000,scale_gate,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,PHI/model governance and source evidence missing,PHI/model governance and source evidence missing,data_thin:scale_hold_stop_requires_adoption_value_risk_readiness
meridian-health,Meridian Health,v6.0,ai_initiative,MER-AI-010,Epic to lakehouse FHIR/HL7 modernization,v4_synthetic_pack,VP Integration,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,data_thin:tool_or_model_missing|data_thin:agent_or_copilot_name_missing|data_thin:licensed_users_missing|data_thin:active_users_missing|data_thin:adoption_metric_missing|data_thin:risk_status_missing|data_thin:model_risk_tier_missing|data_thin:scale_hold_stop_requires_adoption_value_risk_readiness,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-AI-010,Epic to lakehouse FHIR/HL7 modernization,Interoperability,data_thin:tool_or_model_missing,data_thin:agent_or_copilot_name_missing,Interoperability,data_thin:licensed_users_missing,data_thin:active_users_missing,data_thin:adoption_metric_missing,36000000,9720000,build,data_thin:risk_status_missing,data_thin:model_risk_tier_missing,data quality and semantic ownership not certified,data quality and semantic ownership not certified,data_thin:scale_hold_stop_requires_adoption_value_risk_readiness
