tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,data_asset_id,data_asset_name,data_owner,system_of_record,lineage,consumers,quality_score,governance_status
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-2,Clinical operations data product,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-DATA-001,Longitudinal patient/member gold record,Chief Data Officer,Epic EHR,Epic EHR -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,58,Certified
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-3,Revenue cycle data product,v4_synthetic_pack,Chief Health Plan Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-DATA-002,Prior authorization evidence corpus,Chief Health Plan Officer,Revenue Cycle,Revenue Cycle -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,52,Steward assigned
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-4,Care management data product,v4_synthetic_pack,Chief Customer Experience Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-DATA-003,Call center transcript and intent lake,Chief Customer Experience Officer,Care Coordination,Care Coordination -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,49,Needs lineage review
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-5,Claims intelligence data product,v4_synthetic_pack,Chief Quality Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-DATA-004,HEDIS and STAR quality mart,Chief Quality Officer,Claims Analytics,Claims Analytics -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,63,Certified
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-6,Patient access data product,v4_synthetic_pack,CFO,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-DATA-005,Cost-of-care and product margin mart,CFO,Patient Access,Patient Access -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,46,Steward assigned
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-7,Clinical data governance data product,v4_synthetic_pack,VP Payment Integrity,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-DATA-006,Payment integrity pattern library,VP Payment Integrity,Clinical Data Platform,Clinical Data Platform -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,55,Needs lineage review
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-8,Clinical operations data product,v4_synthetic_pack,Controller,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-DATA-007,Automated close semantic layer,Controller,Epic EHR,Epic EHR -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,51,Certified
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-9,Revenue cycle data product,v4_synthetic_pack,Chief Network Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-DATA-008,Provider attribution and contract economics,Chief Network Officer,Revenue Cycle,Revenue Cycle -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,57,Steward assigned
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-10,Care management data product,v4_synthetic_pack,Chief Medical Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-DATA-009,Clinical documentation AI evidence store,Chief Medical Officer,Care Coordination,Care Coordination -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,61,Needs lineage review
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-11,Claims intelligence data product,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0010,Longitudinal patient/member gold record,Chief Data Officer,Claims Analytics,Claims Analytics -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,58,Certified
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-12,Patient access data product,v4_synthetic_pack,Chief Health Plan Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0011,Prior authorization evidence corpus,Chief Health Plan Officer,Patient Access,Patient Access -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,52,Steward assigned
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-13,Clinical data governance data product,v4_synthetic_pack,Chief Customer Experience Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,13,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0012,Call center transcript and intent lake,Chief Customer Experience Officer,Clinical Data Platform,Clinical Data Platform -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,49,Needs lineage review
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-14,Clinical operations data product,v4_synthetic_pack,Chief Quality Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,14,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0013,HEDIS and STAR quality mart,Chief Quality Officer,Epic EHR,Epic EHR -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,63,Certified
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-15,Revenue cycle data product,v4_synthetic_pack,CFO,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,15,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0014,Cost-of-care and product margin mart,CFO,Revenue Cycle,Revenue Cycle -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,46,Steward assigned
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-16,Care management data product,v4_synthetic_pack,VP Payment Integrity,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,16,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0015,Payment integrity pattern library,VP Payment Integrity,Care Coordination,Care Coordination -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,55,Needs lineage review
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-17,Claims intelligence data product,v4_synthetic_pack,Controller,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,17,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0016,Automated close semantic layer,Controller,Claims Analytics,Claims Analytics -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,51,Certified
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-18,Patient access data product,v4_synthetic_pack,Chief Network Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,18,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0017,Provider attribution and contract economics,Chief Network Officer,Patient Access,Patient Access -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,57,Steward assigned
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-19,Clinical data governance data product,v4_synthetic_pack,Chief Medical Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,19,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0018,Clinical documentation AI evidence store,Chief Medical Officer,Clinical Data Platform,Clinical Data Platform -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,61,Needs lineage review
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-20,Clinical operations data product,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,20,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0019,Longitudinal patient/member gold record,Chief Data Officer,Epic EHR,Epic EHR -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,58,Certified
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-21,Revenue cycle data product,v4_synthetic_pack,Chief Health Plan Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,21,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0020,Prior authorization evidence corpus,Chief Health Plan Officer,Revenue Cycle,Revenue Cycle -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,52,Steward assigned
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-22,Care management data product,v4_synthetic_pack,Chief Customer Experience Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,22,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0021,Call center transcript and intent lake,Chief Customer Experience Officer,Care Coordination,Care Coordination -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,49,Needs lineage review
meridian-health,Healthcare Demo,v6.0,data_asset_integration,meridian-health-data_asset_integration-23,Claims intelligence data product,v4_synthetic_pack,Chief Quality Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,23,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MERIDIANHEALTH-DATA-0022,HEDIS and STAR quality mart,Chief Quality Officer,Claims Analytics,Claims Analytics -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,63,Certified
