app_id,app_name,ams_annual_usd,license_annual_usd,infra_annual_usd,total_run_usd,vendor
APX-INV-MAINFRAME,Master Inventory Mainframe,4200000,0,1800000,6000000,Kyndryl
APX-GL-MAINFRAME,General Ledger Mainframe,2800000,0,1200000,4000000,Kyndryl
APX-AS400-MERCH,Legacy Merchandising AS/400,1600000,480000,620000,2700000,Kyndryl
APX-AS400-VENDOR-COMPL,AS/400 Vendor Compliance,920000,240000,380000,1540000,Kyndryl
APX-SAP-ECC,SAP ECC 6.0 Core ERP,12000000,22000000,4600000,38600000,Wipro
APX-SAP-FI,SAP FI Financials Module,3200000,0,0,3200000,Wipro
APX-SAP-MM,SAP MM Materials Management,2400000,0,0,2400000,Wipro
APX-SAP-SD,SAP SD Sales & Distribution,1800000,0,0,1800000,Wipro
APX-SAP-CUSTOM-PROMO,SAP Custom Promotion Engine,1900000,0,0,1900000,Wipro
APX-STERLING-OMS,IBM Sterling OMS + Extensions,3800000,2800000,1100000,7700000,Wipro
APX-WMS-MANHATTAN-EXT,Manhattan WMS Extensions,2200000,1800000,940000,4940000,Wipro
APX-LEG-SUPPLIER-PORTAL,Legacy Supplier Portal,860000,180000,210000,1250000,Wipro
APX-STORE-BOH,Store Back-Office,4,Wipro,2100000,NaN,6
APX-ORACLE-LEG-AP,Oracle EBS Legacy AP,640000,1200000,380000,2220000,Wipro
APX-COMMERCE-CLOUD,Salesforce Commerce Cloud,4800000,14800000,0,19600000,Accenture-extensions
APX-COMMERCE-EINSTEIN,SF Commerce Einstein Recs,180000,0,0,180000,Accenture-extensions
APX-WORKDAY-HCM,Workday Human Capital Mgmt,1400000,18400000,0,19800000,Workday-PS
APX-SERVICENOW-ITSM,ServiceNow IT Service Mgmt,720000,3600000,0,4320000,ServiceNow-PS
APX-NCR-POS,NCR Counterpoint POS,2400000,6000000,1200000,9600000,NCR + Wipro-ext
APX-PUNCHH-LOYALTY,Punchh Loyalty Platform,0,900000,0,900000,None
APX-CDP-SEGMENT,Segment CDP,1100000,1400000,0,2500000,Salesforce-PS
APX-O9-DEMAND,o9 Solutions Demand Planning,940000,3840000,0,4780000,o9-PS
APX-DATADOG,DataDog Observability,0,1600000,0,1600000,None
APX-ORDER-ORCH,Order Orchestration Service,0,0,1400000,1400000,None
APX-PRICING-SVC,Pricing Service,0,0,640000,640000,None
APX-RETURNS-SVC,Returns Service,0,0,420000,420000,None
APX-CHECKOUT-DTC,DTC Checkout Service,0,0,310000,310000,None
APX-DTC-STOREFRONT,DTC Storefront,0,0,210000,210000,None
APX-RECS-ML,Recommendations ML Service,0,0,620000,620000,None
APX-FORECAST-AI-V2,Demand Forecasting AI v2,0,0,520000,520000,None
APX-MAINFRAME-MOD-ASSESS,Mainframe Modernization Assessment,180000,360000,81000,621000,Kyndryl
APX-MAINFRAME-CLOSE,Financial Close Batch,400000,800000,180000,1380000,Kyndryl
APX-MAINFRAME-RPT,Legacy Reporting Cube,620000,1240000,279000,2139000,Wipro
APX-AS400-ITEM,AS-400 Item Master Legacy,840000,1680000,378000,2898000,Wipro
APX-JAVA-SUPPLIER-ADAPTER,Supplier Adapter,1060000,2120000,477000,3657000,Wipro
APX-JAVA-RETURNS-LEG,Legacy Returns Adapter,1280000,2560000,576000,4416000,Accenture-extensions
APX-JAVA-ALLOC,Allocation Adapter,0,3000000,675000,3675000,None
APX-JAVA-TAX,Tax Adapter,0,3440000,774000,4214000,None
APX-JAVA-CUSTOMER,Customer Legacy Bridge,0,3880000,873000,4753000,None
APX-JAVA-GIFT,Gift Card Legacy Bridge,0,360000,81000,441000,None
APX-JAVA-FULFILL,Fulfillment Adapter,0,800000,180000,980000,None
APX-JAVA-EDI-ADAPTER,EDI Adapter,0,1240000,279000,1519000,None
APX-DOTNET-SCHED,Store Scheduling Legacy,0,1680000,378000,2058000,None
APX-DOTNET-TRAINING,Store Training Legacy,0,2120000,477000,2597000,None
APX-DOTNET-RPT,Store Reporting Legacy,1280000,2560000,576000,4416000,NCR + Wipro-ext
APX-DOTNET-LOSS,Loss Prevention Legacy,0,3000000,675000,3675000,None
APX-DOTNET-TASKS,Store Tasking Legacy,1720000,3440000,774000,5934000,Kyndryl
APX-DOTNET-INTRANET,Store Intranet Legacy,1940000,3880000,873000,6693000,Kyndryl
APX-DOTNET-KIOSKADMIN,Kiosk Admin Legacy,180000,360000,81000,621000,Wipro
APX-DOTNET-TIME,Store Time Clock Legacy,400000,800000,180000,1380000,Wipro
APX-ORACLE-GL-POCKET,Oracle GL Pocket,620000,1240000,279000,2139000,Wipro
APX-ORACLE-INTL,Oracle International Entity,840000,1680000,378000,2898000,Accenture-extensions
APX-ORACLE-TAX-LEG,Oracle Tax Legacy,0,2120000,477000,2597000,None
APX-SFCC-CART,Commerce Cart Cartridge,0,2560000,576000,3136000,None
APX-SFCC-PROMO,Commerce Promo Cartridge,0,3000000,675000,3675000,None
APX-SFCC-SEARCH,Commerce Search Cartridge,0,3440000,774000,4214000,None
APX-SFCC-PROFILE,Commerce Profile Cartridge,0,3880000,873000,4753000,None
APX-SFCC-MARKET,Marketplace Connector,0,360000,81000,441000,None
APX-SFCC-CONTENT,Commerce Content Cartridge,0,800000,180000,980000,None
APX-OKTA,Okta Identity,0,1240000,279000,1519000,None
APX-M365,Microsoft 365 E5,840000,1680000,378000,2898000,NCR + Wipro-ext
APX-ADOBE,Adobe Experience Cloud,0,2120000,477000,2597000,None
APX-COUPA,Coupa Spend,1280000,2560000,576000,4416000,Kyndryl
APX-ARIBA,SAP Ariba,1500000,3000000,675000,5175000,Kyndryl
APX-BLUEYONDER,Blue Yonder Pricing,1720000,3440000,774000,5934000,Wipro
APX-CROWDSTRIKE,CrowdStrike MDR,1940000,3880000,873000,6693000,Wipro
