vendor,renewal_date,annual_usd,leverage_flag,recommended_action
Wipro,2027-03-31,32000000,next_12mo_or_priority,prepare Q1 2027 renegotiation
SAP,2030-12-31,22000000,later,baseline renewal posture
AWS,2027-09-30,18400000,later,baseline renewal posture
Workday,2027-06-30,18400000,later,baseline renewal posture
Salesforce,2027-12-31,14800000,later,baseline renewal posture
Kyndryl,2028-03-31,14000000,later,baseline renewal posture
TCS,2027-06-30,14000000,later,baseline renewal posture
NCR,2026-12-31,6000000,next_12mo_or_priority,baseline renewal posture
Accenture,2027-05-31,4800000,later,baseline renewal posture
Adobe,2026-09-30,4200000,next_12mo_or_priority,baseline renewal posture
o9 Solutions,2027-02-28,3840000,next_12mo_or_priority,baseline renewal posture
ServiceNow,2027-08-31,3600000,later,baseline renewal posture
Cisco,2027-01-31,3200000,next_12mo_or_priority,baseline renewal posture
Deloitte,2027-04-30,3000000,later,baseline renewal posture
IBM Sterling OMS,2027-02-28,2800000,next_12mo_or_priority,baseline renewal posture
Verizon,2027-06-30,2600000,later,baseline renewal posture
Splunk,2027-07-31,2400000,later,baseline renewal posture
UKG,2027-11-30,2100000,later,baseline renewal posture
Manhattan,2027-05-31,1800000,later,baseline renewal posture
ADP,2027-08-31,1800000,later,baseline renewal posture
Equinix,2027-10-31,1800000,later,baseline renewal posture
SAP Ariba,2027-09-30,1600000,later,baseline renewal posture
DataDog,2027-04-30,1600000,later,baseline renewal posture
Segment,2026-11-30,1400000,next_12mo_or_priority,baseline renewal posture
Cornerstone,2027-03-31,1400000,next_12mo_or_priority,baseline renewal posture
CrowdStrike,2026-06-30,1200000,next_12mo_or_priority,baseline renewal posture
Coupa,2027-02-28,1200000,next_12mo_or_priority,baseline renewal posture
Punchh,2026-10-31,900000,next_12mo_or_priority,hold renewal pending kill decision
Looker,2027-07-31,720000,later,baseline renewal posture
Pythian,2027-01-31,720000,next_12mo_or_priority,baseline renewal posture
Algolia,2027-03-31,600000,next_12mo_or_priority,baseline renewal posture
Fivetran,2027-05-31,480000,later,baseline renewal posture
Vertex,2026-08-31,480000,next_12mo_or_priority,baseline renewal posture
Commvault,2027-10-31,480000,later,baseline renewal posture
Mimecast,2027-04-30,420000,later,baseline renewal posture
dbt Cloud,2027-06-30,360000,later,baseline renewal posture
Avalara,2027-09-30,360000,later,baseline renewal posture
Microsoft Premier,2027-07-31,360000,later,baseline renewal posture
LaunchDarkly,2027-01-31,240000,next_12mo_or_priority,baseline renewal posture
Cursor,2026-07-31,120000,next_12mo_or_priority,baseline renewal posture
GitHub,2027-05-31,780000,later,baseline renewal posture
Anthropic,2027-05-31,480000,later,baseline renewal posture
Okta,2027-08-31,2400000,later,baseline renewal posture
Blue Yonder,2027-02-28,2160000,next_12mo_or_priority,baseline renewal posture
Stibo,2027-12-31,900000,later,baseline renewal posture
