truth_id,parser_visible_source_id,parser_visible_native_id,object_type,support_type,expected_reconstruction
TRUTH-AIRDN-00001,CONT-AIRDN-0002,APP-AIRDN-0001,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00002,CONT-AIRDN-0003,APP-AIRDN-0002,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00003,CONT-AIRDN-0004,APP-AIRDN-0003,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00004,CONT-AIRDN-0005,APP-AIRDN-0004,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00005,CONT-AIRDN-0006,APP-AIRDN-0005,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00006,CONT-AIRDN-0007,APP-AIRDN-0006,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00007,CONT-AIRDN-0008,APP-AIRDN-0007,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00008,CONT-AIRDN-0009,APP-AIRDN-0008,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00009,CONT-AIRDN-0010,APP-AIRDN-0009,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00010,CONT-AIRDN-0011,APP-AIRDN-0010,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00011,CONT-AIRDN-0012,APP-AIRDN-0011,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00011,CORROBORATING-CONT-AIRDN-0012,APP-AIRDN-0011,application,corroborating,multi_source_reconstructable
TRUTH-AIRDN-00012,CONT-AIRDN-0013,APP-AIRDN-0012,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00013,CONT-AIRDN-0014,APP-AIRDN-0013,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00014,CONT-AIRDN-0015,APP-AIRDN-0014,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00015,CONT-AIRDN-0016,APP-AIRDN-0015,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00016,CONT-AIRDN-0017,APP-AIRDN-0016,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00017,CONT-AIRDN-0018,APP-AIRDN-0017,application,ambiguous,reconstructable_from_visible_source
TRUTH-AIRDN-00018,CONT-AIRDN-0019,APP-AIRDN-0018,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00019,CONT-AIRDN-0020,APP-AIRDN-0019,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00020,CONT-AIRDN-0021,APP-AIRDN-0020,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00021,CONT-AIRDN-0022,APP-AIRDN-0021,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00022,CONT-AIRDN-0023,APP-AIRDN-0022,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00022,CORROBORATING-CONT-AIRDN-0023,APP-AIRDN-0022,application,corroborating,multi_source_reconstructable
TRUTH-AIRDN-00023,CONT-AIRDN-0024,APP-AIRDN-0023,application,conflicting,reconstructable_from_visible_source
TRUTH-AIRDN-00024,CONT-AIRDN-0025,APP-AIRDN-0024,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00025,CONT-AIRDN-0026,APP-AIRDN-0025,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00026,CONT-AIRDN-0027,APP-AIRDN-0026,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00027,CONT-AIRDN-0028,APP-AIRDN-0027,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00028,CONT-AIRDN-0029,APP-AIRDN-0028,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00029,CONT-AIRDN-0030,APP-AIRDN-0029,application,supported,not_reconstructable_without_interview
TRUTH-AIRDN-00030,CONT-AIRDN-0031,APP-AIRDN-0030,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00031,CONT-AIRDN-0032,APP-AIRDN-0031,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00032,CONT-AIRDN-0033,APP-AIRDN-0032,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00033,CONT-AIRDN-0034,APP-AIRDN-0033,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00033,CORROBORATING-CONT-AIRDN-0034,APP-AIRDN-0033,application,corroborating,multi_source_reconstructable
TRUTH-AIRDN-00034,CONT-AIRDN-0035,APP-AIRDN-0034,application,ambiguous,reconstructable_from_visible_source
TRUTH-AIRDN-00035,CONT-AIRDN-0036,APP-AIRDN-0035,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00036,CONT-AIRDN-0037,APP-AIRDN-0036,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00037,CONT-AIRDN-0038,APP-AIRDN-0037,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00038,CONT-AIRDN-0039,APP-AIRDN-0038,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00039,CONT-AIRDN-0040,APP-AIRDN-0039,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00040,CONT-AIRDN-0041,APP-AIRDN-0040,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00041,CONT-AIRDN-0042,APP-AIRDN-0041,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00042,CONT-AIRDN-0043,APP-AIRDN-0042,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00043,CONT-AIRDN-0044,APP-AIRDN-0043,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00044,CONT-AIRDN-0045,APP-AIRDN-0044,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00044,CORROBORATING-CONT-AIRDN-0045,APP-AIRDN-0044,application,corroborating,multi_source_reconstructable
TRUTH-AIRDN-00045,CONT-AIRDN-0046,APP-AIRDN-0045,application,supported,reconstructable_from_visible_source
TRUTH-AIRDN-00046,DATA-AIRDN-0001,DATA-AIRDN-0001,data_product,conflicting,reconstructable_from_visible_source
