canonical_id,canonical_type,tenant_key,contract_id,output_name,output_value_numeric,inclusion_state,review_state
OP-MER-CTR-RCM-001-RECOVERABLE-AP-VARIANCE,calculation_output,meridian-health,MER-CTR-RCM-001,recoverable_ap_variance,42625,included,accepted
OP-MER-CTR-RCM-001-EARNED-SLA-CREDIT,calculation_output,meridian-health,MER-CTR-RCM-001,earned_sla_credit,25833.32,included,accepted
OP-MER-CTR-RCM-001-FINANCE-CONFIRMED-VALUE,calculation_output,meridian-health,MER-CTR-RCM-001,finance_confirmed_value,420000,included,accepted
OP-MER-CTR-RCM-001-FORECAST-VALUE,calculation_output,meridian-health,MER-CTR-RCM-001,forecast_value,488458.32,included,accepted
OP-MER-CTR-HR-BPO-001-RECOVERABLE-AP-VARIANCE,calculation_output,meridian-health,MER-CTR-HR-BPO-001,recoverable_ap_variance,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-HR-BPO-001-EARNED-SLA-CREDIT,calculation_output,meridian-health,MER-CTR-HR-BPO-001,earned_sla_credit,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-HR-BPO-001-FINANCE-CONFIRMED-VALUE,calculation_output,meridian-health,MER-CTR-HR-BPO-001,finance_confirmed_value,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-HR-BPO-001-FORECAST-VALUE,calculation_output,meridian-health,MER-CTR-HR-BPO-001,forecast_value,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-FIN-BPO-001-RECOVERABLE-AP-VARIANCE,calculation_output,meridian-health,MER-CTR-FIN-BPO-001,recoverable_ap_variance,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-FIN-BPO-001-EARNED-SLA-CREDIT,calculation_output,meridian-health,MER-CTR-FIN-BPO-001,earned_sla_credit,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-FIN-BPO-001-FINANCE-CONFIRMED-VALUE,calculation_output,meridian-health,MER-CTR-FIN-BPO-001,finance_confirmed_value,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-FIN-BPO-001-FORECAST-VALUE,calculation_output,meridian-health,MER-CTR-FIN-BPO-001,forecast_value,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-SC-BPO-001-RECOVERABLE-AP-VARIANCE,calculation_output,meridian-health,MER-CTR-SC-BPO-001,recoverable_ap_variance,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-SC-BPO-001-EARNED-SLA-CREDIT,calculation_output,meridian-health,MER-CTR-SC-BPO-001,earned_sla_credit,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-SC-BPO-001-FINANCE-CONFIRMED-VALUE,calculation_output,meridian-health,MER-CTR-SC-BPO-001,finance_confirmed_value,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-SC-BPO-001-FORECAST-VALUE,calculation_output,meridian-health,MER-CTR-SC-BPO-001,forecast_value,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-SSO-BPO-001-RECOVERABLE-AP-VARIANCE,calculation_output,meridian-health,MER-CTR-SSO-BPO-001,recoverable_ap_variance,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-SSO-BPO-001-EARNED-SLA-CREDIT,calculation_output,meridian-health,MER-CTR-SSO-BPO-001,earned_sla_credit,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-SSO-BPO-001-FINANCE-CONFIRMED-VALUE,calculation_output,meridian-health,MER-CTR-SSO-BPO-001,finance_confirmed_value,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
OP-MER-CTR-SSO-BPO-001-FORECAST-VALUE,calculation_output,meridian-health,MER-CTR-SSO-BPO-001,forecast_value,0,blocked_by_unresolved_conflict,blocked_by_fact_conflict
