capability_id,capability_name,owning_function_id,value_stream,ai_maturity,business_criticality,description
APX-CAP-001,Store selling and clienteling,APX-BF-001,Sell product,1,critical,Store selling and clienteling capability for a $50B omnichannel retailer.
APX-CAP-002,POS checkout and payments,APX-BF-002,Fulfill order,2,critical,POS checkout and payments capability for a $50B omnichannel retailer.
APX-CAP-003,Omnichannel order management,APX-BF-003,Grow customer,3,critical,Omnichannel order management capability for a $50B omnichannel retailer.
APX-CAP-004,Inventory availability and ATP,APX-BF-004,Run enterprise,4,critical,Inventory availability and ATP capability for a $50B omnichannel retailer.
APX-CAP-005,Demand forecasting and replenishment,APX-BF-005,Sell product,5,critical,Demand forecasting and replenishment capability for a $50B omnichannel retailer.
APX-CAP-006,Merchandise planning and allocation,APX-BF-006,Fulfill order,1,critical,Merchandise planning and allocation capability for a $50B omnichannel retailer.
APX-CAP-007,Pricing and markdown optimization,APX-BF-007,Grow customer,2,critical,Pricing and markdown optimization capability for a $50B omnichannel retailer.
APX-CAP-008,Loyalty personalization,APX-BF-008,Run enterprise,3,critical,Loyalty personalization capability for a $50B omnichannel retailer.
APX-CAP-009,Retail media activation,APX-BF-009,Sell product,4,high,Retail media activation capability for a $50B omnichannel retailer.
APX-CAP-010,Supply chain visibility,APX-BF-010,Fulfill order,5,high,Supply chain visibility capability for a $50B omnichannel retailer.
APX-CAP-011,Labor scheduling,APX-BF-011,Grow customer,1,high,Labor scheduling capability for a $50B omnichannel retailer.
APX-CAP-012,Shrink and fraud prevention,APX-BF-012,Run enterprise,2,high,Shrink and fraud prevention capability for a $50B omnichannel retailer.
APX-CAP-013,Returns and reverse logistics,APX-BF-001,Sell product,3,high,Returns and reverse logistics capability for a $50B omnichannel retailer.
APX-CAP-014,Customer service and contact center,APX-BF-002,Fulfill order,4,high,Customer service and contact center capability for a $50B omnichannel retailer.
