tenantKey,path,matchType,artifactFamily,layer,eligibility,recommendedAction,reason,sizeBytes,sha256
meridian-health,datasets/tenant-inputs/active/meridian-health/current/00_enterprise_profile.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,2785,fe87be92ac7f08b05c700cc2129fe5bffddb40ed8fe0b3710055dfc14656f677
meridian-health,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,228296,9738f285fe0c99c4241a2ca7f682649e313e7a06573137861a6a17c777f1168e
meridian-health,datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,226051,fc7548ad655928b32c272ae4679b2b535510e9af546562ecbd7265d894b98cf9
meridian-health,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,314241,c3a64ab3d2c030bd07741aab0fabbdd9b331e6e3135e3f47e8c6af4e274d1f76
meridian-health,datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,236275,df1a3b53e5f652fff6ae62389fa32a46a1916cd2ad4f02449243096820d03996
meridian-health,datasets/tenant-inputs/active/meridian-health/current/05_data_assets_integrations.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,276315,95d0cca5ec09cbf4df86f6526eb772a6ede94907690d59d0ff8567a283fb6752
meridian-health,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,7710,2dabafed9eafb477033d3c46f7641846125179ee4df1f33aca9626b79abc0652
meridian-health,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,232284,75efa51e1f3796206bcd98e5bec99fc852f057b2902bae76e72c2d1957f128a8
meridian-health,datasets/tenant-inputs/active/meridian-health/current/08_it_budget_spend_value.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,373636,e30ede2647d29cc68bfd3dd53a89b9bcd063eb5ec6aa617cb07448c39686dedf
meridian-health,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,path,active-canonical-dimension-candidate,L3-canonical-candidate,current-active-candidate,reconcile-and-regenerate-into-new-governed-package,File is under the registry-declared active root and appears to be one of the canonical dimensions.,357409,88c8d3462875b6d27091f200f1e1b1cc8cde1c9bede1be50d0cf7cb853145929
