asset_id,asset_name,hosting_model,platform,region_or_datacenter,annual_cost_usd,resilience_tier,owner_team,modernization_note
MER-INF-001,Primary on-prem clinical datacenter,on_prem_or_hybrid,VMware/Linux,US-East-1,2800000,tier_1,Office of CDIO,Current dependency and migration constraint
MER-INF-002,Secondary DR datacenter,on_prem_or_hybrid,AIX/Oracle,Central DC,3925000,tier_1,Epic and Clinical Systems,Current dependency and migration constraint
MER-INF-003,AWS landing zone,on_prem_or_hybrid,AWS VPC,Western DR,5050000,tier_1,Health Plan Core and Claims Platforms,Must publish evidence to context layer
MER-INF-004,AWS Databricks workspace,aws_or_migration_target,Databricks on AWS,US-East-1,6175000,tier_1,Data Platform Migration Office,Target platform for clinical plus claims lakehouse
MER-INF-005,PrivateLink integration VPC,aws_or_migration_target,MuleSoft,Central DC,7300000,tier_1,Integration and Interoperability,Must publish evidence to context layer
MER-INF-006,Epic BLOB/image archive,aws_or_migration_target,NetApp,Western DR,8425000,tier_1,Contact Center and CRM Platforms,Must publish evidence to context layer
MER-INF-007,Oracle Exadata cluster,aws_or_migration_target,Oracle Exadata,US-East-1,9550000,tier_1,"Finance, ERP and Reporting",Must publish evidence to context layer
MER-INF-008,Hadoop raw-data cluster,aws_or_migration_target,Hadoop,Central DC,10675000,tier_1,"Security, Privacy and Resilience",Must publish evidence to context layer
MER-INF-009,Splunk Cloud ingest,managed_saas,Splunk,Western DR,11800000,tier_2,Cloud and Infrastructure,Must publish evidence to context layer
MER-INF-010,Genesys Cloud connectivity,managed_saas,Genesys Cloud,US-East-1,12925000,tier_2,ServiceNow and IT Operations,Must publish evidence to context layer
MER-INF-011,FHIR API gateway,managed_saas,API Gateway,Central DC,14050000,tier_2,AI Governance and Automation Office,Must publish evidence to context layer
MER-INF-012,Enterprise VPN/SDWAN,managed_saas,Cisco SDWAN,Western DR,15175000,tier_2,Developer Experience and DevSecOps,Must publish evidence to context layer
