initiative_id,milestone_id,milestone_name,due_date,status,blocker_or_condition
FC-AI-001,FC-AI-001-MS-1,charter_approved,2026-07-13,complete,
FC-AI-001,FC-AI-001-MS-2,data_ready,2026-08-09,complete,
FC-AI-002,FC-AI-002-MS-1,charter_approved,2026-07-05,complete,
FC-AI-002,FC-AI-002-MS-2,data_ready,2026-08-13,complete,
FC-AI-003,FC-AI-003-MS-1,charter_approved,2026-07-03,complete,
FC-AI-003,FC-AI-003-MS-2,data_ready,2026-08-07,complete,
FC-AI-004,FC-AI-004-MS-1,charter_approved,2026-07-27,complete,
FC-AI-004,FC-AI-004-MS-2,data_ready,2026-08-24,complete,
FC-AI-005,FC-AI-005-MS-1,charter_approved,2026-07-02,complete,
FC-AI-005,FC-AI-005-MS-2,data_ready,2026-08-22,complete,
FC-AI-006,FC-AI-006-MS-1,charter_approved,2026-07-02,complete,
FC-AI-006,FC-AI-006-MS-2,data_ready,2026-08-16,complete,
FC-AI-007,FC-AI-007-MS-1,charter_approved,2026-07-21,complete,
FC-AI-007,FC-AI-007-MS-2,data_ready,2026-08-03,complete,
FC-AI-007,FC-AI-007-MS-3,model_validated,2026-09-19,complete,
FC-AI-008,FC-AI-008-MS-1,charter_approved,2026-07-20,complete,
FC-AI-008,FC-AI-008-MS-2,data_ready,2026-08-03,complete,
FC-AI-008,FC-AI-008-MS-3,model_validated,2026-09-01,complete,
FC-AI-009,FC-AI-009-MS-1,charter_approved,2026-07-06,complete,
FC-AI-009,FC-AI-009-MS-2,data_ready,2026-08-22,complete,
FC-AI-009,FC-AI-009-MS-3,model_validated,2026-09-04,complete,
FC-AI-009,FC-AI-009-MS-4,pilot_live,2026-10-12,at_risk,Awaiting model-risk validation and source evidence gate
FC-AI-009,FC-AI-009-MS-5,scale_gate,2026-11-23,planned,Awaiting model-risk validation and source evidence gate
FC-AI-010,FC-AI-010-MS-1,charter_approved,2026-07-13,complete,
FC-AI-010,FC-AI-010-MS-2,data_ready,2026-08-22,complete,
FC-AI-010,FC-AI-010-MS-3,model_validated,2026-09-20,complete,
FC-AI-010,FC-AI-010-MS-4,pilot_live,2026-10-27,cancelled,No measurable value after pilot; sunset and reallocate budget
FC-AI-011,FC-AI-011-MS-1,charter_approved,2026-07-15,complete,
FC-AI-011,FC-AI-011-MS-2,data_ready,2026-08-03,complete,
FC-AI-011,FC-AI-011-MS-3,model_validated,2026-09-01,complete,
FC-AI-011,FC-AI-011-MS-4,pilot_live,2026-10-01,planned,Awaiting model-risk validation and source evidence gate
FC-AI-012,FC-AI-012-MS-1,charter_approved,2026-07-28,complete,
