agent_id,agent_name,business_process,work_items_resolved,deflection_pct,exception_rate_pct,human_escalation_pct,approval_status,risk_note
FC-AGENT-001,Real-time scam & APP fraud detection agent/workflow,Financial Crimes,55051,33,10.4,18.0,restricted,No measurable value after pilot; sunset and reallocate budget
FC-AGENT-002,AML alert triage & false-positive reduction agent/workflow,Financial Crimes,6257,40,3.5,10.3,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-003,SAR narrative drafting copilot agent/workflow,Financial Crimes,79270,29,4.5,25.1,approved_scale,Within governance threshold; expand under monitored rollout
FC-AGENT-004,Contact center next-best-action assist agent/workflow,Customer Care,22622,34,9.0,14.3,approved_pilot,Scope too broad; re-baseline against a single high-value workflow
FC-AGENT-005,Commercial credit spreading automation agent/workflow,Commercial Banking,16727,26,6.9,13.0,approved_scale,Within governance threshold; expand under monitored rollout
FC-AGENT-006,Customer 360 lakehouse foundation agent/workflow,"Data, Analytics & AI",35717,25,7.2,25.5,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-007,Certified semantic layer for KPIs agent/workflow,"Data, Analytics & AI",66987,41,10.8,15.6,approved_pilot,Reported automation not reproducible in evidence; reclassify
FC-AGENT-008,Engineering code-assist productivity agent/workflow,Technology,46955,47,3.0,12.6,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-009,Regulatory close & reconciliation automation agent/workflow,Finance,80628,14,2.8,10.5,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-010,Cards dispute & chargeback automation agent/workflow,Cards & Payments,36004,38,7.2,19.7,restricted,No measurable value after pilot; sunset and reallocate budget
FC-AGENT-011,Wealth advisor proposal generation agent/workflow,Wealth Management,33074,8,4.5,9.0,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-012,Payments exception repair automation agent/workflow,Operations,64590,9,8.3,22.5,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-013,Credit risk model SR 11-7 evidence automation agent/workflow,Risk,42532,32,11.0,9.5,approved_pilot,Scope too broad; re-baseline against a single high-value workflow
FC-AGENT-014,KYC refresh & onboarding intelligence agent/workflow,Financial Crimes,2565,10,8.0,23.0,approved_scale,Within governance threshold; expand under monitored rollout
FC-AGENT-015,Collections prioritization optimization agent/workflow,Operations,39626,48,9.4,29.6,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-016,Branch banker knowledge assist agent/workflow,Consumer Banking,23834,22,7.2,22.0,approved_pilot,Reported automation not reproducible in evidence; reclassify
FC-AGENT-017,Marketing personalization & retention agent/workflow,Consumer Banking,86687,14,2.9,8.0,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-018,Treasury liquidity forecasting agent/workflow,Treasury,71177,16,4.4,9.9,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-019,Complaint & fair-lending surveillance NLP agent/workflow,Compliance,57583,40,9.7,28.1,restricted,No measurable value after pilot; sunset and reallocate budget
FC-AGENT-020,Mainframe code modernization assist agent/workflow,Technology,77374,27,3.1,18.6,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-021,Document intelligence for commercial onboarding agent/workflow,Commercial Banking,46582,44,8.9,19.3,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-022,Sanctions screening tuning agent/workflow,Financial Crimes,17190,44,9.4,18.3,approved_pilot,Scope too broad; re-baseline against a single high-value workflow
FC-AGENT-023,Statement & disclosure generation copilot agent/workflow,Operations,43891,9,10.9,27.7,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-024,Card rewards personalization agent/workflow,Cards & Payments,85203,11,3.4,13.1,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-025,Voice biometrics authentication agent/workflow,Customer Care,15133,10,5.1,9.2,approved_pilot,Reported automation not reproducible in evidence; reclassify
FC-AGENT-026,Trade surveillance anomaly detection agent/workflow,Treasury & Capital Markets,62521,35,10.1,8.8,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-027,Loan servicing virtual agent agent/workflow,Operations,72927,31,10.0,13.9,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-028,ESG & climate risk data automation agent/workflow,Risk,57200,34,5.7,28.0,restricted,No measurable value after pilot; sunset and reallocate budget
FC-AGENT-029,Enterprise search over policy & procedures agent/workflow,Compliance,80850,7,6.8,21.0,approved_pilot,Awaiting model-risk validation and source evidence gate
FC-AGENT-030,Deposit pricing optimization agent/workflow,Consumer Banking,66968,23,6.9,28.2,approved_scale,Within governance threshold; expand under monitored rollout
FC-AGENT-031,Synthetic data for model development agent/workflow,"Data, Analytics & AI",81684,45,2.8,22.6,approved_pilot,Scope too broad; re-baseline against a single high-value workflow
FC-AGENT-032,Wire fraud interdiction agent/workflow,Financial Crimes,24453,44,10.9,29.9,approved_scale,Within governance threshold; expand under monitored rollout
FC-AGENT-033,Mortgage underwriting decision support agent/workflow,Consumer Banking,7854,8,6.2,20.7,approved_scale,Within governance threshold; expand under monitored rollout
FC-AGENT-034,Vendor contract intelligence agent/workflow,Finance,68895,27,5.7,17.8,approved_pilot,Reported automation not reproducible in evidence; reclassify
