initiative_id,metric_basis,promised_benefit_usd,measured_value_usd,unrealized_or_blocked_value_usd,confidence,evidence_status
FC-AI-001,projected:cost_takeout,47000000,0,47000000,low,review_required
FC-AI-001,observed:cycle_time,47000000,0,47000000,low,review_required
FC-AI-001,validated:loss_avoidance,47000000,0,47000000,medium,review_required
FC-AI-002,projected:cost_takeout,12000000,0,12000000,high,review_required
FC-AI-002,observed:cycle_time,12000000,0,12000000,high,source_backed
FC-AI-002,validated:loss_avoidance,12000000,0,12000000,high,source_backed
FC-AI-003,projected:cost_takeout,38000000,0,38000000,high,review_required
FC-AI-003,observed:cycle_time,38000000,0,38000000,high,source_backed
FC-AI-003,validated:loss_avoidance,38000000,0,38000000,high,source_backed
FC-AI-004,projected:cost_takeout,41000000,0,41000000,medium,review_required
FC-AI-004,observed:cycle_time,41000000,0,41000000,medium,review_required
FC-AI-004,validated:loss_avoidance,41000000,0,41000000,medium,review_required
FC-AI-005,projected:cost_takeout,27000000,0,27000000,high,review_required
FC-AI-005,observed:cycle_time,27000000,0,27000000,high,source_backed
FC-AI-005,validated:loss_avoidance,27000000,0,27000000,high,source_backed
FC-AI-006,projected:cost_takeout,30000000,0,30000000,high,review_required
FC-AI-006,observed:cycle_time,30000000,0,30000000,high,source_backed
FC-AI-006,validated:loss_avoidance,30000000,0,30000000,high,source_backed
FC-AI-007,projected:cost_takeout,17000000,0,17000000,medium,review_required
FC-AI-007,observed:cycle_time,17000000,96687,16903313,medium,review_required
FC-AI-007,validated:loss_avoidance,17000000,58012,16941988,medium,review_required
FC-AI-008,projected:cost_takeout,37000000,0,37000000,medium,review_required
FC-AI-008,observed:cycle_time,37000000,1208161,35791839,medium,review_required
FC-AI-008,validated:loss_avoidance,37000000,724897,36275103,medium,review_required
FC-AI-009,projected:cost_takeout,11000000,0,11000000,high,review_required
FC-AI-009,observed:cycle_time,11000000,416844,10583156,high,source_backed
FC-AI-009,validated:loss_avoidance,11000000,416844,10583156,high,source_backed
FC-AI-010,projected:cost_takeout,26000000,0,26000000,low,review_required
FC-AI-010,observed:cycle_time,26000000,166217,25833783,low,review_required
FC-AI-010,validated:loss_avoidance,26000000,99730,25900270,medium,review_required
FC-AI-011,projected:cost_takeout,43000000,0,43000000,medium,review_required
FC-AI-011,observed:cycle_time,43000000,2158702,40841298,medium,review_required
FC-AI-011,validated:loss_avoidance,43000000,1295221,41704779,medium,review_required
FC-AI-012,projected:cost_takeout,14000000,0,14000000,medium,review_required
FC-AI-012,observed:cycle_time,14000000,500324,13499676,medium,review_required
FC-AI-012,validated:loss_avoidance,14000000,300194,13699806,medium,review_required
FC-AI-013,projected:cost_takeout,44000000,0,44000000,medium,review_required
FC-AI-013,observed:cycle_time,44000000,1841337,42158663,medium,review_required
FC-AI-013,validated:loss_avoidance,44000000,1104802,42895198,medium,review_required
FC-AI-014,projected:cost_takeout,34000000,0,34000000,high,review_required
FC-AI-014,observed:cycle_time,34000000,3637080,30362920,high,source_backed
FC-AI-014,validated:loss_avoidance,34000000,3637080,30362920,high,source_backed
FC-AI-015,projected:cost_takeout,18000000,0,18000000,medium,review_required
FC-AI-015,observed:cycle_time,18000000,2126838,15873162,medium,review_required
FC-AI-015,validated:loss_avoidance,18000000,1276103,16723897,medium,review_required
FC-AI-016,projected:cost_takeout,21000000,0,21000000,medium,review_required
FC-AI-016,observed:cycle_time,21000000,428036,20571964,medium,review_required
FC-AI-016,validated:loss_avoidance,21000000,256822,20743178,medium,review_required
FC-AI-017,projected:cost_takeout,30000000,0,30000000,medium,review_required
FC-AI-017,observed:cycle_time,30000000,3321334,26678666,medium,review_required
FC-AI-017,validated:loss_avoidance,30000000,1992800,28007200,medium,review_required
FC-AI-018,projected:cost_takeout,43000000,0,43000000,medium,review_required
FC-AI-018,observed:cycle_time,43000000,5952785,37047215,medium,review_required
FC-AI-018,validated:loss_avoidance,43000000,3571671,39428329,medium,review_required
FC-AI-019,projected:cost_takeout,20000000,0,20000000,low,review_required
FC-AI-019,observed:cycle_time,20000000,449702,19550298,low,review_required
FC-AI-019,validated:loss_avoidance,20000000,269821,19730179,medium,review_required
FC-AI-020,projected:cost_takeout,23000000,0,23000000,medium,review_required
FC-AI-020,observed:cycle_time,23000000,2725054,20274946,medium,review_required
FC-AI-020,validated:loss_avoidance,23000000,1635032,21364968,medium,review_required
FC-AI-021,projected:cost_takeout,43000000,0,43000000,high,review_required
FC-AI-021,observed:cycle_time,43000000,4737000,38263000,high,source_backed
FC-AI-021,validated:loss_avoidance,43000000,4737000,38263000,high,source_backed
FC-AI-022,projected:cost_takeout,41000000,0,41000000,medium,review_required
FC-AI-022,observed:cycle_time,41000000,9951623,31048377,medium,review_required
FC-AI-022,validated:loss_avoidance,41000000,5970974,35029026,medium,review_required
FC-AI-023,projected:cost_takeout,45000000,0,45000000,medium,review_required
FC-AI-023,observed:cycle_time,45000000,12287491,32712509,medium,review_required
FC-AI-023,validated:loss_avoidance,45000000,7372495,37627505,medium,review_required
FC-AI-024,projected:cost_takeout,25000000,0,25000000,medium,review_required
FC-AI-024,observed:cycle_time,25000000,5327800,19672200,medium,review_required
FC-AI-024,validated:loss_avoidance,25000000,3196680,21803320,medium,review_required
FC-AI-025,projected:cost_takeout,41000000,0,41000000,medium,review_required
FC-AI-025,observed:cycle_time,41000000,1714160,39285840,medium,review_required
FC-AI-025,validated:loss_avoidance,41000000,1028496,39971504,medium,review_required
FC-AI-026,projected:cost_takeout,21000000,0,21000000,medium,review_required
