evidence_item_id,initiative_id,source_file,source_locator,source_timestamp,review_state,confidence
FC-AI-001-EV-1,FC-AI-001,source-docs/Real_time_scam_APP_fraud_detection_Evidence_SYNTHETIC.md,section 5.4,2026-06-17,review_required,0.56
FC-AI-002-EV-1,FC-AI-002,source-docs/AML_alert_triage_false_positive_reduction_Evidence_SYNTHETIC.md,section 4.2,2026-06-06,approved,0.84
FC-AI-003-EV-1,FC-AI-003,source-docs/SAR_narrative_drafting_copilot_Evidence_SYNTHETIC.md,section 4.1,2026-06-03,approved,0.86
FC-AI-004-EV-1,FC-AI-004,source-docs/Contact_center_next_best_action_assist_Evidence_SYNTHETIC.md,section 1.3,2026-06-02,review_required,0.70
FC-AI-005-EV-1,FC-AI-005,source-docs/Commercial_credit_spreading_automation_Evidence_SYNTHETIC.md,section 5.3,2026-06-10,approved,0.85
FC-AI-006-EV-1,FC-AI-006,source-docs/Customer_360_lakehouse_foundation_Evidence_SYNTHETIC.md,section 1.4,2026-06-11,approved,0.78
FC-AI-007-EV-1,FC-AI-007,source-docs/Certified_semantic_layer_for_KPIs_Evidence_SYNTHETIC.md,section 2.3,2026-06-05,review_required,0.59
FC-AI-008-EV-1,FC-AI-008,source-docs/Engineering_code_assist_productivity_Evidence_SYNTHETIC.md,section 3.2,2026-06-11,review_required,0.83
FC-AI-009-EV-1,FC-AI-009,source-docs/Regulatory_close_reconciliation_automation_Evidence_SYNTHETIC.md,section 2.4,2026-06-04,approved,0.66
FC-AI-010-EV-1,FC-AI-010,source-docs/Cards_dispute_chargeback_automation_Evidence_SYNTHETIC.md,section 2.4,2026-06-12,review_required,0.91
FC-AI-011-EV-1,FC-AI-011,source-docs/Wealth_advisor_proposal_generation_Evidence_SYNTHETIC.md,section 5.3,2026-06-05,review_required,0.78
FC-AI-012-EV-1,FC-AI-012,source-docs/Payments_exception_repair_automation_Evidence_SYNTHETIC.md,section 5.4,2026-06-11,review_required,0.78
