persona_id,persona_name,baseline_cycle_time_minutes,current_cycle_time_minutes,quality_metric,quality_before_pct,quality_after_pct,confidence
FC-PER-001,Branch banker / relationship manager,68,43,sar_quality,82,87,medium
FC-PER-002,Contact center agent,49,37,first_pass_resolution,84,92,high
FC-PER-003,Commercial lending officer,37,27,sar_quality,80,88,medium
FC-PER-004,Credit underwriter,58,37,audit_accuracy,80,89,medium
FC-PER-005,Fraud analyst,52,39,sar_quality,80,89,medium
FC-PER-006,AML investigator,25,20,audit_accuracy,79,85,high
FC-PER-007,Wealth advisor,65,50,first_pass_resolution,88,91,medium
FC-PER-008,Payments operations analyst,35,25,cycle_time,84,84,medium
FC-PER-009,Software engineer,70,45,audit_accuracy,86,89,medium
FC-PER-010,Data engineer,60,42,cycle_time,79,87,high
FC-PER-011,Financial analyst / controller,61,38,audit_accuracy,87,84,medium
FC-PER-012,Model risk validator,59,37,underwriting_accuracy,81,94,medium
FC-PER-013,Compliance officer,68,53,audit_accuracy,80,84,medium
FC-PER-014,Collections specialist,36,25,first_pass_resolution,88,89,medium
FC-PER-015,Cloud platform engineer,32,26,underwriting_accuracy,81,93,medium
FC-PER-016,Treasury / ALM analyst,21,15,audit_accuracy,80,91,high
