tenantKey,contractFile,resolvedFile,adapterFamilies,workstreamIds,implementedMappingProfiles,adapterState,dataRows,sourceColumns,requiredFields,requiredFieldsSatisfied,requiredFieldsMissing,missingFieldNames,executed
lakeshore-industries,00_enterprise_profile.csv,00_enterprise_profile.csv,strategy-and-operating-model,WS01,enterprise-profile-v3/v1,would-run,8,28,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,01_business_functions.csv,01_business_functions.csv,strategy-and-operating-model; organization-and-workforce; kpi-and-operational-telemetry,WS01; WS02; WS09,organization-business-functions/v1,would-run,59,23,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,02_org_ownership.csv,02_org_ownership.csv,organization-and-workforce,WS02,organization-ownership/v1,would-run,116,22,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,03_workforce_roles.csv,03_workforce_roles.csv,organization-and-workforce,WS02,organization-workforce-roles/v1,would-run,22,22,4,4,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,04_applications_systems.csv,04_applications_systems.csv,application-cmdb-and-architecture; grc-security-and-service-management,WS03; WS08,applications-systems-v3/v1,would-run,152,28,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,05_data_assets_integrations.csv,05_data_assets_integrations.csv,data-catalog-integration-and-lineage,WS04,data-assets-integrations/v1,would-run,82,26,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,06_infrastructure_platforms.csv,06_infrastructure_platforms.csv,application-cmdb-and-architecture; data-catalog-integration-and-lineage,WS03; WS04,infrastructure-platforms/v1,would-run,128,24,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,07_vendors_contracts.csv,07_vendors_contracts.csv,vendor-clm-and-procurement; finance-ap-gl-and-fpa,WS05; WS06,vendor-contracts/v1,would-run,19,26,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,08_spend_value.csv,08_spend_value.csv,vendor-clm-and-procurement; finance-ap-gl-and-fpa,WS05; WS06,spend-value/v1,would-run,71,23,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,09_programs_initiatives.csv,09_programs_initiatives.csv,strategy-and-operating-model; finance-ap-gl-and-fpa; pmo-portfolio-and-benefits,WS01; WS06; WS07,programs-initiatives/v1,would-run,36,25,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,10_ai_automation_use_cases.csv,10_ai_automation_use_cases.csv,data-catalog-integration-and-lineage; pmo-portfolio-and-benefits,WS04; WS07,ai-automation-use-cases/v1,would-run,36,23,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,11_risks_controls.csv,11_risks_controls.csv,vendor-clm-and-procurement; pmo-portfolio-and-benefits; grc-security-and-service-management,WS05; WS07; WS08,risks-controls/v1,would-run,48,23,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,12_relationships.csv,12_relationships.csv,organization-and-workforce; application-cmdb-and-architecture; data-catalog-integration-and-lineage; vendor-clm-and-procurement; pmo-portfolio-and-benefits; kpi-and-operational-telemetry; interview-governance-and-evidence-requests,WS02; WS03; WS04; WS05; WS07; WS09; WS10,,no-implemented-adapter,519,21,0,0,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,13_evidence_sources.csv,13_evidence_sources.csv,application-cmdb-and-architecture; data-catalog-integration-and-lineage; vendor-clm-and-procurement; finance-ap-gl-and-fpa; grc-security-and-service-management; interview-governance-and-evidence-requests,WS03; WS04; WS05; WS06; WS08; WS10,evidence-sources-v3/v1,would-run,10,29,2,2,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,14_metrics_outcomes.csv,14_metrics_outcomes.csv,finance-ap-gl-and-fpa; pmo-portfolio-and-benefits; grc-security-and-service-management; kpi-and-operational-telemetry,WS06; WS07; WS08; WS09,metrics-outcomes/v1,would-run,236,23,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,15_industry_context_patterns.csv,15_industry_context_patterns.csv,strategy-and-operating-model,WS01,industry-context-patterns/v1,would-run,24,19,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,16_expert_lenses.csv,16_expert_lenses.csv,interview-governance-and-evidence-requests,WS10,expert-lenses/v1,would-run,18,19,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,17_service_scope_managed_services.csv,17_service_scope_managed_services.csv,vendor-clm-and-procurement; kpi-and-operational-telemetry,WS05; WS09,managed-services-scope/v1,would-run,8,23,3,3,0,,"no — reconciliation only, no transform, no write"
lakeshore-industries,18_operational_process_evidence.csv,18_operational_process_evidence.csv,grc-security-and-service-management; kpi-and-operational-telemetry,WS08; WS09,operational-process-evidence/v1,would-run,112,22,3,3,0,,"no — reconciliation only, no transform, no write"
