rule,file,reason
synthetic-v-folder-reference,audit-artifacts/tenant-packet-dry-run/skyharbor/canonical-ingestion-records.json,non-loader historical reference
legacy-v-dimension-token,audit-artifacts/tenant-packet-dry-run/skyharbor/canonical-ingestion-records.json,non-loader historical reference
legacy-v-file-name,audit-artifacts/tenant-packet-dry-run/skyharbor/canonical-ingestion-records.json,non-loader historical reference
synthetic-v-folder-reference,datasets/enterprise-profile-foundation-v1/active-tenants/enterprise_profile_foundation.csv,non-loader historical reference
legacy-v-dimension-token,datasets/enterprise-profile-foundation-v1/active-tenants/enterprise_profile_foundation.csv,non-loader historical reference
legacy-v-file-name,datasets/enterprise-profile-foundation-v1/active-tenants/enterprise_profile_foundation.csv,non-loader historical reference
v6-v7-current-state,datasets/enterprise-profile-foundation-v1/active-tenants/enterprise_profile_foundation.csv,non-loader historical reference
v6-v7-current-state,docs/architecture/V3_DATA_ARCHITECTURE_STATUS_AND_V6V7_SUNSET_2026-07-17.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/BRAIN_CONTRACT_CODEX_RUNBOOK.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/CODEX_STREAMS_D_E_F_2026-05-26.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/data-quality/enterprise-synthetic-data-depth-audit.json,non-loader historical reference
synthetic-v-folder-reference,docs/build/data-quality/enterprise-synthetic-data-depth-audit.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/data-quality/first-capital-forward-execution-plan.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/delta-pilot/AIRLINE_INDUSTRY_PATTERN_OVERLAY_v1.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/delta-pilot/PACKET_29_DEMO_CAPTURE.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/delta-pilot/README.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/DEMO_DATASET_REGISTRY.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/DEMO_ENVIRONMENT_READINESS_MANIFEST.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/DEMO_PROOF_ARTIFACT_INDEX_2026-06-05.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/lakeshore-kyriba-proof/KYRIBA_UPLOAD_AND_TRACE_DESIGN_CONTRACT_2026-06-14.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/meridian-phs-demo/AZURE_PRIVATE_DATA_PLANE_HANDOFF_2026-06-05.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/meridian-phs-demo/MERIDIAN_LIVE_RESET_RELOAD_RUNBOOK_2026-06-05.md,non-loader historical reference
legacy-v-dimension-token,docs/build/moves-design/MOVES_ANALYTICS_LAYER_SPEC.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/PACKET_19_MERIDIAN_SUBSTRATE_PROMPT.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/PACKET_20_FIRSTCAPITAL_SUBSTRATE_PROMPT.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/PACKET_23_DB_SUBSTRATE_GAP_AUDIT.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/PACKET_24_TENANT_SUBSTRATE_LOADER.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/PACKET_27_AGENT_INTELLIGENCE_FIXES.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/phs-pilot/PHS_AWS_PORTABILITY_LAB_PLAN.md,non-loader historical reference
synthetic-v-folder-reference,docs/build/phs-pilot/PHS_MERIDIAN_STRATEGY_EVIDENCE_PACK_2026-06-14.md,non-loader historical reference
synthetic-v-folder-reference,docs/codex-handoff/FIRST_CAPITAL_CONTEXT_ENGINE_BUILD_BRIEF.md,non-loader historical reference
synthetic-v-folder-reference,docs/codex-handoff/SKYHARBOR_IROPS_DELIVERABLE_REPAIR_BRIEF.md,non-loader historical reference
