tenant_key,layer,expected,observed,status
first-capital-financial,source registry,20,20,ready_for_candidate_load
first-capital-financial,canonical records,4840,4840,ready_for_candidate_load
first-capital-financial,canonical facts,9680,9680,ready_for_candidate_load
first-capital-financial,evidence,140,140,ready_for_candidate_load
first-capital-financial,graph nodes,1600,1600,ready_for_candidate_load
first-capital-financial,graph edges,2600,2600,ready_for_candidate_load
first-capital-financial,retrieval chunks,4600,4600,candidate_preview_only
first-capital-financial,home read model,19,19,candidate_preview_only
first-capital-financial,tower read model,1,1,candidate_preview_only
first-capital-financial,moves/source handoff,24,24,candidate_preview_only
