Play_ID,Metric_ID,Peer_or_Archetype,Play_Name,Metric_Moved,Delta,Enablers,Reference_Pattern,Domain
MERIDIANHEALTH-PLAY-0001,MERIDIANHEALTH-MET-0001,top quartile operator,Meridian Health comparable transformation play 1,Meridian Health benefit realization against committed value metric 1,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0002,MERIDIANHEALTH-MET-0002,top quartile operator,Meridian Health comparable transformation play 2,Meridian Health elapsed time for target process metric 2,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0003,MERIDIANHEALTH-MET-0003,top quartile operator,Meridian Health comparable transformation play 3,Meridian Health open control and governance pressure metric 3,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0004,MERIDIANHEALTH-MET-0004,top quartile operator,Meridian Health comparable transformation play 4,Meridian Health active usage of changed workflow metric 4,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0005,MERIDIANHEALTH-MET-0005,top quartile operator,Meridian Health comparable transformation play 5,Meridian Health unit cost across served population or customer journey metric 5,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0006,MERIDIANHEALTH-MET-0006,top quartile operator,Meridian Health comparable transformation play 6,Meridian Health benefit realization against committed value metric 6,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0007,MERIDIANHEALTH-MET-0007,top quartile operator,Meridian Health comparable transformation play 7,Meridian Health elapsed time for target process metric 7,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0008,MERIDIANHEALTH-MET-0008,top quartile operator,Meridian Health comparable transformation play 8,Meridian Health open control and governance pressure metric 8,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0009,MERIDIANHEALTH-MET-0009,top quartile operator,Meridian Health comparable transformation play 9,Meridian Health active usage of changed workflow metric 9,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0010,MERIDIANHEALTH-MET-0010,top quartile operator,Meridian Health comparable transformation play 10,Meridian Health unit cost across served population or customer journey metric 10,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0011,MERIDIANHEALTH-MET-0011,top quartile operator,Meridian Health comparable transformation play 11,Meridian Health benefit realization against committed value metric 11,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0012,MERIDIANHEALTH-MET-0012,top quartile operator,Meridian Health comparable transformation play 12,Meridian Health elapsed time for target process metric 12,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0013,MERIDIANHEALTH-MET-0013,top quartile operator,Meridian Health comparable transformation play 13,Meridian Health open control and governance pressure metric 13,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0014,MERIDIANHEALTH-MET-0014,top quartile operator,Meridian Health comparable transformation play 14,Meridian Health active usage of changed workflow metric 14,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0015,MERIDIANHEALTH-MET-0015,top quartile operator,Meridian Health comparable transformation play 15,Meridian Health unit cost across served population or customer journey metric 15,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0016,MERIDIANHEALTH-MET-0016,top quartile operator,Meridian Health comparable transformation play 16,Meridian Health benefit realization against committed value metric 16,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0017,MERIDIANHEALTH-MET-0017,top quartile operator,Meridian Health comparable transformation play 17,Meridian Health elapsed time for target process metric 17,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0018,MERIDIANHEALTH-MET-0018,top quartile operator,Meridian Health comparable transformation play 18,Meridian Health open control and governance pressure metric 18,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0019,MERIDIANHEALTH-MET-0019,top quartile operator,Meridian Health comparable transformation play 19,Meridian Health active usage of changed workflow metric 19,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0020,MERIDIANHEALTH-MET-0020,top quartile operator,Meridian Health comparable transformation play 20,Meridian Health unit cost across served population or customer journey metric 20,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0021,MERIDIANHEALTH-MET-0021,top quartile operator,Meridian Health comparable transformation play 21,Meridian Health benefit realization against committed value metric 21,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0022,MERIDIANHEALTH-MET-0022,top quartile operator,Meridian Health comparable transformation play 22,Meridian Health elapsed time for target process metric 22,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0023,MERIDIANHEALTH-MET-0023,top quartile operator,Meridian Health comparable transformation play 23,Meridian Health open control and governance pressure metric 23,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0024,MERIDIANHEALTH-MET-0024,top quartile operator,Meridian Health comparable transformation play 24,Meridian Health active usage of changed workflow metric 24,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0025,MERIDIANHEALTH-MET-0025,top quartile operator,Meridian Health comparable transformation play 25,Meridian Health unit cost across served population or customer journey metric 25,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0026,MERIDIANHEALTH-MET-0026,top quartile operator,Meridian Health comparable transformation play 26,Meridian Health benefit realization against committed value metric 26,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0027,MERIDIANHEALTH-MET-0027,top quartile operator,Meridian Health comparable transformation play 27,Meridian Health elapsed time for target process metric 27,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0028,MERIDIANHEALTH-MET-0028,top quartile operator,Meridian Health comparable transformation play 28,Meridian Health open control and governance pressure metric 28,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0029,MERIDIANHEALTH-MET-0029,top quartile operator,Meridian Health comparable transformation play 29,Meridian Health active usage of changed workflow metric 29,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0030,MERIDIANHEALTH-MET-0030,top quartile operator,Meridian Health comparable transformation play 30,Meridian Health unit cost across served population or customer journey metric 30,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0031,MERIDIANHEALTH-MET-0031,top quartile operator,Meridian Health comparable transformation play 31,Meridian Health benefit realization against committed value metric 31,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0032,MERIDIANHEALTH-MET-0032,top quartile operator,Meridian Health comparable transformation play 32,Meridian Health elapsed time for target process metric 32,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0033,MERIDIANHEALTH-MET-0033,top quartile operator,Meridian Health comparable transformation play 33,Meridian Health open control and governance pressure metric 33,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0034,MERIDIANHEALTH-MET-0034,top quartile operator,Meridian Health comparable transformation play 34,Meridian Health active usage of changed workflow metric 34,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0035,MERIDIANHEALTH-MET-0035,top quartile operator,Meridian Health comparable transformation play 35,Meridian Health unit cost across served population or customer journey metric 35,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0036,MERIDIANHEALTH-MET-0036,top quartile operator,Meridian Health comparable transformation play 36,Meridian Health benefit realization against committed value metric 36,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0037,MERIDIANHEALTH-MET-0037,top quartile operator,Meridian Health comparable transformation play 37,Meridian Health elapsed time for target process metric 37,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
