Gov_ID,Initiative_ID,Model_Count,Model_Risk_Tier,HITL,Bias_Monitoring,Drift_Monitoring,Reg_Regime,Responsible_AI_Gate_Status
MERIDIANHEALTH-AIGOV-0001,MERIDIANHEALTH-INIT-0001,1,high,required,needed,needed,industry and enterprise AI policy,blocked
MERIDIANHEALTH-AIGOV-0002,MERIDIANHEALTH-INIT-0002,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0003,MERIDIANHEALTH-INIT-0003,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0004,MERIDIANHEALTH-INIT-0004,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0005,MERIDIANHEALTH-INIT-0005,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0006,MERIDIANHEALTH-INIT-0006,6,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0007,MERIDIANHEALTH-INIT-0007,1,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0008,MERIDIANHEALTH-INIT-0008,2,medium,defined,active,active,industry and enterprise AI policy,blocked
MERIDIANHEALTH-AIGOV-0009,MERIDIANHEALTH-INIT-0009,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0010,MERIDIANHEALTH-INIT-0010,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0011,MERIDIANHEALTH-INIT-0011,5,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0012,MERIDIANHEALTH-INIT-0012,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0013,MERIDIANHEALTH-INIT-0013,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0014,MERIDIANHEALTH-INIT-0014,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0015,MERIDIANHEALTH-INIT-0015,3,medium,defined,active,active,industry and enterprise AI policy,blocked
MERIDIANHEALTH-AIGOV-0016,MERIDIANHEALTH-INIT-0016,4,high,required,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0017,MERIDIANHEALTH-INIT-0017,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0018,MERIDIANHEALTH-INIT-0018,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0019,MERIDIANHEALTH-INIT-0019,1,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions
