Benefit_ID,Initiative_ID,Linked_Metric_ID,Benefit_Type,Baseline,Target,Forecast,Realized_to_Date,Unit,Measurement_Method,Benefit_Owner,Realization_Status
MERIDIANHEALTH-BEN-0001,MERIDIANHEALTH-INIT-0001,MERIDIANHEALTH-MET-0001,run_cost,100,120,112,30,usd_m,finance attestation plus source-system telemetry,Transformation Finance,blocked
MERIDIANHEALTH-BEN-0002,MERIDIANHEALTH-INIT-0002,MERIDIANHEALTH-MET-0002,productivity,101,121,113,31,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0003,MERIDIANHEALTH-INIT-0003,MERIDIANHEALTH-MET-0003,productivity,102,122,114,32,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0004,MERIDIANHEALTH-INIT-0004,MERIDIANHEALTH-MET-0004,run_cost,103,123,115,33,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0005,MERIDIANHEALTH-INIT-0005,MERIDIANHEALTH-MET-0005,productivity,104,124,116,34,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0006,MERIDIANHEALTH-INIT-0006,MERIDIANHEALTH-MET-0006,productivity,105,125,117,35,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0007,MERIDIANHEALTH-INIT-0007,MERIDIANHEALTH-MET-0007,run_cost,106,126,118,36,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0008,MERIDIANHEALTH-INIT-0008,MERIDIANHEALTH-MET-0008,productivity,107,127,119,37,percent,finance attestation plus source-system telemetry,Transformation Finance,blocked
MERIDIANHEALTH-BEN-0009,MERIDIANHEALTH-INIT-0009,MERIDIANHEALTH-MET-0009,productivity,108,128,120,38,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0010,MERIDIANHEALTH-INIT-0010,MERIDIANHEALTH-MET-0010,run_cost,109,129,121,39,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0011,MERIDIANHEALTH-INIT-0011,MERIDIANHEALTH-MET-0011,productivity,110,130,122,40,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0012,MERIDIANHEALTH-INIT-0012,MERIDIANHEALTH-MET-0012,productivity,111,131,123,41,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0013,MERIDIANHEALTH-INIT-0013,MERIDIANHEALTH-MET-0013,run_cost,112,132,124,42,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0014,MERIDIANHEALTH-INIT-0014,MERIDIANHEALTH-MET-0014,productivity,113,133,125,43,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0015,MERIDIANHEALTH-INIT-0015,MERIDIANHEALTH-MET-0015,productivity,114,134,126,44,percent,finance attestation plus source-system telemetry,Transformation Finance,blocked
MERIDIANHEALTH-BEN-0016,MERIDIANHEALTH-INIT-0016,MERIDIANHEALTH-MET-0016,run_cost,115,135,127,45,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0017,MERIDIANHEALTH-INIT-0017,MERIDIANHEALTH-MET-0017,productivity,116,136,128,46,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0018,MERIDIANHEALTH-INIT-0018,MERIDIANHEALTH-MET-0018,productivity,117,137,129,47,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0019,MERIDIANHEALTH-INIT-0019,MERIDIANHEALTH-MET-0019,run_cost,118,138,130,48,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0020,MERIDIANHEALTH-INIT-0020,MERIDIANHEALTH-MET-0020,productivity,119,139,131,49,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0021,MERIDIANHEALTH-INIT-0021,MERIDIANHEALTH-MET-0021,productivity,120,140,132,50,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0022,MERIDIANHEALTH-INIT-0022,MERIDIANHEALTH-MET-0022,run_cost,121,141,133,51,usd_m,finance attestation plus source-system telemetry,Transformation Finance,blocked
MERIDIANHEALTH-BEN-0023,MERIDIANHEALTH-INIT-0023,MERIDIANHEALTH-MET-0023,productivity,122,142,134,52,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0024,MERIDIANHEALTH-INIT-0024,MERIDIANHEALTH-MET-0024,productivity,123,143,135,53,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0025,MERIDIANHEALTH-INIT-0025,MERIDIANHEALTH-MET-0025,run_cost,124,144,136,54,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0026,MERIDIANHEALTH-INIT-0026,MERIDIANHEALTH-MET-0026,productivity,125,145,137,55,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
MERIDIANHEALTH-BEN-0027,MERIDIANHEALTH-INIT-0027,MERIDIANHEALTH-MET-0027,productivity,126,146,138,56,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
