data_asset_id,data_asset_name,domain,source_systems,target_platform,data_owner,freshness,quality_score,semantic_layer_status,move_relevance
FC-DATA-001,Customer gold record (deposits+cards+lending+wealth),customer_360,Core;Cards;Lending;Wealth;CRM,Databricks AWS,Chief Data & Analytics Officer,target near real time,56,not_ready,Unified customer identity
FC-DATA-002,Transaction monitoring feature store,financial_crimes,Core;Payments;Cards;Sanctions,Databricks AWS,BSA/AML Officer,near real time,61,partial,AML false-positive reduction
FC-DATA-003,Fraud real-time feature store,fraud,Cards auth;Payments;Device;Sessions,Feedzai / Databricks,Chief Risk Officer,streaming,64,partial,Scam/APP fraud detection
FC-DATA-004,Credit risk modeling dataset,credit_risk,Lending;Bureau;Financials;Core,Databricks AWS,Chief Risk Officer,daily,59,not_ready,Underwriting automation
FC-DATA-005,Regulatory finance mart,finance_regulatory,GL;Subledgers;Treasury;Risk,Snowflake,Chief Financial Officer,monthly close,67,partial,Close and reg-report automation
FC-DATA-006,Contact center interaction corpus,customer_experience,Genesys;CRM;Core;Transcripts,Databricks AWS,Head of Customer Experience,daily,52,not_ready,Agent next-best-action
FC-DATA-007,Payments operations event store,payment_ops,ACH;Wire;RTP;ISO 20022,Databricks AWS,Chief Operating Officer,near real time,58,partial,Exception automation
FC-DATA-008,Model risk inventory & evidence store,model_risk,MRM;Risk;Fraud;AML;Credit,Snowflake,Chief Risk Officer,on validation,55,not_ready,SR 11-7 governance evidence
FC-DATA-009,Wealth advisory analytics dataset,wealth,Addepar;CRM;Market data;Planning,Databricks AWS,Head of Wealth Management,daily,60,partial,Advisor productivity
FC-DATA-010,Marketing & engagement dataset,marketing,CRM;Campaigns;Web;App;Core,Databricks AWS,Head of Consumer Banking,daily,57,partial,Personalization & retention
FIRSTCAPITAL-DATA-0011,Customer gold record (deposits+cards+lending+wealth),customer_360,Core;Cards;Lending;Wealth;CRM,Databricks AWS,Chief Data & Analytics Officer,target near real time,56,not_ready,Unified customer identity
FIRSTCAPITAL-DATA-0012,Transaction monitoring feature store,financial_crimes,Core;Payments;Cards;Sanctions,Databricks AWS,BSA/AML Officer,near real time,61,partial,AML false-positive reduction
FIRSTCAPITAL-DATA-0013,Fraud real-time feature store,fraud,Cards auth;Payments;Device;Sessions,Feedzai / Databricks,Chief Risk Officer,streaming,64,partial,Scam/APP fraud detection
FIRSTCAPITAL-DATA-0014,Credit risk modeling dataset,credit_risk,Lending;Bureau;Financials;Core,Databricks AWS,Chief Risk Officer,daily,59,not_ready,Underwriting automation
FIRSTCAPITAL-DATA-0015,Regulatory finance mart,finance_regulatory,GL;Subledgers;Treasury;Risk,Snowflake,Chief Financial Officer,monthly close,67,partial,Close and reg-report automation
FIRSTCAPITAL-DATA-0016,Contact center interaction corpus,customer_experience,Genesys;CRM;Core;Transcripts,Databricks AWS,Head of Customer Experience,daily,52,not_ready,Agent next-best-action
FIRSTCAPITAL-DATA-0017,Payments operations event store,payment_ops,ACH;Wire;RTP;ISO 20022,Databricks AWS,Chief Operating Officer,near real time,58,partial,Exception automation
FIRSTCAPITAL-DATA-0018,Model risk inventory & evidence store,model_risk,MRM;Risk;Fraud;AML;Credit,Snowflake,Chief Risk Officer,on validation,55,not_ready,SR 11-7 governance evidence
FIRSTCAPITAL-DATA-0019,Wealth advisory analytics dataset,wealth,Addepar;CRM;Market data;Planning,Databricks AWS,Head of Wealth Management,daily,60,partial,Advisor productivity
FIRSTCAPITAL-DATA-0020,Marketing & engagement dataset,marketing,CRM;Campaigns;Web;App;Core,Databricks AWS,Head of Consumer Banking,daily,57,partial,Personalization & retention
