tenant_key,data_product_id,data_product_name,platform,source_system_id,source_system_name,owner_role,trust_score,lineage_basis,confidence,caveat
meridian-health,MER-DATA-001,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MER-DATA-002,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MER-DATA-003,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MER-DATA-004,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MER-DATA-005,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MER-DATA-006,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MER-DATA-007,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MER-DATA-008,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MER-DATA-009,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0010,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0011,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0012,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0013,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0014,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0015,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0016,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0017,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0018,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0019,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0020,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0021,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0022,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0023,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0024,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0025,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0026,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0027,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0028,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0029,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0030,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0031,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0032,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0033,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0034,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0035,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0036,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0037,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0038,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0039,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0040,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0041,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0042,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0043,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0044,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0045,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
