capability_id,capability_name,value_stream,business_owner,maturity,ai_relevance,primary_systems,known_gap
FC-CAP-001,"Customer 360 across deposits, cards, lending, wealth",Customer insight,Chief Data & Analytics Officer,fragmented,critical,Core banking; cards; CRM; wealth; Databricks AWS,Customer identity not resolved across product silos
FC-CAP-002,Real-time fraud & scam detection,Financial crimes,Chief Risk Officer,maturing,critical,Feedzai; NICE Actimize; cards auth; payments,Scam/APP fraud models lag emerging typologies
FC-CAP-003,AML transaction monitoring & SAR automation,Financial crimes,BSA/AML Officer,fragmented,critical,Actimize; core; payments; sanctions; KYC,"Alert false-positive rate above 95%, manual SAR drafting"
FC-CAP-004,Contact center next-best-action & assist,Customer experience,Head of Customer Experience,pilot,critical,Genesys; Salesforce; core; cards; transcripts,No unified real-time context for agents
FC-CAP-005,Commercial credit underwriting automation,Commercial lending,Head of Commercial Banking,emerging,critical,nCino; spreading; risk rating; financials,Spreading and covenant data extraction is manual
FC-CAP-006,Regulatory & financial close automation,Finance operations,Chief Financial Officer,fragmented,high,SAP; BlackLine; Snowflake; reg reporting,Manual reconciliation and reg report assembly
FC-CAP-007,Credit & market risk modeling at scale,Risk analytics,Chief Risk Officer,maturing,high,SAS; Moody's; Murex; Databricks,Model inventory governance and SR 11-7 evidence gaps
FC-CAP-008,Engineering productivity with code assist,Technology delivery,Chief Information Officer,pilot,high,GitHub Copilot; core; cards; channels repos,"Coverage skewed to greenfield, mainframe excluded"
FC-CAP-009,Data product governance & semantic layer,Enterprise data,Chief Data & Analytics Officer,nascent,critical,Databricks; Unity Catalog; Collibra; BI,No certified semantic layer for cross-domain KPIs
FC-CAP-010,Payments operations exception automation,Payment operations,Chief Operating Officer,emerging,high,ACI; Volante; ISO 20022; core; FedNow,High-touch exception repair across rails
FC-CAP-011,Wealth advisory productivity & proposals,Wealth advisory,Head of Wealth Management,pilot,high,Addepar; Salesforce; planning; market data,Advisor meeting prep and proposal generation manual
FC-CAP-012,Cards dispute & chargeback automation,Cards servicing,Head of Cards & Payments,emerging,high,TSYS; Mastercard; Visa; disputes; core,Dispute intake and evidence assembly manual
