team_id,team_name,executive_owner_role,domain,head_count_fte,offshore_pct,annual_budget_usd
FC-IT-001,Office of the CIO,Chief Information Officer,technology_leadership,110,0,64000000
FC-IT-002,Core Banking Platforms,VP Core Banking,core_banking,940,14,312000000
FC-IT-003,Cards & Payments Technology,VP Cards & Payments Tech,cards_payments,720,16,268000000
FC-IT-004,Channels & Digital Engineering,VP Digital,channels_crm,680,18,196000000
FC-IT-005,Data Platform & AI Engineering,Chief Data & Analytics Officer,databricks_aws_lakehouse,420,15,188000000
FC-IT-006,Integration & API Platform,VP Integration,iso20022_api_eai,360,12,96000000
FC-IT-007,"Risk, Treasury & Finance Systems",VP Risk & Finance Tech,risk_treasury_erp,540,17,178000000
FC-IT-008,Financial Crimes Technology,VP Financial Crimes Tech,aml_fraud,380,10,142000000
FC-IT-009,"Cyber, Privacy & Resilience",Chief Information Security Officer,cyber_privacy,1400,6,246000000
FC-IT-010,Cloud & Infrastructure,VP Infrastructure,aws_azure_mainframe_network,760,14,254000000
FC-IT-011,ServiceNow & IT Operations,VP IT Operations,itsm_observability,300,13,78000000
FC-IT-012,AI Governance & Model Risk Tech,Chief Data & Analytics Officer,ai_governance_mrm,140,5,52000000
FC-IT-013,Developer Experience & DevSecOps,VP Engineering,devex,260,20,58000000
