renewal_id,contract_id,vendor_id,renewal_date,notice_date,renewal_type,estimated_value_usd,sourcing_required,decision_owner,renewal_risk,status,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
REN-EPIC-2027,CON-EPIC-2026,VEN-EPIC,2027-01-28,2026-07-15,Competitive sourcing,55200000,true,EHR Platform Engineering,High,Planning,Legal CLM,REN-VEN-EPIC,IT Sourcing,2026-05-01,0.83,true,
REN-SNOW-2027,CON-SNOW-2026,VEN-SNOW,2027-02-28,2026-08-15,Auto-renewal,6200000,false,Clinical Informatics,Low,Not Started,Legal CLM,REN-VEN-SNOW,IT Sourcing,2026-05-01,0.83,true,
REN-ORACLE-2027,CON-ORACLE-2026,VEN-ORACLE,2027-03-28,2026-09-15,Auto-renewal,9100000,false,Integration Operations,Low,Not Started,Legal CLM,REN-VEN-ORACLE,IT Sourcing,2026-05-01,0.83,true,
REN-SALESFORCE-2027,CON-SALESFORCE-2026,VEN-SALESFORCE,2027-04-28,2026-10-15,Negotiated renewal,7400000,false,Revenue Cycle Technology,Medium,Not Started,Legal CLM,REN-VEN-SALESFORCE,IT Sourcing,2026-05-01,0.83,true,
REN-GENESYS-2027,CON-GENESYS-2026,VEN-GENESYS,2027-05-28,2026-11-15,Competitive sourcing,15300000,true,Contact Center Technology,High,Planning,Legal CLM,REN-VEN-GENESYS,IT Sourcing,2026-05-01,0.83,true,
REN-MICROSOFT-2027,CON-MICROSOFT-2026,VEN-MICROSOFT,2027-06-28,2026-12-15,Auto-renewal,12800000,false,Cloud Platform Services,Low,Not Started,Legal CLM,REN-VEN-MICROSOFT,IT Sourcing,2026-05-01,0.83,true,
REN-AWS-2027,CON-AWS-2026,VEN-AWS,2027-07-28,2026-01-15,Negotiated renewal,8400000,false,Research Technology Office,Medium,Not Started,Legal CLM,REN-VEN-AWS,IT Sourcing,2026-05-01,0.83,true,
REN-AZURE-2027,CON-AZURE-2026,VEN-AZURE,2027-08-28,2026-02-15,Auto-renewal,9600000,false,Payer Platform Operations,Low,Not Started,Legal CLM,REN-VEN-AZURE,IT Sourcing,2026-05-01,0.83,true,
REN-PALANTIR-2027,CON-PALANTIR-2026,VEN-PALANTIR,2027-09-28,2026-03-15,Competitive sourcing,12600000,true,Cybersecurity Governance,High,Planning,Legal CLM,REN-VEN-PALANTIR,IT Sourcing,2026-05-01,0.83,true,
REN-DATABRICKS-2027,CON-DATABRICKS-2026,VEN-DATABRICKS,2027-10-28,2026-04-15,Negotiated renewal,3900000,false,IT Sourcing,Medium,Not Started,Legal CLM,REN-VEN-DATABRICKS,IT Sourcing,2026-05-01,0.83,true,
REN-SNOWFLAKE-2027,CON-SNOWFLAKE-2026,VEN-SNOWFLAKE,2027-11-28,2026-05-15,Auto-renewal,3600000,false,EHR Platform Engineering,Low,Not Started,Legal CLM,REN-VEN-SNOWFLAKE,IT Sourcing,2026-05-01,0.83,true,
REN-CERNER-2027,CON-CERNER-2026,VEN-CERNER,2027-12-28,2026-06-15,Auto-renewal,2600000,false,Clinical Informatics,Low,Not Started,Legal CLM,REN-VEN-CERNER,IT Sourcing,2026-05-01,0.83,true,
REN-ENSEMBLE-2027,CON-ENSEMBLE-2026,VEN-ENSEMBLE,2027-01-28,2026-07-15,Competitive sourcing,42600000,true,Integration Operations,High,Planning,Legal CLM,REN-VEN-ENSEMBLE,IT Sourcing,2026-05-01,0.83,true,
REN-3M-2027,CON-3M-2026,VEN-3M,2027-02-28,2026-08-15,Auto-renewal,2800000,false,Revenue Cycle Technology,Low,Not Started,Legal CLM,REN-VEN-3M,IT Sourcing,2026-05-01,0.83,true,
REN-NUANCE-2027,CON-NUANCE-2026,VEN-NUANCE,2027-03-28,2026-09-15,Auto-renewal,3100000,false,Contact Center Technology,Low,Not Started,Legal CLM,REN-VEN-NUANCE,IT Sourcing,2026-05-01,0.83,true,
REN-IMPRIVATA-2027,CON-IMPRIVATA-2026,VEN-IMPRIVATA,2027-04-28,2026-10-15,Negotiated renewal,1800000,false,Cloud Platform Services,Medium,Not Started,Legal CLM,REN-VEN-IMPRIVATA,IT Sourcing,2026-05-01,0.83,true,
REN-OKTA-2027,CON-OKTA-2026,VEN-OKTA,2027-05-28,2026-11-15,Competitive sourcing,6900000,true,Research Technology Office,High,Planning,Legal CLM,REN-VEN-OKTA,IT Sourcing,2026-05-01,0.83,true,
REN-CROWDSTRIKE-2027,CON-CROWDSTRIKE-2026,VEN-CROWDSTRIKE,2027-06-28,2026-12-15,Auto-renewal,2900000,false,Payer Platform Operations,Low,Not Started,Legal CLM,REN-VEN-CROWDSTRIKE,IT Sourcing,2026-05-01,0.83,true,
REN-PALOALTO-2027,CON-PALOALTO-2026,VEN-PALOALTO,2027-07-28,2026-01-15,Negotiated renewal,3300000,false,Cybersecurity Governance,Medium,Not Started,Legal CLM,REN-VEN-PALOALTO,IT Sourcing,2026-05-01,0.83,true,
REN-ZSCALER-2027,CON-ZSCALER-2026,VEN-ZSCALER,2027-08-28,2026-02-15,Auto-renewal,2200000,false,IT Sourcing,Low,Not Started,Legal CLM,REN-VEN-ZSCALER,IT Sourcing,2026-05-01,0.83,true,
REN-BROADCOM-2027,CON-BROADCOM-2026,VEN-BROADCOM,2027-09-28,2026-03-15,Competitive sourcing,5700000,true,EHR Platform Engineering,High,Planning,Legal CLM,REN-VEN-BROADCOM,IT Sourcing,2026-05-01,0.83,true,
REN-CISCO-2027,CON-CISCO-2026,VEN-CISCO,2027-10-28,2026-04-15,Negotiated renewal,4700000,false,Clinical Informatics,Medium,Not Started,Legal CLM,REN-VEN-CISCO,IT Sourcing,2026-05-01,0.83,true,
REN-VEEAM-2027,CON-VEEAM-2026,VEN-VEEAM,2027-11-28,2026-05-15,Auto-renewal,1600000,false,Integration Operations,Low,Not Started,Legal CLM,REN-VEN-VEEAM,IT Sourcing,2026-05-01,0.83,true,
REN-HASHICORP-2027,CON-HASHICORP-2026,VEN-HASHICORP,2027-12-28,2026-06-15,Auto-renewal,950000,false,Revenue Cycle Technology,Low,Not Started,Legal CLM,REN-VEN-HASHICORP,IT Sourcing,2026-05-01,0.83,true,
