risk_id,risk_title,risk_type,control_id,policy_id,owner,severity,likelihood,status,linked_ci_ids,linked_vendor_ids,remediation_due_date,evidence_required,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
RISK-001,Critical CI owner validation is stale,Operational,CTRL-100,POL-001,EHR Platform Engineering,Critical,High,Mitigating,CI-APP-EPIC-HYPERSPACE|CI-APP-SALESFORCE-HEALTH,VEN-EPIC,2026-07-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-1,GRC Office,2026-05-01,0.79,false,
RISK-002,Renewal decision date lacks sourcing owner,Security,CTRL-101,POL-002,Clinical Informatics,Medium,Medium,Open,CI-APP-EPIC-CABOODLE|CI-APP-SERVICENOW,VEN-SNOW,2026-08-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-2,GRC Office,2026-05-01,0.79,true,
RISK-003,AI workflow lacks model monitoring evidence,Privacy,CTRL-102,POL-003,Integration Operations,Medium,Medium,Open,CI-INT-MIRTH|CI-APP-ORACLE-ERP,VEN-ORACLE,2026-09-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-3,GRC Office,2026-05-01,0.79,true,
RISK-004,Incident trend worsened for dependent service,Compliance,CTRL-103,POL-004,Revenue Cycle Technology,High,Medium,Open,CI-SVC-CONTACT-CENTER|CI-APP-WORKDAY-HCM,VEN-SALESFORCE,2026-10-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-4,GRC Office,2026-05-01,0.79,true,
RISK-005,Vendor security review due before renewal,Financial,CTRL-104,POL-005,Contact Center Technology,Medium,Medium,Mitigating,CI-APP-SALESFORCE-HEALTH|CI-DATA-RESEARCH-LAKE,VEN-GENESYS,2026-11-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-5,GRC Office,2026-05-01,0.79,true,
RISK-006,Policy review date approaching without steward attestation,AI Governance,CTRL-105,POL-006,Cloud Platform Services,Medium,High,Open,CI-APP-SERVICENOW|CI-PLAT-DATABRICKS,VEN-MICROSOFT,2026-12-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-6,GRC Office,2026-05-01,0.79,false,
RISK-007,Critical CI owner validation is stale,Vendor,CTRL-106,POL-007,Research Technology Office,High,Medium,Open,CI-APP-ORACLE-ERP|CI-WH-SNOWFLAKE,VEN-AWS,2026-01-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-7,GRC Office,2026-05-01,0.79,true,
RISK-008,Renewal decision date lacks sourcing owner,Operational,CTRL-107,POL-008,Payer Platform Operations,Critical,Medium,Open,CI-APP-WORKDAY-HCM|CI-SEC-OKTA,VEN-AZURE,2026-02-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-8,GRC Office,2026-05-01,0.79,true,
RISK-009,AI workflow lacks model monitoring evidence,Security,CTRL-108,POL-009,Cybersecurity Governance,Medium,Medium,Mitigating,CI-DATA-RESEARCH-LAKE|CI-SEC-IMPRIVATA,VEN-PALANTIR,2026-03-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-9,GRC Office,2026-05-01,0.79,true,
RISK-010,Incident trend worsened for dependent service,Privacy,CTRL-109,POL-010,IT Sourcing,High,Medium,Open,CI-PLAT-DATABRICKS|CI-CLOUD-AWS-PROD,VEN-DATABRICKS,2026-04-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-10,GRC Office,2026-05-01,0.79,true,
RISK-011,Vendor security review due before renewal,Compliance,CTRL-110,POL-011,EHR Platform Engineering,Medium,High,Open,CI-WH-SNOWFLAKE|CI-CLOUD-AZURE-PROD,VEN-SNOWFLAKE,2026-05-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-11,GRC Office,2026-05-01,0.79,false,
RISK-012,Policy review date approaching without steward attestation,Financial,CTRL-111,POL-012,Clinical Informatics,Medium,Medium,Open,CI-SEC-OKTA|CI-APP-ENSEMBLE-RCM,VEN-CERNER,2026-06-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-12,GRC Office,2026-05-01,0.79,true,
RISK-013,Critical CI owner validation is stale,AI Governance,CTRL-112,POL-013,Integration Operations,High,Medium,Mitigating,CI-SEC-IMPRIVATA|CI-APP-001,VEN-ENSEMBLE,2026-07-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-13,GRC Office,2026-05-01,0.79,true,
RISK-014,Renewal decision date lacks sourcing owner,Vendor,CTRL-113,POL-014,Revenue Cycle Technology,Medium,Medium,Open,CI-CLOUD-AWS-PROD|CI-SVC-002,VEN-3M,2026-08-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-14,GRC Office,2026-05-01,0.79,true,
RISK-015,AI workflow lacks model monitoring evidence,Operational,CTRL-114,POL-015,Contact Center Technology,Critical,Medium,Open,CI-CLOUD-AZURE-PROD|CI-DATA-003,VEN-NUANCE,2026-09-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-15,GRC Office,2026-05-01,0.79,true,
RISK-016,Incident trend worsened for dependent service,Security,CTRL-115,POL-016,Cloud Platform Services,High,High,Open,CI-APP-ENSEMBLE-RCM|CI-APP-004,VEN-IMPRIVATA,2026-10-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-16,GRC Office,2026-05-01,0.79,false,
RISK-017,Vendor security review due before renewal,Privacy,CTRL-116,POL-017,Research Technology Office,Medium,Medium,Mitigating,CI-APP-001|CI-SVC-005,VEN-OKTA,2026-11-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-17,GRC Office,2026-05-01,0.79,true,
